"","X.1","X","id","stationid","stationname","sampledate","sampletime","parameter","qualifier","result","unit","method","type","county","description","beachname","latitude","longitude","createdate","sourcefile","date","month"
"1",1,1,282,282,"DPH-001","2024-12-30","10:05:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-12-31 14:01:04","DPH_001.csv","2024-12-31 14:01:04",12
"2",2,2,282,282,"DPH-001","2024-12-30","10:05:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-12-31 14:01:04","DPH_001.csv","2024-12-31 14:01:04",12
"3",3,3,282,282,"DPH-001","2024-12-30","10:05:00","Total Coliforms","=",384,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-12-31 14:01:04","DPH_001.csv","2024-12-31 14:01:04",12
"4",4,4,282,282,"DPH-001","2024-12-23","10:35:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-12-24 13:37:09","DPH_001.csv","2024-12-24 13:37:09",12
"5",5,5,282,282,"DPH-001","2024-12-23","10:35:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-12-24 13:37:09","DPH_001.csv","2024-12-24 13:37:09",12
"6",6,6,282,282,"DPH-001","2024-12-23","10:35:00","Total Coliforms","=",63,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-12-24 13:37:09","DPH_001.csv","2024-12-24 13:37:09",12
"7",7,7,282,282,"DPH-001","2024-12-18","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-12-19 14:32:03","DPH_001.csv","2024-12-19 14:32:03",12
"8",8,8,282,282,"DPH-001","2024-12-18","09:15:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-12-19 14:32:03","DPH_001.csv","2024-12-19 14:32:03",12
"9",9,9,282,282,"DPH-001","2024-12-18","09:15:00","Total Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-12-19 14:32:03","DPH_001.csv","2024-12-19 14:32:03",12
"10",10,10,282,282,"DPH-001","2024-12-04","10:25:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-12-05 14:44:09","DPH_001.csv","2024-12-05 14:44:09",12
"11",11,11,282,282,"DPH-001","2024-12-04","10:25:00","Fecal Coliforms","=",41,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-12-05 14:44:09","DPH_001.csv","2024-12-05 14:44:09",12
"12",12,12,282,282,"DPH-001","2024-12-04","10:25:00","Total Coliforms","=",109,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-12-05 14:44:09","DPH_001.csv","2024-12-05 14:44:09",12
"13",13,13,282,282,"DPH-001","2024-11-26","10:25:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-11-27 14:16:15","DPH_001.csv","2024-11-27 14:16:15",11
"14",14,14,282,282,"DPH-001","2024-11-26","10:25:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-11-27 14:16:14","DPH_001.csv","2024-11-27 14:16:14",11
"15",15,15,282,282,"DPH-001","2024-11-26","10:25:00","Total Coliforms","=",41,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-11-27 14:16:14","DPH_001.csv","2024-11-27 14:16:14",11
"16",16,16,282,282,"DPH-001","2024-11-12","11:35:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-11-13 14:16:58","DPH_001.csv","2024-11-13 14:16:58",11
"17",17,17,282,282,"DPH-001","2024-11-12","11:35:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-11-13 14:16:58","DPH_001.csv","2024-11-13 14:16:58",11
"18",18,18,282,282,"DPH-001","2024-11-12","11:35:00","Total Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-11-13 14:16:58","DPH_001.csv","2024-11-13 14:16:58",11
"19",19,19,282,282,"DPH-001","2024-11-05","10:30:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-11-06 14:55:12","DPH_001.csv","2024-11-06 14:55:12",11
"20",20,20,282,282,"DPH-001","2024-11-05","10:30:00","Fecal Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-11-06 14:55:12","DPH_001.csv","2024-11-06 14:55:12",11
"21",21,21,282,282,"DPH-001","2024-11-05","10:30:00","Total Coliforms","=",51,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-11-06 14:55:12","DPH_001.csv","2024-11-06 14:55:12",11
"22",106,106,282,282,"DPH-001","2024-04-30","10:35:00","Enterococcus","=",10,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-05-02 11:59:29","DPH_001.csv","2024-05-02 11:59:29",4
"23",107,107,282,282,"DPH-001","2024-04-30","10:35:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-05-02 11:59:29","DPH_001.csv","2024-05-02 11:59:29",4
"24",108,108,282,282,"DPH-001","2024-04-30","10:35:00","Total Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-05-02 11:59:29","DPH_001.csv","2024-05-02 11:59:29",4
