"LABEL","beach_name","station_name","n_samples","year_start","year_end","latitude","longitude"
"Dominguez
Watershed","Avalon Beach","DPH 117",1553,2003,2025,33.34297,-118.324
"Dominguez
Watershed","Avalon Beach","DPH 118",1797,2003,2025,33.34327,-118.325
"Dominguez
Watershed","Avalon Beach","DPH 119",1901,2003,2025,33.34381,-118.326
"Dominguez
Watershed","Avalon Beach","DPH 120",1796,2003,2025,33.34422,-118.326
"Dominguez
Watershed","Avalon Beach","DPH 121",1743,2002,2025,33.34503,-118.327
"Dominguez
Watershed","Avalon Beach","DPH 123",204,2017,2025,33.35074,-118.3284295
"Dominguez
Watershed","Avalon Beach","DPH 124",202,2017,2025,33.3512183,-118.3286159
"Dominguez
Watershed","Inner Cabrillo Beach","CB-01",13646,2002,2025,33.71333,-118.283
"Dominguez
Watershed","Inner Cabrillo Beach","CB-02",13451,2002,2025,33.71138,-118.2831
"Dominguez
Watershed","Outer Cabrillo Beach","SMB-7-9",3322,1900,2025,33.70936,-118.28302
"Los Angeles River
Watershed","Long Beach","B-5",5649,1999,2025,33.76393,-118.1784286
"Los Angeles River
Watershed","Long Beach","B-56",5103,1999,2025,33.76345,-118.1736221
"San Gabriel River
Watershed","Alamitos Bay Beach","B-14",3420,1999,2025,33.75447,-118.1320419
"San Gabriel River
Watershed","Alamitos Bay Beach","B-22",2988,1999,2025,33.75965,-118.1191635
"San Gabriel River
Watershed","Alamitos Bay Beach","B-31",2896,1999,2024,33.75119,-118.1264496
"San Gabriel River
Watershed","Alamitos Bay Beach","B-67",2940,1999,2025,33.75806,-118.1302185
"San Gabriel River
Watershed","Colorado Lagoon","B-24",2964,1999,2025,33.77062,-118.13475
"San Gabriel River
Watershed","Colorado Lagoon","B-25",2930,1999,2025,33.7712,-118.13435
"San Gabriel River
Watershed","Long Beach","B-10",3735,1999,2025,33.75012,-118.1299286
"San Gabriel River
Watershed","Long Beach","B-11",3856,1999,2025,33.74454,-118.1191635
"San Gabriel River
Watershed","Long Beach","B-60",5132,1999,2025,33.76135,-118.1624527
"San Gabriel River
Watershed","Long Beach","B-64",3330,1999,2025,33.755,-118.1403809
"San Gabriel River
Watershed","Long Beach","B-69",542,2006,2016,33.7563,-118.1312167
"San Gabriel River
Watershed","Long Beach","B-7",5658,1999,2025,33.75956,-118.1549377
"San Gabriel River
Watershed","Long Beach","B-8",5670,1999,2025,33.75786,-118.1485214
"San Gabriel River
Watershed","Long Beach","B-9",3975,1999,2025,33.75641,-118.1441803
"Santa Monica Bay
Watershed","Abalone Cove","SMB-7-4",1510,1900,2018,33.7418,-118.379
"Santa Monica Bay
Watershed","Bluff Cove","SMB-7-2",1726,1900,2018,33.79362,-118.40684
"Santa Monica Bay
Watershed","Carbon Beach","SMB-1-13",1023,2019,2025,34.0383,-118.6731
"Santa Monica Bay
Watershed","Dan Blocker County Beach","DPH 005",2918,2002,2025,34.02908,-118.75366
"Santa Monica Bay
Watershed","Dan Blocker County Beach","DPH 005B",2102,2010,2025,34.02896,-118.75322221
"Santa Monica Bay
Watershed","Dan Blocker County Beach","SMB-1-10",1086,2019,2025,34.0329,-118.741
"Santa Monica Bay
Watershed","Dockweiler State Beach","DPH 002B",1190,2017,2025,34.0368898,-118.676899
"Santa Monica Bay
Watershed","Dockweiler State Beach","DPH 110",2943,2002,2025,33.94064,-118.44226
"Santa Monica Bay
Watershed","Dockweiler State Beach","DPH 111",2940,2002,2025,33.92331,-118.43326
"Santa Monica Bay
Watershed","Dockweiler State Beach","DPH 122",1321,2017,2025,33.9611547,-118.4562179
"Santa Monica Bay
Watershed","Dockweiler State Beach","SMB-2-10",3412,2002,2025,33.95702,-118.45196
"Santa Monica Bay
Watershed","Dockweiler State Beach","SMB-2-11",994,2019,2025,33.9444,-118.4442
"Santa Monica Bay
Watershed","Dockweiler State Beach","SMB-2-13",3339,2002,2025,33.93071,-118.43711
"Santa Monica Bay
Watershed","El Matador State Beach","SMB-1-3",399,2019,2025,34.0378,-118.8747
"Santa Monica Bay
Watershed","El Segundo Beach","DPH 112",2946,2002,2025,33.91592,-118.42926
"Santa Monica Bay
Watershed","El Segundo Beach","DPH 112B",2288,2010,2025,33.91534,-118.42954
"Santa Monica Bay
Watershed","Escondido Beach","SMB-1-8",1044,2019,2025,34.0253,-118.7656
"Santa Monica Bay
Watershed","Hermosa Beach","DPH 114",2909,2002,2025,33.87146,-118.40663
"Santa Monica Bay
Watershed","Hermosa Beach","DPH 115",7508,2002,2025,33.85203,-118.39971
"Santa Monica Bay
Watershed","Hermosa Beach","DPH 115B",2288,2010,2025,33.85232,-118.39977
"Santa Monica Bay
Watershed","La Costa Beach","SMB-1-14",894,2019,2025,34.0362,-118.6364
"Santa Monica Bay
Watershed","Las Tunas County Beach","SMB-1-16",930,2019,2025,34.0253392,-118.5977
"Santa Monica Bay
Watershed","Las Tunas County Beach","SMB-1-17",382,2019,2025,34.02530393,-118.5962
"Santa Monica Bay
Watershed","Leo Carillo State Beach","DPH 010",2919,2002,2025,34.04558,-118.93336
"Santa Monica Bay
Watershed","Leo Carillo State Beach","DPH 010B",2222,2010,2025,34.04477,-118.93326
"Santa Monica Bay
Watershed","Long Point","SMB-7-3",2141,1900,2018,33.73872,-118.39394
"Santa Monica Bay
Watershed","Malaga Cove","SMB-7-1",1698,1900,2018,33.8033,-118.39589
"Santa Monica Bay
Watershed","Malibu Beach","DPH 001",2705,2002,2025,34.0367,-118.61012
"Santa Monica Bay
Watershed","Malibu Lagoon State Beach","DPH 003",2820,2002,2025,34.03143,-118.68204
"Santa Monica Bay
Watershed","Malibu Lagoon State Beach","SMB-MC-2",14605,2000,2025,34.0351,-118.67853
"Santa Monica Bay
Watershed","Manhattan Beach","DPH 113",7563,2002,2025,33.89441,-118.41868
"Santa Monica Bay
Watershed","Manhattan Beach","DPH 113B",2270,2010,2025,33.89401,-118.41849
"Santa Monica Bay
Watershed","Marina Del Rey Beach - Mothers Beach","MDRH-1",5750,2019,2025,33.979889,-118.4577173
"Santa Monica Bay
Watershed","Marina Del Rey Beach - Mothers Beach","MDRH-2",8312,2002,2025,33.98084,-118.45802
"Santa Monica Bay
Watershed","Marina Del Rey Beach - Mothers Beach","MDRH-3",1358,2019,2025,33.9819795,-118.4569488
"Santa Monica Bay
Watershed","Nicholas Canyon County Beach","DPH 009",2750,2002,2025,34.04241,-118.91559
"Santa Monica Bay
Watershed","Nicholas Canyon County Beach","DPH 009B",2105,2010,2025,34.04234,-118.91619
"Santa Monica Bay
Watershed","Paradise Cove","DPH 006",3037,2002,2025,34.02071,-118.78616
"Santa Monica Bay
Watershed","Paradise Cove","SMB-1-6",1030,2019,2025,34.0171,-118.7897
"Santa Monica Bay
Watershed","Point Dume County Beach","DPH 007B",2156,2010,2025,34.01317,-118.82099
"Santa Monica Bay
Watershed","Point Fermin Park","SMB-7-8",2363,1900,2018,33.7101,-118.29901
"Santa Monica Bay
Watershed","Portuguese Bend","SMB-7-5",2146,1900,2018,33.7363,-118.36
"Santa Monica Bay
Watershed","Puerco Beach","DPH 004",2888,2002,2025,34.03329,-118.73389
"Santa Monica Bay
Watershed","Puerco Beach","DPH 004B",2177,2010,2025,34.03312,-118.73374
"Santa Monica Bay
Watershed","Puerco Beach","SMB-1-12",1164,2019,2025,34.0306,-118.7111
"Santa Monica Bay
Watershed","Redondo Beach","DPH 116",2880,2002,2025,33.83207,-118.39071
"Santa Monica Bay
Watershed","Royal Palms State Beach","SMB-7-6",3334,1900,2025,33.71773,-118.32182
"Santa Monica Bay
Watershed","Santa Monica State Beach","DPH 104",2929,2002,2025,34.02,-118.51038
"Santa Monica Bay
Watershed","Santa Monica State Beach","DPH 104B",2237,2010,2025,34.01931,-118.51008
"Santa Monica Bay
Watershed","Santa Monica State Beach","DPH 105",3009,2002,2025,34.01475,-118.50405
"Santa Monica Bay
Watershed","Santa Monica State Beach","DPH 105B",2252,2010,2025,34.0144,-118.5039
"Santa Monica Bay
Watershed","Santa Monica State Beach","DPH 106",2892,2002,2025,34.00199,-118.48979
"Santa Monica Bay
Watershed","Santa Monica State Beach","SMB-3-3",14416,2002,2025,34.00806,-118.49657
"Santa Monica Bay
Watershed","Santa Monica State Beach","SMB-3-4",14313,2002,2025,34.00497,-118.49296
"Santa Monica Bay
Watershed","Santa Monica State Beach","SMB-3-5",14330,2002,2025,33.99662,-118.48488
"Santa Monica Bay
Watershed","Surfrider Beach","DPH 002",2869,2002,2025,34.03757,-118.67631
"Santa Monica Bay
Watershed","Topanga State Beach","SMB-1-18",13932,2002,2025,34.0385,-118.58196
"Santa Monica Bay
Watershed","Torrance Beach","SMB-6-6",1632,2002,2015,33.8044,-118.39424
"Santa Monica Bay
Watershed","Venice City Beach","DPH 107",2883,2002,2025,33.98933,-118.47857
"Santa Monica Bay
Watershed","Venice City Beach","DPH 107B",2231,2010,2025,33.98857,-118.47822
"Santa Monica Bay
Watershed","Venice City Beach","DPH 108",2871,2002,2025,33.97826,-118.46714
"Santa Monica Bay
Watershed","Venice City Beach","DPH 109",2956,2002,2025,33.96768,-118.45994
"Santa Monica Bay
Watershed","Venice City Beach","SMB-3-6",1002,2019,2025,33.9935842,-118.4824055
"Santa Monica Bay
Watershed","Venice City Beach","SMB-3-8",3477,2002,2025,33.98625,-118.47635
"Santa Monica Bay
Watershed","Will Rogers State Beach","DPH 101",1925,2002,2025,34.03934,-118.55052
"Santa Monica Bay
Watershed","Will Rogers State Beach","DPH 102",2953,2002,2025,34.03833,-118.54393
"Santa Monica Bay
Watershed","Will Rogers State Beach","DPH 102B",2243,2010,2025,34.03846,-118.54452
"Santa Monica Bay
Watershed","Will Rogers State Beach","DPH 103",2903,2002,2025,34.03477,-118.53611
"Santa Monica Bay
Watershed","Will Rogers State Beach","DPH 103B",2230,2010,2025,34.0343,-118.53569
"Santa Monica Bay
Watershed","Will Rogers State Beach","SMB-2-1",1075,2019,2025,34.02530412,-118.566
"Santa Monica Bay
Watershed","Will Rogers State Beach","SMB-2-4",3746,2002,2025,34.03744,-118.54191
"Santa Monica Bay
Watershed","Will Rogers State Beach","SMB-2-7",14014,2002,2025,34.02645,-118.51955
"Santa Monica Bay
Watershed","Zuma Beach","DPH 007",2833,2002,2025,34.01393,-118.81942
"Santa Monica Bay
Watershed","Zuma Beach","DPH 008",2868,2002,2025,34.0296,-118.84182
"Santa Monica Bay
Watershed","Zuma Beach","DPH 008B",2183,2010,2025,34.02859,-118.84194
