"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.24829008204556,0.0975809473638479,-33.2881589059976,5.72889350625318e-243
"total_rain_in",0.391650257962153,0.00456856235087023,85.7272436891555,0
"station_nameB-11",0.271336264905094,0.129765699904679,2.09097061168249,0.0365306984872124
"station_nameB-14",0.377211001126519,0.133523295100255,2.82505761143247,0.00472721155688459
"station_nameB-22",0.628282005201359,0.138545500957688,4.53484235040758,5.76465270989271e-06
"station_nameB-24",0.60660232611303,0.143570279047015,4.22512465769036,2.38808547775397e-05
"station_nameB-25",0.525258677779274,0.145969260453695,3.59841980528428,0.000320156538887613
"station_nameB-31",0.245329770717946,0.151453516886411,1.61983541723855,0.105267635998804
"station_nameB-5",0.623695815735078,0.113029549948929,5.51798902160442,3.42900848010275e-08
"station_nameB-56",0.469506679871122,0.117504577703207,3.99564586374671,6.45181180705377e-05
"station_nameB-60",0.551251841043773,0.116311835516375,4.73943033051151,2.14319907985036e-06
"station_nameB-64",0.547427938413204,0.132125050167966,4.14325623882283,3.42408995620061e-05
"station_nameB-67",0.436944584138364,0.14545002717433,3.00408733244623,0.00266378850167956
"station_nameB-7",0.552006434936729,0.113626845217428,4.85806354898309,1.18539366955462e-06
"station_nameB-8",0.472765078092085,0.114634838021343,4.12409601001105,3.72193630258252e-05
"station_nameB-9",0.639947742554537,0.121978639881869,5.24639185331382,1.55106825969679e-07
"station_nameCB-01",0.329715974378143,0.106484143113215,3.09638566586939,0.00195895391628071
"station_nameCB-02",1.33707933742017,0.101955962772715,13.1142828830997,2.72749957774974e-39
"station_nameDPH-001",-0.614223271140339,0.183898790972314,-3.34000711963795,0.000837762421335549
"station_nameDPH-002",-0.0402054282681018,0.156380724601289,-0.257099641727651,0.797101854114474
"station_nameDPH-002B",-0.160389869017012,0.177444057223044,-0.903889775330177,0.366053851360936
"station_nameDPH-003",-1.61318755282411,0.257419428353205,-6.26676689923599,3.68621317524213e-10
"station_nameDPH-004",-0.938921145792557,0.197976092863791,-4.74259862496903,2.10994051025003e-06
"station_nameDPH-004B",-1.61941966683,0.257374321222491,-6.29207940845842,3.13241159788044e-10
"station_nameDPH-005",-0.937462706092096,0.195927028599347,-4.78475436898052,1.71196563958831e-06
"station_nameDPH-005B",-1.19782059530011,0.221819211812991,-5.3999858060534,6.66461698318957e-08
"station_nameDPH-006",-0.0386914129027786,0.150245706920268,-0.257520921534958,0.79677666672854
"station_nameDPH-007",-0.920912947928623,0.198013168415124,-4.65076618539823,3.30704096317805e-06
"station_nameDPH-007B",-1.14435967942949,0.215375171533932,-5.31333148235799,1.07638976548365e-07
"station_nameDPH-008",-0.639631058167858,0.177267169184443,-3.60828833173465,0.000308223835313579
"station_nameDPH-008B",-0.9000763822598,0.194039912637268,-4.63861465420454,3.50752335375239e-06
"station_nameDPH-009",-2.53147729421714,0.392005766396535,-6.45775524550936,1.06267423068569e-10
"station_nameDPH-009B",-2.17128364124901,0.332859736772735,-6.52311890377863,6.88602299639342e-11
"station_nameDPH-010",-0.427885105142225,0.165776793887804,-2.58109169026284,0.00984884196959182
"station_nameDPH-010B",-0.493487348248694,0.169506543705308,-2.91131738905983,0.00359908218269447
"station_nameDPH-101",-1.51746839409929,0.350529286714667,-4.32907734563852,1.49735342709365e-05
"station_nameDPH-102",-0.465622454820811,0.168531807651224,-2.76281647547752,0.00573049775576352
"station_nameDPH-102B",-0.748008194525529,0.183912021181749,-4.06720664434609,4.75800482025864e-05
"station_nameDPH-103",-1.07977965063765,0.207043901574348,-5.21522074510321,1.83598461049388e-07
"station_nameDPH-103B",-1.01663620109685,0.202246679511683,-5.02671392950171,4.98955811398933e-07
"station_nameDPH-104",-0.141523753111393,0.15323086935364,-0.923598186895177,0.355695558186206
"station_nameDPH-104B",-0.430102985430837,0.166676591767714,-2.58046424437478,0.00986675733442147
"station_nameDPH-105",0.194093373032949,0.140989323307273,1.37665298676511,0.168619560429635
"station_nameDPH-105B",-0.287722152479555,0.15953027004384,-1.80355836168576,0.0713005685251362
"station_nameDPH-106",-0.465765374988665,0.167603152904595,-2.7789774053582,0.00545303179511831
"station_nameDPH-107",-0.451024922131354,0.167584670748886,-2.69132564521479,0.00711686881234407
"station_nameDPH-107B",-0.545201076176515,0.172577103637745,-3.15917386886352,0.00158217069252388
"station_nameDPH-108",-0.790380695379324,0.187011375597755,-4.2263776353336,2.37483317046798e-05
"station_nameDPH-109",-0.252799780534512,0.157387806416727,-1.60622214827212,0.108225108638547
"station_nameDPH-110",-0.368716322262609,0.162384346491768,-2.27063956735079,0.0231688061444686
"station_nameDPH-111",-1.29451958650817,0.221424311915968,-5.84632995043221,5.02536784590815e-09
"station_nameDPH-112",-0.795046682899518,0.185315892896606,-4.29022395474252,1.78493027188661e-05
"station_nameDPH-112B",-1.01061614243761,0.199923175184778,-5.0550224680233,4.30340103306427e-07
"station_nameDPH-113",0.19329463522837,0.110836953971066,1.74395477593898,0.0811669759979845
"station_nameDPH-113B",-0.996022041596926,0.199924489200386,-4.98199117867248,6.29333045408202e-07
"station_nameDPH-114",-1.99348282158957,0.295880248294771,-6.73746501525024,1.61173730188085e-11
"station_nameDPH-115",0.0852965413954929,0.112167028550437,0.760442194981911,0.446990309537435
"station_nameDPH-115B",-0.655484818510108,0.177073691622217,-3.7017628790875,0.000214106669011567
"station_nameDPH-116",-1.29378670357346,0.225019768630154,-5.74965795871897,8.94241727595263e-09
"station_nameDPH-117",-2.11999251872782,0.510706302571938,-4.15109918959575,3.30882317582715e-05
"station_nameDPH-118",-0.992359176225963,0.277958207134319,-3.57017404327415,0.000356744121823474
"station_nameDPH-119",-0.648968022368648,0.241286903636876,-2.68961146496915,0.00715352525283958
"station_nameDPH-120",-0.521554947964504,0.228601278859335,-2.28150494418464,0.0225185844782255
"station_nameDPH-121",-1.19208338599394,0.306521500475332,-3.88906939364886,0.000100629344205817
"station_nameDPH-122",-0.00415301119793752,0.163580773765216,-0.0253881376297819,0.979745372859777
"station_nameDPH-123",-1.40256902614515,0.717711553394266,-1.95422383757373,0.0506747514072205
"station_nameDPH-124",-0.982038105078114,0.590364308154131,-1.66344423521912,0.0962235446669368
"station_nameMDRH-1",1.43672656323954,0.103896454695865,13.8284464801542,1.71688406729339e-43
"station_nameMDRH-2",1.79788021050298,0.108127925087302,16.6273440376422,4.41746525318826e-62
