TT-----------------------------------------------------------------------------------------
TT LSPC -- Loading Simulation Program, C++
TT Version 6.0 (64-bit) - Jan 2020
TT
TT Created through code updates by:
TT Paradigm Environmental, Inc.
TT San Diego, California, USA
TT www.paradigmh2o.com
TT 
TT Based upon LSPC version 5.0 (Mar 2018), originally developed by :
TT United States Environmental Protection Agency
TT with support by Tetra Tech, Inc.
TT https://github.com/USEPA/LSPC-Loading-Simulation-Program 
TT 
TT NOTE: The line starting with the letter c and followed by space or - is a comment line.
TT       There must be no comment line in between the data lines
TT       The input text field must be a continuous string without any space in between the characters
TT-----------------------------------------------------------------------------------------
TT LSPC MODEL OUTPUT FILE
TT This output file was created at 07:42:59am on 02/16/2026
TT Time interval: 60 min      Output option: day
TT Label   
TT PREC     precipitation (rain + snow) volume (in-acre/day)
TT SURO     surface outflow volume (in-acre/day)
TT IFWO     interflow outflow volume (in-acre/day)
TT AGWO     groundwater outflow volume (in-acre/day)
TT PERO     total outflow rate volume (SURO+IFWO+AGWO) (in-acre/day)
TT DEP      stream depth (ft)
TT AVDEP    stream average depth (ft)
TT TAU      bed shear stress (kg/m^2)
TT RO       total rate of outflow from RCHRES (cfs)
TT SOSED    sediments load from land (english tons/day)
TT SSEDOUT1 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT2 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT3 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT  total suspended solid concentration in outflow from the RCHRES (mg/l)
TT POQUAL1  total flux of QUAL from the PLS_TN (lb/day) 
TT POQUAL2  total flux of QUAL from the PLS_TP (lb/day) 
TT POQUAL3  total flux of QUAL from the PLS_TCd (lb/day) 
TT POQUAL4  total flux of QUAL from the PLS_TCu (lb/day) 
TT POQUAL5  total flux of QUAL from the PLS_TPb (lb/day) 
TT POQUAL6  total flux of QUAL from the PLS_TZn (lb/day) 
TT CONC1    TN dissolved concentration (average) in RCHRES (mg/l)
TT CONC2    TP dissolved concentration (average) in RCHRES (mg/l)
TT CONC3    TCd dissolved concentration (average) in RCHRES (ug/l)
TT CONC4    TCu dissolved concentration (average) in RCHRES (ug/l)
TT CONC5    TPb dissolved concentration (average) in RCHRES (ug/l)
TT CONC6    TZn dissolved concentration (average) in RCHRES (ug/l)
TT
TT WATERSHED_2034 Area:  602.771 (acres)
TT Date/time     Values
TT
2034	2008	10	1	0	0		0.000000000000e+00	3.789593665761e-01	1.324252671161e-01	5.071495722078e+00	5.582880355770e+00	8.256113925207e-02	8.115867724718e-02	1.564959271376e+02	1.571863615076e+00	5.165332157421e-03	0.000000000000e+00	3.717306692074e+01	1.087332948988e+01	4.804639641062e+01	1.268691160529e+00	2.662529680615e-01	6.110204801110e-06	1.525654565340e-03	2.439277111937e-04	6.235063340825e-02	2.644387896783e+00	3.033023519174e-01	3.498633154683e-02	8.734071591331e+00	1.396283733711e+00	5.376341189620e+01
2034	2008	10	2	0	0		0.000000000000e+00	3.845194794425e-01	1.143220388333e-01	5.022532994846e+00	5.521374513122e+00	7.953349048260e-02	7.822923144522e-02	1.691057751833e-01	1.488173695891e+00	5.154199516350e-03	0.000000000000e+00	3.450885278425e+01	1.011254358684e+01	4.462139637109e+01	1.257284413812e+00	2.623732770063e-01	6.106314896231e-06	1.524514034577e-03	2.437295411809e-04	6.179265099664e-02	2.567421779789e+00	2.909975434777e-01	3.248145955526e-02	8.107313407730e+00	1.295952007002e+00	5.238558571373e+01
2034	2008	10	3	0	0		0.000000000000e+00	3.633559059526e-01	1.014050930686e-01	4.963658487834e+00	5.428419486855e+00	7.641966411979e-02	7.523508186632e-02	1.625801929602e-01	1.402856443956e+00	4.995861008314e-03	0.000000000000e+00	3.410396507111e+01	1.000343985335e+01	4.410740492446e+01	1.221798692868e+00	2.577346657361e-01	5.904181178009e-06	1.474361342242e-03	2.357406458811e-04	6.096405904581e-02	2.539297672625e+00	2.917354149960e-01	3.219032271041e-02	8.035956011829e+00	1.284667993087e+00	5.359537752544e+01
2034	2008	10	4	0	0		0.000000000000e+00	3.700332479514e-01	9.505331650996e-02	4.901102788315e+00	5.366189352776e+00	7.494657323003e-02	7.389007376900e-02	1.596530603407e-01	1.364586309182e+00	5.058095501705e-03	0.000000000000e+00	3.464926001276e+01	1.016119390460e+01	4.481045391736e+01	1.214341439524e+00	2.546976979903e-01	5.997101426794e-06	1.497687423611e-03	2.394817806896e-04	6.032964801485e-02	2.540815081510e+00	2.937433882396e-01	3.278214264141e-02	8.185245295054e+00	1.308678813114e+00	5.487306622988e+01
2034	2008	10	5	0	0		0.000000000000e+00	3.433077674004e-01	9.020320041858e-02	4.841513875209e+00	5.275024843028e+00	7.552770210093e-02	7.438265623771e-02	1.607257740200e-01	1.378611262069e+00	4.835276654544e-03	0.000000000000e+00	3.542547651711e+01	1.037971790581e+01	4.580519442291e+01	1.177358610879e+00	2.504089944993e-01	5.708538502308e-06	1.425793357925e-03	2.280017522872e-04	5.942374648920e-02	2.554714155428e+00	2.935196303807e-01	3.347297534949e-02	8.358702601854e+00	1.336501900982e+00	5.523004404334e+01
2034	2008	10	6	0	0		0.000000000000e+00	3.266342043645e-01	8.162136345391e-02	4.761273894357e+00	5.169529462176e+00	7.133068658363e-02	7.027440626109e-02	1.518080748314e-01	1.262018816774e+00	4.689317590509e-03	0.000000000000e+00	3.646060048574e+01	1.068378363290e+01	4.714438411863e+01	1.144470694068e+00	2.452703982445e-01	5.526492152869e-06	1.380456213766e-03	2.207640905872e-04	5.836902912196e-02	2.596519040458e+00	3.019423845012e-01	3.436394107597e-02	8.582063465636e+00	1.372297452855e+00	5.708227332129e+01
2034	2008	10	7	0	0		0.000000000000e+00	3.720764700488e-01	8.835217198281e-02	4.699438986680e+00	5.159867628712e+00	7.038310276459e-02	6.947998081092e-02	1.500844733760e-01	1.239483978567e+00	5.002300376090e-03	0.000000000000e+00	3.641997611577e+01	1.067604236748e+01	4.709601848325e+01	1.178848708176e+00	2.447767943133e-01	5.956240385715e-06	1.487052093141e-03	2.377409212624e-04	5.801174769902e-02	2.612483130412e+00	3.040439939219e-01	3.445650661697e-02	8.604014005722e+00	1.375698393720e+00	5.777321630205e+01
2034	2008	10	8	0	0		0.000000000000e+00	3.750194242722e-01	9.671144000581e-02	4.663848214171e+00	5.135579078449e+00	7.158476043296e-02	7.062401350242e-02	1.525633156565e-01	1.271893042483e+00	5.022640024637e-03	0.000000000000e+00	3.612583843589e+01	1.058855471219e+01	4.671439314808e+01	1.179200936030e+00	2.440462707907e-01	5.987602649193e-06	1.494866338319e-03	2.389887438930e-04	5.763355591639e-02	2.623164159410e+00	3.008736682048e-01	3.416198675306e-02	8.528586916477e+00	1.363462327936e+00	5.683565905935e+01
2034	2008	10	9	0	0		0.000000000000e+00	3.872077284456e-01	1.028338998479e-01	4.639099324854e+00	5.129140953147e+00	7.238993660306e-02	7.142642635713e-02	1.543031066661e-01	1.294639547362e+00	5.114296823249e-03	0.000000000000e+00	3.574147922919e+01	1.047383753646e+01	4.621531676565e+01	1.188869861303e+00	2.439789597691e-01	6.113385016121e-06	1.526156650332e-03	2.439807010414e-04	5.745367731740e-02	2.626912809869e+00	2.974309725452e-01	3.383494247822e-02	8.445736368938e+00	1.350104555639e+00	5.572392175947e+01
2034	2008	10	10	0	0		0.000000000000e+00	3.208919402085e-01	9.716812860264e-02	4.606396634183e+00	5.024456702995e+00	7.254799718750e-02	7.144557845318e-02	1.543478400138e-01	1.295224403421e+00	4.617475339391e-03	0.000000000000e+00	3.628428865559e+01	1.062854125785e+01	4.691282991344e+01	1.119677018301e+00	2.393609530236e-01	5.452048709047e-06	1.361784624192e-03	2.177709682509e-04	5.655457773283e-02	2.652299384601e+00	2.996142516330e-01	3.426983051288e-02	8.554784175979e+00	1.367582612614e+00	5.577346761187e+01
