rchid,type,parmname,value1
2089,0,DRAT_IVOL,2.010948044099e+07
2089,0,DRAT_OVOL,1.999375657288e+07
2089,-1,USLINK,0.000000000000e+00
2089,-1,PCP,1.328763996447e+05
2089,-1,EVAP,1.157151538505e+05
2089,-1,INFILT,0.000000000000e+00
2089,-1,USIF,0.000000000000e+00
2089,-2,LUIF,1.997660404135e+07
2089,-1,USBP,0.000000000000e+00
2089,-2,LUBP,0.000000000000e+00
2089,-5,IRWD,0.000000000000e+00
2089,0,IVOL,1.997660404135e+07
2089,1,RO,1.999375657288e+07
2089,1,BP,0.000000000000e+00
2089,0,DRAT_ISED_1,1.422245702135e+01
2089,0,DRAT_OSED_1,1.723201670648e+00
2089,-1,USSED_1,0.000000000000e+00
2089,-2,LUSED_1,1.418205428129e+01
2089,-1,USSBP_1,0.000000000000e+00
2089,-2,LUSBP_1,0.000000000000e+00
2089,-5,IRWDSED_1,0.000000000000e+00
2089,0,ISED_1,1.418205428129e+01
2089,0,DEPSCR_1,1.245885261064e+01
2089,0,DEPMASS_1,1.249925535070e+01
2089,0,SCRMASS_1,4.040274006267e-02
2089,0,BEDSED_1,1.983976875726e+06
2089,1,ROSED_1,1.723201670648e+00
2089,1,BPSED_1,0.000000000000e+00
2089,0,DRAT_ISED_2,4.654941847356e+01
2089,0,DRAT_OSED_2,4.621091933823e+01
2089,-1,USSED_2,0.000000000000e+00
2089,-2,LUSED_2,4.653823813722e+01
2089,-1,USSBP_2,0.000000000000e+00
2089,-2,LUSBP_2,0.000000000000e+00
2089,-5,IRWDSED_2,0.000000000000e+00
2089,0,ISED_2,4.653823813722e+01
2089,0,DEPSCR_2,3.273621417047e-01
2089,0,DEPMASS_2,3.385424780467e-01
2089,0,SCRMASS_2,1.118033634195e-02
2089,0,BEDSED_2,9.890843276967e+06
2089,1,ROSED_2,4.621091933823e+01
2089,1,BPSED_2,0.000000000000e+00
2089,0,DRAT_ISED_3,1.571682708588e+01
2089,0,DRAT_OSED_3,1.571683916536e+01
2089,-1,USSED_3,0.000000000000e+00
2089,-2,LUSED_3,1.562638698369e+01
2089,-1,USSBP_3,0.000000000000e+00
2089,-2,LUSBP_3,0.000000000000e+00
2089,-5,IRWDSED_3,0.000000000000e+00
2089,0,ISED_3,1.562638698369e+01
2089,0,DEPSCR_3,-9.044010218829e-02
2089,0,DEPMASS_3,0.000000000000e+00
2089,0,SCRMASS_3,9.044010218829e-02
2089,0,BEDSED_3,2.816181557553e+06
2089,1,ROSED_3,1.571683916536e+01
2089,1,BPSED_3,0.000000000000e+00
2089,0,DRAT_IGQL_TN,2.531714934366e+03
2089,0,DRAT_OGQL_TN,2.521657637043e+03
2089,-1,USQUAL_TN,0.000000000000e+00
2089,-2,LUQUAL_TN,2.531714934366e+03
2089,-1,USQUBP_TN,0.000000000000e+00
2089,-2,LUQUBP_TN,0.000000000000e+00
2089,-5,IRWDQUAL_TN,0.000000000000e+00
2089,-7,INFILTQUAL_TN,0.000000000000e+00
2089,-8,INFILTQUALTARGET_TN,0.000000000000e+00
2089,0,ADTOT_TN,0.000000000000e+00
2089,0,IQUAL_TN,2.531714934366e+03
2089,0,ADQAL_TN,0.000000000000e+00
2089,0,DSQAL_TN,0.000000000000e+00
2089,0,DEPQAL_TN,0.000000000000e+00
2089,0,SCRQAL_TN,0.000000000000e+00
2089,1,QUAL_TN,2.521657637043e+03
2089,1,QUBP_TN,0.000000000000e+00
2089,0,DRAT_IGQL_TP,4.014278349618e+02
2089,0,DRAT_OGQL_TP,4.000497307582e+02
2089,-1,USQUAL_TP,0.000000000000e+00
2089,-2,LUQUAL_TP,4.014278349618e+02
2089,-1,USQUBP_TP,0.000000000000e+00
2089,-2,LUQUBP_TP,0.000000000000e+00
2089,-5,IRWDQUAL_TP,0.000000000000e+00
2089,-7,INFILTQUAL_TP,0.000000000000e+00
2089,-8,INFILTQUALTARGET_TP,0.000000000000e+00
