subbasin,deluid,parmname,value1
2122,1000,AREA,0.000000000000e+00
2122,1000,PREC,0.000000000000e+00
2122,1000,SURO,0.000000000000e+00
2122,1000,IFWO,0.000000000000e+00
2122,1000,AGWO,0.000000000000e+00
2122,1000,PERO,0.000000000000e+00
2122,1000,TAET,0.000000000000e+00
2122,1000,SEDLOAD,0.000000000000e+00
2122,1000,SEDWSSD, 0.00000e+00
2122,1000,SEDSCRS, 0.00000e+00
2122,1000,SEDSURO, 0.00000e+00
2122,1000,SEDIFWO, 0.00000e+00
2122,1000,SEDAGWO, 0.00000e+00
2122,1000,SO_TN,0.000000000000e+00
2122,1000,IO_TN,0.000000000000e+00
2122,1000,AO_TN,0.000000000000e+00
2122,1000,PO_TN,0.000000000000e+00
2122,1000,SO_TP,0.000000000000e+00
2122,1000,IO_TP,0.000000000000e+00
2122,1000,AO_TP,0.000000000000e+00
2122,1000,PO_TP,0.000000000000e+00
2122,1000,SED_TP,0.000000000000e+00
2122,1000,SEDWSSD_TP,0.000000000000e+00
2122,1000,SEDSCRS_TP,0.000000000000e+00
2122,1000,SO_TCd,0.000000000000e+00
2122,1000,IO_TCd,0.000000000000e+00
2122,1000,AO_TCd,0.000000000000e+00
2122,1000,PO_TCd,0.000000000000e+00
2122,1000,SED_TCd,0.000000000000e+00
2122,1000,SEDWSSD_TCd,0.000000000000e+00
2122,1000,SEDSCRS_TCd,0.000000000000e+00
2122,1000,SO_TCu,0.000000000000e+00
2122,1000,IO_TCu,0.000000000000e+00
2122,1000,AO_TCu,0.000000000000e+00
2122,1000,PO_TCu,0.000000000000e+00
2122,1000,SED_TCu,0.000000000000e+00
2122,1000,SEDWSSD_TCu,0.000000000000e+00
2122,1000,SEDSCRS_TCu,0.000000000000e+00
2122,1000,SO_TPb,0.000000000000e+00
2122,1000,IO_TPb,0.000000000000e+00
2122,1000,AO_TPb,0.000000000000e+00
2122,1000,PO_TPb,0.000000000000e+00
2122,1000,SED_TPb,0.000000000000e+00
2122,1000,SEDWSSD_TPb,0.000000000000e+00
2122,1000,SEDSCRS_TPb,0.000000000000e+00
2122,1000,SO_TZn,0.000000000000e+00
2122,1000,IO_TZn,0.000000000000e+00
2122,1000,AO_TZn,0.000000000000e+00
2122,1000,PO_TZn,0.000000000000e+00
2122,1000,SED_TZn,0.000000000000e+00
2122,1000,SEDWSSD_TZn,0.000000000000e+00
2122,1000,SEDSCRS_TZn,0.000000000000e+00
2122,2000,AREA,2.501886099997e+01
2122,2000,PREC,2.767032485690e+02
2122,2000,SURO,2.529744566924e+02
2122,2000,IFWO,0.000000000000e+00
2122,2000,AGWO,0.000000000000e+00
2122,2000,PERO,2.529744566924e+02
2122,2000,TAET,2.372879187653e+01
2122,2000,SEDLOAD,5.629535238688e+00
2122,2000,SEDWSSD, 5.62954e+00
2122,2000,SEDSCRS, 0.00000e+00
2122,2000,SEDSURO, 0.00000e+00
2122,2000,SEDIFWO, 0.00000e+00
2122,2000,SEDAGWO, 0.00000e+00
2122,2000,SO_TN,8.083881638926e+00
2122,2000,IO_TN,0.000000000000e+00
2122,2000,AO_TN,0.000000000000e+00
2122,2000,PO_TN,8.083881638926e+00
2122,2000,SO_TP,2.512180100265e+01
2122,2000,IO_TP,0.000000000000e+00
2122,2000,AO_TP,0.000000000000e+00
2122,2000,PO_TP,2.512180100265e+01
2122,2000,SED_TP,2.512180100265e+01
2122,2000,SEDWSSD_TP,2.512180100265e+01
2122,2000,SEDSCRS_TP,0.000000000000e+00
2122,2000,SO_TCd,8.444302858033e-02
2122,2000,IO_TCd,0.000000000000e+00
2122,2000,AO_TCd,0.000000000000e+00
2122,2000,PO_TCd,8.444302858033e-02
2122,2000,SED_TCd,8.444302858033e-02
2122,2000,SEDWSSD_TCd,8.444302858033e-02
2122,2000,SEDSCRS_TCd,0.000000000000e+00
2122,2000,SO_TCu,8.444302858033e+00
2122,2000,IO_TCu,0.000000000000e+00
2122,2000,AO_TCu,0.000000000000e+00
2122,2000,PO_TCu,8.444302858033e+00
2122,2000,SED_TCu,8.444302858033e+00
2122,2000,SEDWSSD_TCu,8.444302858033e+00
2122,2000,SEDSCRS_TCu,0.000000000000e+00
2122,2000,SO_TPb,1.823969417335e+00
2122,2000,IO_TPb,0.000000000000e+00
2122,2000,AO_TPb,0.000000000000e+00
2122,2000,PO_TPb,1.823969417335e+00
2122,2000,SED_TPb,1.823969417335e+00
2122,2000,SEDWSSD_TPb,1.823969417335e+00
2122,2000,SEDSCRS_TPb,0.000000000000e+00
2122,2000,SO_TZn,3.891134756981e+01
2122,2000,IO_TZn,0.000000000000e+00
2122,2000,AO_TZn,0.000000000000e+00
2122,2000,PO_TZn,3.891134756981e+01
2122,2000,SED_TZn,3.891134756981e+01
2122,2000,SEDWSSD_TZn,3.891134756981e+01
2122,2000,SEDSCRS_TZn,0.000000000000e+00
2122,3000,AREA,6.384917000001e+01
2122,3000,PREC,7.061581563378e+02
2122,3000,SURO,6.456012961986e+02
2122,3000,IFWO,0.000000000000e+00
2122,3000,AGWO,0.000000000000e+00
2122,3000,PERO,6.456012961986e+02
2122,3000,TAET,6.055686013920e+01
2122,3000,SEDLOAD,1.106749091242e+01
2122,3000,SEDWSSD, 1.10675e+01
