TT-----------------------------------------------------------------------------------------
TT LSPC -- Loading Simulation Program, C++
TT Version 6.0 (64-bit) - Jan 2020
TT
TT Created through code updates by:
TT Paradigm Environmental, Inc.
TT San Diego, California, USA
TT www.paradigmh2o.com
TT 
TT Based upon LSPC version 5.0 (Mar 2018), originally developed by :
TT United States Environmental Protection Agency
TT with support by Tetra Tech, Inc.
TT https://github.com/USEPA/LSPC-Loading-Simulation-Program 
TT 
TT NOTE: The line starting with the letter c and followed by space or - is a comment line.
TT       There must be no comment line in between the data lines
TT       The input text field must be a continuous string without any space in between the characters
TT-----------------------------------------------------------------------------------------
TT LSPC MODEL OUTPUT FILE
TT This output file was created at 11:30:17pm on 02/15/2026
TT Time interval: 60 min      Output option: day
TT Label   
TT PREC     precipitation (rain + snow) volume (in-acre/day)
TT SURO     surface outflow volume (in-acre/day)
TT IFWO     interflow outflow volume (in-acre/day)
TT AGWO     groundwater outflow volume (in-acre/day)
TT PERO     total outflow rate volume (SURO+IFWO+AGWO) (in-acre/day)
TT DEP      stream depth (ft)
TT AVDEP    stream average depth (ft)
TT TAU      bed shear stress (kg/m^2)
TT RO       total rate of outflow from RCHRES (cfs)
TT SOSED    sediments load from land (english tons/day)
TT SSEDOUT1 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT2 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT3 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT  total suspended solid concentration in outflow from the RCHRES (mg/l)
TT POQUAL1  total flux of QUAL from the PLS_TN (lb/day) 
TT POQUAL2  total flux of QUAL from the PLS_TP (lb/day) 
TT POQUAL3  total flux of QUAL from the PLS_TCd (lb/day) 
TT POQUAL4  total flux of QUAL from the PLS_TCu (lb/day) 
TT POQUAL5  total flux of QUAL from the PLS_TPb (lb/day) 
TT POQUAL6  total flux of QUAL from the PLS_TZn (lb/day) 
TT CONC1    TN dissolved concentration (average) in RCHRES (mg/l)
TT CONC2    TP dissolved concentration (average) in RCHRES (mg/l)
TT CONC3    TCd dissolved concentration (average) in RCHRES (ug/l)
TT CONC4    TCu dissolved concentration (average) in RCHRES (ug/l)
TT CONC5    TPb dissolved concentration (average) in RCHRES (ug/l)
TT CONC6    TZn dissolved concentration (average) in RCHRES (ug/l)
TT
TT WATERSHED_6682 Area:  280.385 (acres)
TT Date/time     Values
TT
6682	2008	10	1	0	0		0.000000000000e+00	3.933924999436e-02	0.000000000000e+00	3.106486229152e-01	3.499878729095e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.957950550900e-03	7.004923083305e-04	8.339874120052e+00	5.863150407698e+01	1.686853857259e+01	8.383991676963e+01	5.660152986612e-02	1.762767472507e-02	8.870598333329e-07	2.217648865638e-04	3.548237515174e-05	4.229507106941e-03	2.356340205834e+00	3.106442332349e-01	5.559926157666e-02	1.389981089579e+01	2.223969323479e+00	6.654123058450e+01
6682	2008	10	2	0	0		0.000000000000e+00	4.411728124042e-02	0.000000000000e+00	2.929159958858e-01	3.370332771262e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.084192562607e-03	7.825320318324e-04	9.008981129082e+00	6.329113915814e+01	1.818870275872e+01	9.048882304594e+01	5.987861456597e-02	1.727224593840e-02	9.991249335067e-07	2.497812243556e-04	3.996499505493e-05	4.118236547215e-03	2.522105818735e+00	3.200439554378e-01	6.006000031365e-02	1.501499953613e+01	2.402399875168e+00	6.799899176119e+01
6682	2008	10	3	0	0		0.000000000000e+00	5.150375672499e-02	0.000000000000e+00	2.783256740817e-01	3.298294308067e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.333227506983e-03	9.051402944357e-04	9.718214771668e+00	6.822817685677e+01	1.958654626481e+01	9.753293789325e+01	6.551398872750e-02	1.727370145391e-02	1.164807200013e-06	2.912017642208e-04	4.659227893564e-05	4.085464119087e-03	2.696773862422e+00	3.293163590854e-01	6.478822890832e-02	1.619705523681e+01	2.591528652131e+00	6.937145486983e+01
6682	2008	10	4	0	0		0.000000000000e+00	7.341716172652e-02	0.000000000000e+00	2.802880039297e-01	3.537051656563e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.262139380715e-03	1.273586893268e-03	1.080365767108e+01	7.578359919956e+01	2.172555477146e+01	1.083128116421e+02	8.528604339085e-02	1.932650447761e-02	1.655773808983e-06	4.139433532675e-04	6.623092728483e-05	4.500471898688e-03	2.963867570016e+00	3.433565637043e-01	7.202452110544e-02	1.800612597090e+01	2.880979753501e+00	7.143426024150e+01
6682	2008	10	5	0	0		0.000000000000e+00	4.760087126453e-02	0.000000000000e+00	3.058100237258e-01	3.534108949903e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.284724552115e-03	8.387137645658e-04	9.076708918837e+00	6.376060146273e+01	1.832084748089e+01	9.115815786246e+01	6.367363975312e-02	1.814848215577e-02	1.072086524516e-06	2.680215213859e-04	4.288343317905e-05	4.322703833969e-03	2.537803863000e+00	3.202762561594e-01	6.051149728106e-02	1.512786812607e+01	2.420458322045e+00	6.796679844525e+01
6682	2008	10	6	0	0		0.000000000000e+00	4.096203075030e-02	0.000000000000e+00	2.984684382898e-01	3.394304690401e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.974956188921e-03	7.273005943171e-04	8.643538998354e+00	6.074579867566e+01	1.746751523687e+01	8.685685291089e+01	5.727685461488e-02	1.722597404756e-02	9.246443273291e-07	2.311610229349e-04	3.698575817251e-05	4.121564968397e-03	2.431400917106e+00	3.147972699124e-01	5.762370173215e-02	1.440592176257e+01	2.304947139433e+00	6.717459719693e+01
6682	2008	10	7	0	0		0.000000000000e+00	3.434785209815e-02	0.000000000000e+00	2.827436285590e-01	3.170914806572e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.631002781056e-03	6.149375598649e-04	8.215047724354e+00	5.776353673596e+01	1.662338365187e+01	8.260196811218e+01	5.031014382480e-02	1.592351552613e-02	7.772021834796e-07	1.943005298177e-04	3.108808327264e-05	3.825438532587e-03	2.326135663324e+00	3.093697442786e-01	5.476709728894e-02	1.369177319109e+01	2.190683605001e+00	6.638902279546e+01
6682	2008	10	8	0	0		0.000000000000e+00	3.167578325325e-02	0.000000000000e+00	2.620826419900e-01	2.937584252433e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.431933938098e-03	5.680571255264e-04	8.208405507621e+00	5.771777524048e+01	1.661064515828e+01	8.253682590638e+01	4.653008903255e-02	1.474955990579e-02	7.178161521725e-07	1.794540380431e-04	2.871264608690e-05	3.543826746013e-03	2.324744350051e+00	3.094456405433e-01	5.472282027164e-02	1.368070506791e+01	2.188912810866e+00	6.641684608149e+01
6682	2008	10	9	0	0		0.000000000000e+00	4.248896790876e-02	0.000000000000e+00	2.419226059984e-01	2.844115739071e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.801537725535e-03	7.494727040960e-04	9.556837882501e+00	6.710534796429e+01	1.926899663371e+01	9.593118248051e+01	5.495686541199e-02	1.481558621775e-02	9.627495925302e-07	2.406873978696e-04	3.850998363459e-05	3.511346637369e-03	2.657336936873e+00	3.274104863477e-01	6.371238856958e-02	1.592809712499e+01	2.548495538374e+00	6.911014396815e+01
6682	2008	10	10	0	0		0.000000000000e+00	4.910930211201e-02	0.000000000000e+00	2.317211960748e-01	2.808304981868e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.036823620854e-03	8.588192461423e-04	1.016563944289e+01	7.134277964741e+01	2.046851976927e+01	1.019769388596e+02	6.015679935470e-02	1.494257752934e-02	1.110086573620e-06	2.775215981345e-04	4.440345147627e-05	3.513627315090e-03	2.807016383146e+00	3.352005783227e-01	6.777106332863e-02	1.694276306838e+01	2.710841832988e+00	7.024594702361e+01
6682	2008	10	11	0	0		0.000000000000e+00	3.636272060575e-02	0.000000000000e+00	2.277194759450e-01	2.640821965508e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.484477379247e-03	6.417633564929e-04	9.192954940349e+00	6.457086741237e+01	1.855077903586e+01	9.231460138857e+01	4.833260056763e-02	1.360599414242e-02	8.212828561416e-07	2.053206804163e-04	3.285130572882e-05	3.237242148162e-03	2.566984691731e+00	3.221631382834e-01	6.128648714683e-02	1.532161927795e+01	2.451458850321e+00	6.828350085601e+01
6682	2008	10	12	0	0		0.000000000000e+00	3.617447554697e-02	0.000000000000e+00	2.134820484828e-01	2.496565240298e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.416751502717e-03	6.390101038708e-04	9.433078751725e+00	6.624377424502e+01	1.902506046773e+01	9.470191346447e+01	4.730388163030e-02	1.295463519544e-02	8.197626128572e-07	2.049406532143e-04	3.279050451429e-05	3.074706276288e-03	2.626831062184e+00	3.257746520100e-01	6.288732600498e-02	1.572183150125e+01	2.515493040199e+00	6.886619780149e+01
6682	2008	10	13	0	0		0.000000000000e+00	3.154627373327e-02	0.000000000000e+00	1.964034846042e-01	2.279497583375e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.150549057444e-03	5.584140986797e-04	9.244468085230e+00	6.493068986425e+01	1.865322289448e+01	9.282838084396e+01	4.194755858810e-02	1.176106312863e-02	7.148812910341e-07	1.787203227585e-04	2.859525164137e-05	2.797289523950e-03	2.580306998407e+00	3.232598377517e-01	6.162991887587e-02	1.540747971897e+01	2.465196755035e+00	6.848897566276e+01
6682	2008	10	14	0	0		0.000000000000e+00	3.362561078001e-02	0.000000000000e+00	1.806912058359e-01	2.143168166159e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.171896699651e-03	5.919741935426e-04	9.756953388384e+00	6.849854983448e+01	1.966356496575e+01	9.791906818862e+01	4.276419778686e-02	1.123742246692e-02	7.620018848967e-07	1.905004712242e-04	3.048007539587e-05	2.656955239750e-03	2.706720309870e+00	3.300929897227e-01	6.504649486134e-02	1.626162371534e+01	2.601859794454e+00	6.951394845840e+01
6682	2008	10	15	0	0		0.000000000000e+00	3.638585240795e-02	0.000000000000e+00	1.674108917087e-01	2.037967441166e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.232069420499e-03	6.372099767978e-04	1.027038923057e+01	7.207291421537e+01	2.067570173289e+01	1.030190051788e+02	4.435417948669e-02	1.088480580021e-02	8.243226782850e-07	2.060806683777e-04	3.297290682902e-05	2.556336920921e-03	2.833310729530e+00	3.369006007390e-01	6.846940739088e-02	1.711735174858e+01	2.738776270519e+00	7.053126924855e+01
6682	2008	10	16	0	0		0.000000000000e+00	4.021024505079e-02	0.000000000000e+00	1.559298696984e-01	1.961401147492e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.344510789756e-03	7.008898370883e-04	1.080553372064e+01	7.579851467832e+01	2.173071469221e+01	1.083347630912e+02	4.703929663623e-02	1.071101914997e-02	9.109637720360e-07	2.277409415439e-04	3.643855051028e-05	2.495562041095e-03	2.965310172046e+00	3.440337819393e-01	7.203704487828e-02	1.800926110371e+01	2.881481765781e+00	7.160103714254e+01
6682	2008	10	17	0	0		0.000000000000e+00	4.294233218231e-02	0.000000000000e+00	1.485183467115e-01	1.914606788938e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.428157704607e-03	7.456506045428e-04	1.112965241938e+01	7.805448938712e+01	2.236933876750e+01	1.115534805740e+02	4.896746183866e-02	1.061831196758e-02	9.717646671552e-07	2.429411459969e-04	3.887058141894e-05	2.460225172127e-03	3.045006401374e+00	3.481869198474e-01	7.419783493514e-02	1.854945714625e+01	2.967912995230e+00	7.220717165334e+01
6682	2008	10	18	0	0		0.000000000000e+00	5.083029874093e-02	0.000000000000e+00	1.460057086792e-01	1.968360074202e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.749005285650e-03	8.787474399156e-04	1.162977313024e+01	8.153597583587e+01	2.335509227043e+01	1.165208412365e+02	5.591033214949e-02	1.121580141795e-02	1.149607026335e-06	2.874017181177e-04	4.598427130868e-05	2.574029159501e-03	3.168221849961e+00	3.547568405345e-01	7.753197610472e-02	1.938299143195e+01	3.101278386985e+00	7.318282909446e+01
6682	2008	10	19	0	0		0.000000000000e+00	5.375490550270e-02	0.000000000000e+00	1.541167051797e-01	2.078716106824e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.905956839757e-03	9.275470649555e-04	1.161260108163e+01	8.141555479807e+01	2.332060743534e+01	1.163487633150e+02	5.901538283322e-02	1.183877707619e-02	1.213448096951e-06	3.033619458675e-04	4.853790402425e-05	2.717005078081e-03	3.163543990841e+00	3.542337486342e-01	7.741748591822e-02	1.935436647957e+01	3.096698170066e+00	7.307496730816e+01
6682	2008	10	20	0	0		0.000000000000e+00	5.472607586485e-02	0.000000000000e+00	1.662846495077e-01	2.210107253726e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.997881749545e-03	9.448859741931e-04	1.145392784263e+01	8.031067380163e+01	2.300763948740e+01	1.147722411317e+02	6.069381985955e-02	1.247538238752e-02	1.234728464041e-06	3.086820228059e-04	4.938911494988e-05	2.871900413590e-03	3.124296834940e+00	3.520465054383e-01	7.635965901056e-02	1.908990898858e+01	3.054384900194e+00	7.273972606765e+01
