TT-----------------------------------------------------------------------------------------
TT LSPC -- Loading Simulation Program, C++
TT Version 6.0 (64-bit) - Jan 2020
TT
TT Created through code updates by:
TT Paradigm Environmental, Inc.
TT San Diego, California, USA
TT www.paradigmh2o.com
TT 
TT Based upon LSPC version 5.0 (Mar 2018), originally developed by :
TT United States Environmental Protection Agency
TT with support by Tetra Tech, Inc.
TT https://github.com/USEPA/LSPC-Loading-Simulation-Program 
TT 
TT NOTE: The line starting with the letter c and followed by space or - is a comment line.
TT       There must be no comment line in between the data lines
TT       The input text field must be a continuous string without any space in between the characters
TT-----------------------------------------------------------------------------------------
TT LSPC MODEL OUTPUT FILE
TT This output file was created at 01:02:28pm on 02/13/2026
TT Time interval: 60 min      Output option: day
TT Label   
TT PREC     precipitation (rain + snow) volume (in-acre/day)
TT SURO     surface outflow volume (in-acre/day)
TT IFWO     interflow outflow volume (in-acre/day)
TT AGWO     groundwater outflow volume (in-acre/day)
TT PERO     total outflow rate volume (SURO+IFWO+AGWO) (in-acre/day)
TT DEP      stream depth (ft)
TT AVDEP    stream average depth (ft)
TT TAU      bed shear stress (kg/m^2)
TT RO       total rate of outflow from RCHRES (cfs)
TT SOSED    sediments load from land (english tons/day)
TT SSEDOUT1 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT2 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT3 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT  total suspended solid concentration in outflow from the RCHRES (mg/l)
TT POQUAL1  total flux of QUAL from the PLS_TN (lb/day) 
TT POQUAL2  total flux of QUAL from the PLS_TP (lb/day) 
TT POQUAL3  total flux of QUAL from the PLS_TCd (lb/day) 
TT POQUAL4  total flux of QUAL from the PLS_TCu (lb/day) 
TT POQUAL5  total flux of QUAL from the PLS_TPb (lb/day) 
TT POQUAL6  total flux of QUAL from the PLS_TZn (lb/day) 
TT CONC1    TN dissolved concentration (average) in RCHRES (mg/l)
TT CONC2    TP dissolved concentration (average) in RCHRES (mg/l)
TT CONC3    TCd dissolved concentration (average) in RCHRES (ug/l)
TT CONC4    TCu dissolved concentration (average) in RCHRES (ug/l)
TT CONC5    TPb dissolved concentration (average) in RCHRES (ug/l)
TT CONC6    TZn dissolved concentration (average) in RCHRES (ug/l)
TT
TT WATERSHED_2074 Area:  631.272 (acres)
TT Date/time     Values
TT
2074	2008	10	1	0	0		0.000000000000e+00	3.934936627632e-01	7.085564053762e-02	5.668104018233e+00	6.132453321534e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.332302927779e-02	6.111928585842e-03	4.680473525202e+00	3.299679408672e+01	9.686971211259e+00	4.736423882318e+01	1.355284650024e+00	2.924408768657e-01	7.287308481031e-06	1.820788587983e-03	2.912292443984e-04	7.005275004410e-02	2.089519583809e+00	2.620583936310e-01	3.118568993261e-02	7.791978133694e+00	1.246301695442e+00	5.243030455160e+01
2074	2008	10	2	0	0		0.000000000000e+00	3.998424946670e-01	6.007832219606e-02	5.575847067450e+00	6.035767884313e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.274936401270e-02	6.180069035858e-03	4.812443031194e+00	3.391505725214e+01	9.944967981520e+00	4.867246826485e+01	1.340377529084e+00	2.877083604133e-01	7.393670309926e-06	1.847390948668e-03	2.954867330977e-04	6.909251212407e-02	2.114111091199e+00	2.613712235329e-01	3.206545757182e-02	8.011912027449e+00	1.281490370278e+00	5.304958261008e+01
2074	2008	10	3	0	0		0.000000000000e+00	3.972428348729e-01	5.562070008050e-02	5.495656645647e+00	5.948520180600e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.211594900753e-02	6.157925030409e-03	4.873419941580e+00	3.434237698182e+01	1.006573102694e+01	4.928152795034e+01	1.322295561099e+00	2.836031679689e-01	7.376640390342e-06	1.843193360403e-03	2.948207088609e-04	6.817030834413e-02	2.120305513998e+00	2.616299994180e-01	3.247274780266e-02	8.113931271786e+00	1.297831806790e+00	5.338762329928e+01
2074	2008	10	4	0	0		0.000000000000e+00	4.352204450293e-01	5.591398484709e-02	5.446600559334e+00	5.937734989210e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.351775443854e-02	6.657443393812e-03	5.146290837589e+00	3.624691579245e+01	1.059967238878e+01	5.199287901882e+01	1.349881295592e+00	2.841003389919e-01	8.049623424355e-06	2.011522814225e-03	3.217612330355e-04	6.815290072861e-02	2.201497833213e+00	2.638453534067e-01	3.429383904194e-02	8.569697734122e+00	1.370800514999e+00	5.372496265227e+01
2074	2008	10	5	0	0		0.000000000000e+00	3.739768957037e-01	5.452128785917e-02	5.411877895033e+00	5.840376078596e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.074027872952e-02	5.892344650577e-03	4.803806079244e+00	3.386806174609e+01	9.934321219841e+00	4.860618904518e+01	1.286124862504e+00	2.783421840586e-01	7.034375592418e-06	1.757827656324e-03	2.811809091123e-04	6.694733345464e-02	2.085616223258e+00	2.620745984299e-01	3.201168803617e-02	7.999435033899e+00	1.279584154410e+00	5.351280255905e+01
2074	2008	10	6	0	0		0.000000000000e+00	3.532078299599e-01	4.852294317784e-02	5.304149661557e+00	5.705880434695e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.916306751892e-02	5.636146672188e-03	4.766481141276e+00	3.361155996887e+01	9.863982268660e+00	4.824202337881e+01	1.246318836205e+00	2.716185578009e-01	6.709632199103e-06	1.676708689012e-03	2.682081165706e-04	6.546694056766e-02	2.059177320227e+00	2.616019396967e-01	3.176354976113e-02	7.937576650694e+00	1.269703257083e+00	5.386036357908e+01
2074	2008	10	7	0	0		0.000000000000e+00	3.723026913410e-01	4.892947030692e-02	5.195619381890e+00	5.616851543538e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.952641877787e-02	5.780180815793e-03	4.871015541433e+00	3.432213585832e+01	1.006040995887e+01	4.925356135862e+01	1.245960764984e+00	2.675687998731e-01	6.919381282991e-06	1.728866051234e-03	2.765271697096e-04	6.440486898140e-02	2.116436750963e+00	2.609665776396e-01	3.245538859801e-02	8.109253881505e+00	1.297051916028e+00	5.357480738370e+01
2074	2008	10	8	0	0		0.000000000000e+00	3.666366699659e-01	4.990988669924e-02	5.099039758875e+00	5.515586315540e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.892378973572e-02	5.694481868573e-03	4.874972062540e+00	3.435024789879e+01	1.006833215034e+01	4.929355211167e+01	1.224889236627e+00	2.628812263154e-01	6.819451780231e-06	1.703905523118e-03	2.725355243179e-04	6.323062449574e-02	2.119204390761e+00	2.614438879357e-01	3.248189541037e-02	8.115913533038e+00	1.298120535461e+00	5.350230714771e+01
2074	2008	10	9	0	0		0.000000000000e+00	4.095060452362e-01	5.424583680119e-02	5.023578457078e+00	5.487330339116e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.059002675596e-02	6.148276364102e-03	5.098369776287e+00	3.589058725421e+01	1.049686851585e+01	5.148582554634e+01	1.253301335002e+00	2.623161922164e-01	7.436554250944e-06	1.857915833537e-03	2.971524119740e-04	6.286913732100e-02	2.214708360835e+00	2.621901782066e-01	3.396717521995e-02	8.486208872026e+00	1.357272159114e+00	5.316976721080e+01
2074	2008	10	10	0	0		0.000000000000e+00	3.639728282619e-01	5.691459439200e-02	4.986103331148e+00	5.406990753802e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.863167654445e-02	5.713472601391e-03	4.940681582115e+00	3.481730871512e+01	1.020111434556e+01	4.995910464280e+01	1.205110958524e+00	2.585635147203e-01	6.860083809378e-06	1.714205216800e-03	2.741966993704e-04	6.198355947492e-02	2.123216233054e+00	2.648078167728e-01	3.292250588409e-02	8.226711641550e+00	1.315908478564e+00	5.344910603586e+01
