"subbasin","deluid","deluname","lutype","acrea_Ac","slsur","lsur"
2074,1000,"Road_Freeway-All-All-All",1,0,0.01,100
2074,2000,"Road_Primary-All-All-All",1,12.248694,0.01,100
2074,3000,"Road_Minor-All-All-All",1,30.872405,0.01,100
2074,4000,"Dev_ResHigh-All-All-All",1,5.118508,0.01,100
2074,5000,"Dev_ResLow-All-All-All",1,73.846992,0.02,100
2074,6000,"Dev_Com-All-All-All",1,2.40241,0.01,100
2074,7000,"Dev_Ind-All-All-All",1,0,0.01,100
2074,8000,"Dev_Inst-All-All-All",1,9.414939,0.01,100
2074,9000,"Dev_Roof-All-All-All",1,63.605801,0.01,100
2074,10000,"Dev_Overspray-All-All-All",1,3.704285,0.01,100
2074,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
2074,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
2074,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
2074,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
2074,11211,"Dev_Irrigated-B-Low-Confined",2,0,0.01,400
2074,11212,"Dev_Irrigated-B-Low-Unconfined",2,0,0.01,400
2074,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.01,300
2074,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.01,300
2074,11311,"Dev_Irrigated-C-Low-Confined",2,36.113273,0.02,400
2074,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
2074,11321,"Dev_Irrigated-C-Med-Confined",2,0,0.01,300
2074,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
2074,11411,"Dev_Irrigated-D-Low-Confined",2,37.555923,0.04,400
2074,11412,"Dev_Irrigated-D-Low-Unconfined",2,0,0.01,400
2074,11421,"Dev_Irrigated-D-Med-Confined",2,0.416499,0.02,300
2074,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.01,300
2074,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
2074,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
2074,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
2074,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
2074,12211,"Dev_Pervious-B-Low-Confined",2,0,0.01,400
2074,12212,"Dev_Pervious-B-Low-Unconfined",2,0,0.01,400
2074,12221,"Dev_Pervious-B-Med-Confined",2,0,0.01,300
2074,12222,"Dev_Pervious-B-Med-Unconfined",2,0,0.01,300
2074,12311,"Dev_Pervious-C-Low-Confined",2,117.206882,0.02,400
2074,12312,"Dev_Pervious-C-Low-Unconfined",2,0,0.01,400
2074,12321,"Dev_Pervious-C-Med-Confined",2,0,0.01,300
2074,12322,"Dev_Pervious-C-Med-Unconfined",2,0,0.01,300
2074,12411,"Dev_Pervious-D-Low-Confined",2,121.889051,0.04,400
2074,12412,"Dev_Pervious-D-Low-Unconfined",2,0,0.01,400
2074,12421,"Dev_Pervious-D-Med-Confined",2,1.351761,0.02,300
2074,12422,"Dev_Pervious-D-Med-Unconfined",2,0,0.01,300
2074,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
2074,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
2074,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
2074,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
2074,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
2074,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
2074,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
2074,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
2074,13231,"Agriculture-B-High-Confined",2,0,0.01,400
2074,13232,"Agriculture-B-High-Unconfined",2,0,0.01,400
2074,13311,"Agriculture-C-Low-Confined",2,0,0.01,400
2074,13312,"Agriculture-C-Low-Unconfined",2,0,0.01,400
2074,13321,"Agriculture-C-Med-Confined",2,0,0.01,300
2074,13322,"Agriculture-C-Med-Unconfined",2,0,0.01,300
2074,13331,"Agriculture-C-High-Confined",2,0,0.01,400
2074,13411,"Agriculture-D-Low-Confined",2,0,0.01,400
2074,13412,"Agriculture-D-Low-Unconfined",2,0,0.01,400
2074,13421,"Agriculture-D-Med-Confined",2,0,0.01,300
2074,13422,"Agriculture-D-Med-Unconfined",2,0,0.01,300
2074,13431,"Agriculture-D-High-Confined",2,0,0.01,400
2074,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
2074,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
2074,14122,"Veg_Low-A-Med-Unconfined",2,0,0.01,300
2074,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
2074,14132,"Veg_Low-A-High-Unconfined",2,0,0.01,400
2074,14221,"Veg_Low-B-Med-Confined",2,0,0.01,300
2074,14222,"Veg_Low-B-Med-Unconfined",2,0,0.01,300
2074,14231,"Veg_Low-B-High-Confined",2,0,0.01,400
2074,14232,"Veg_Low-B-High-Unconfined",2,0,0.01,400
2074,14321,"Veg_Low-C-Med-Confined",2,30.097771,0.01,300
2074,14322,"Veg_Low-C-Med-Unconfined",2,0,0.01,300
2074,14331,"Veg_Low-C-High-Confined",2,0,0.01,400
2074,14332,"Veg_Low-C-High-Unconfined",2,0,0.01,400
2074,14421,"Veg_Low-D-Med-Confined",2,34.055031,0.06,300
2074,14422,"Veg_Low-D-Med-Unconfined",2,0,0.01,300
2074,14431,"Veg_Low-D-High-Confined",2,0,0.01,400
2074,14432,"Veg_Low-D-High-Unconfined",2,0,0.01,400
