rchid,type,parmname,value1
2113,0,DRAT_IVOL,1.939321686271e+07
2113,0,DRAT_OVOL,1.931257716627e+07
2113,-1,USLINK,0.000000000000e+00
2113,-1,PCP,6.882750496337e+04
2113,-1,EVAP,8.063681830388e+04
2113,-1,INFILT,0.000000000000e+00
2113,-1,USIF,0.000000000000e+00
2113,-2,LUIF,1.932438935775e+07
2113,-1,USBP,0.000000000000e+00
2113,-2,LUBP,0.000000000000e+00
2113,-5,IRWD,0.000000000000e+00
2113,0,IVOL,1.932438935775e+07
2113,1,RO,1.931257716627e+07
2113,1,BP,0.000000000000e+00
2113,0,DRAT_ISED_1,1.173767035183e+01
2113,0,DRAT_OSED_1,2.066380093286e+00
2113,-1,USSED_1,0.000000000000e+00
2113,-2,LUSED_1,1.161804115526e+01
2113,-1,USSBP_1,0.000000000000e+00
2113,-2,LUSBP_1,0.000000000000e+00
2113,-5,IRWDSED_1,0.000000000000e+00
2113,0,ISED_1,1.161804115526e+01
2113,0,DEPSCR_1,9.551661061972e+00
2113,0,DEPMASS_1,9.671290258540e+00
2113,0,SCRMASS_1,1.196291965681e-01
2113,0,BEDSED_1,1.316130830654e+06
2113,1,ROSED_1,2.066380093286e+00
2113,1,BPSED_1,0.000000000000e+00
2113,0,DRAT_ISED_2,6.050751835032e+01
2113,0,DRAT_OSED_2,6.038390081412e+01
2113,-1,USSED_2,0.000000000000e+00
2113,-2,LUSED_2,6.049912724317e+01
2113,-1,USSBP_2,0.000000000000e+00
2113,-2,LUSBP_2,0.000000000000e+00
2113,-5,IRWDSED_2,0.000000000000e+00
2113,0,ISED_2,6.049912724317e+01
2113,0,DEPSCR_2,1.152513497472e-01
2113,0,DEPMASS_2,1.236424568920e-01
2113,0,SCRMASS_2,8.391107144794e-03
2113,0,BEDSED_2,5.444154284301e+06
2113,1,ROSED_2,6.038390081412e+01
2113,1,BPSED_2,0.000000000000e+00
2113,0,DRAT_ISED_3,1.834924128747e+01
2113,0,DRAT_OSED_3,1.834924830345e+01
2113,-1,USSED_3,0.000000000000e+00
2113,-2,LUSED_3,1.823618463804e+01
2113,-1,USSBP_3,0.000000000000e+00
2113,-2,LUSBP_3,0.000000000000e+00
2113,-5,IRWDSED_3,0.000000000000e+00
2113,0,ISED_3,1.823618463804e+01
2113,0,DEPSCR_3,-1.130566494345e-01
2113,0,DEPMASS_3,0.000000000000e+00
2113,0,SCRMASS_3,1.130566494345e-01
2113,0,BEDSED_3,1.547405179740e+06
2113,1,ROSED_3,1.834924830345e+01
2113,1,BPSED_3,0.000000000000e+00
2113,0,DRAT_IGQL_TN,2.679392146011e+03
2113,0,DRAT_OGQL_TN,2.672452688918e+03
2113,-1,USQUAL_TN,0.000000000000e+00
2113,-2,LUQUAL_TN,2.679392146011e+03
2113,-1,USQUBP_TN,0.000000000000e+00
2113,-2,LUQUBP_TN,0.000000000000e+00
2113,-5,IRWDQUAL_TN,0.000000000000e+00
2113,-7,INFILTQUAL_TN,0.000000000000e+00
2113,-8,INFILTQUALTARGET_TN,0.000000000000e+00
2113,0,ADTOT_TN,0.000000000000e+00
2113,0,IQUAL_TN,2.679392146011e+03
2113,0,ADQAL_TN,0.000000000000e+00
2113,0,DSQAL_TN,0.000000000000e+00
2113,0,DEPQAL_TN,0.000000000000e+00
2113,0,SCRQAL_TN,0.000000000000e+00
2113,1,QUAL_TN,2.672452688918e+03
2113,1,QUBP_TN,0.000000000000e+00
2113,0,DRAT_IGQL_TP,5.688241885276e+02
2113,0,DRAT_OGQL_TP,5.675911554568e+02
2113,-1,USQUAL_TP,0.000000000000e+00
2113,-2,LUQUAL_TP,5.688241885276e+02
2113,-1,USQUBP_TP,0.000000000000e+00
2113,-2,LUQUBP_TP,0.000000000000e+00
2113,-5,IRWDQUAL_TP,0.000000000000e+00
2113,-7,INFILTQUAL_TP,0.000000000000e+00
2113,-8,INFILTQUALTARGET_TP,0.000000000000e+00
2113,0,ADTOT_TP,0.000000000000e+00
2113,0,IQUAL_TP,5.688241885276e+02
2113,0,ADQAL_TP,0.000000000000e+00
2113,0,DSQAL_TP,0.000000000000e+00
2113,0,DEPQAL_TP,0.000000000000e+00
2113,0,SCRQAL_TP,0.000000000000e+00
2113,1,QUAL_TP,5.675911554568e+02
2113,1,QUBP_TP,0.000000000000e+00
2113,0,DRAT_IGQL_TCd,1.445463866086e+00
2113,0,DRAT_OGQL_TCd,1.442253543226e+00
2113,-1,USQUAL_TCd,0.000000000000e+00
2113,-2,LUQUAL_TCd,1.445463866086e+00
2113,-1,USQUBP_TCd,0.000000000000e+00
2113,-2,LUQUBP_TCd,0.000000000000e+00
2113,-5,IRWDQUAL_TCd,0.000000000000e+00
2113,-7,INFILTQUAL_TCd,0.000000000000e+00
2113,-8,INFILTQUALTARGET_TCd,0.000000000000e+00
