TT-----------------------------------------------------------------------------------------
TT LSPC -- Loading Simulation Program, C++
TT Version 6.0 (64-bit) - Jan 2020
TT
TT Created through code updates by:
TT Paradigm Environmental, Inc.
TT San Diego, California, USA
TT www.paradigmh2o.com
TT 
TT Based upon LSPC version 5.0 (Mar 2018), originally developed by :
TT United States Environmental Protection Agency
TT with support by Tetra Tech, Inc.
TT https://github.com/USEPA/LSPC-Loading-Simulation-Program 
TT 
TT NOTE: The line starting with the letter c and followed by space or - is a comment line.
TT       There must be no comment line in between the data lines
TT       The input text field must be a continuous string without any space in between the characters
TT-----------------------------------------------------------------------------------------
TT LSPC MODEL OUTPUT FILE
TT This output file was created at 11:44:36am on 02/16/2026
TT Time interval: 60 min      Output option: day
TT Label   
TT PREC     precipitation (rain + snow) volume (in-acre/day)
TT SURO     surface outflow volume (in-acre/day)
TT IFWO     interflow outflow volume (in-acre/day)
TT AGWO     groundwater outflow volume (in-acre/day)
TT PERO     total outflow rate volume (SURO+IFWO+AGWO) (in-acre/day)
TT DEP      stream depth (ft)
TT AVDEP    stream average depth (ft)
TT TAU      bed shear stress (kg/m^2)
TT RO       total rate of outflow from RCHRES (cfs)
TT SOSED    sediments load from land (english tons/day)
TT SSEDOUT1 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT2 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT3 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT  total suspended solid concentration in outflow from the RCHRES (mg/l)
TT POQUAL1  total flux of QUAL from the PLS_TN (lb/day) 
TT POQUAL2  total flux of QUAL from the PLS_TP (lb/day) 
TT POQUAL3  total flux of QUAL from the PLS_TCd (lb/day) 
TT POQUAL4  total flux of QUAL from the PLS_TCu (lb/day) 
TT POQUAL5  total flux of QUAL from the PLS_TPb (lb/day) 
TT POQUAL6  total flux of QUAL from the PLS_TZn (lb/day) 
TT CONC1    TN dissolved concentration (average) in RCHRES (mg/l)
TT CONC2    TP dissolved concentration (average) in RCHRES (mg/l)
TT CONC3    TCd dissolved concentration (average) in RCHRES (ug/l)
TT CONC4    TCu dissolved concentration (average) in RCHRES (ug/l)
TT CONC5    TPb dissolved concentration (average) in RCHRES (ug/l)
TT CONC6    TZn dissolved concentration (average) in RCHRES (ug/l)
TT
TT WATERSHED_6387 Area:  188.595 (acres)
TT Date/time     Values
TT
6387	2008	10	1	0	0		0.000000000000e+00	2.847397528456e-02	0.000000000000e+00	2.461007251220e-01	2.745747004066e-01	2.449352651847e-01	2.392726919884e-01	1.740403853064e+03	4.802700333897e+01	4.987088236554e-04	1.435283114712e+00	3.916899516838e+01	3.896188522673e+00	4.450046680576e+01	4.265887276212e-02	1.366501043638e-02	6.277722010591e-07	1.569418044860e-04	2.511057244507e-05	3.290704979140e-03	9.793187153247e+00	9.920126419496e-01	1.833053418941e-01	1.978897073286e+01	2.931448762407e+00	5.280677514710e+01
6387	2008	10	2	0	0		0.000000000000e+00	2.993777523161e-02	0.000000000000e+00	2.380465777630e-01	2.679843529946e-01	2.483692463892e-01	2.426549285705e-01	1.583667289143e+00	4.917380871565e+01	5.271605974960e-04	1.455022353702e+00	3.349154291458e+01	3.631179994643e+00	3.857774526292e+01	4.339590575601e-02	1.345658683729e-02	6.669224837827e-07	1.667298354336e-04	2.667670035491e-05	3.230766506698e-03	1.007145890170e+01	8.960611883958e-01	1.837279444343e-01	1.943989563570e+01	2.816861424451e+00	5.293394428668e+01
6387	2008	10	3	0	0		0.000000000000e+00	3.296888100538e-02	0.000000000000e+00	2.332756748905e-01	2.662445558958e-01	2.529002161255e-01	2.470416498337e-01	1.612350091117e+00	5.066364287092e+01	5.741897938418e-04	1.483155945611e+00	3.518614024349e+01	3.483705123219e+00	4.015300131232e+01	4.585574471898e-02	1.349406087314e-02	7.303505692302e-07	1.825865208064e-04	2.921373865559e-05	3.227451235311e-03	9.987241467713e+00	8.582815355822e-01	1.840505781064e-01	1.781286743238e+01	2.466379772900e+00	5.330860488979e+01
6387	2008	10	4	0	0		0.000000000000e+00	4.227095136053e-02	0.000000000000e+00	2.363317974841e-01	2.786027488446e-01	2.679061355174e-01	2.614612798926e-01	1.707038150827e+00	5.558190384071e+01	7.242548413204e-04	1.534303210653e+00	3.966185081399e+01	4.772045306440e+00	4.596819933108e+01	5.425688455122e-02	1.443107180627e-02	9.299779857546e-07	2.324929379494e-04	3.719872461292e-05	3.421780874157e-03	9.645562584558e+00	8.248722335998e-01	1.765747401815e-01	1.683155126797e+01	2.407020891202e+00	5.213825556412e+01
6387	2008	10	5	0	0		0.000000000000e+00	3.212724875556e-02	0.000000000000e+00	2.464848872705e-01	2.786121360261e-01	2.703202848559e-01	2.631961777782e-01	1.718474884378e+00	5.617594748695e+01	5.606647398493e-04	1.565336626486e+00	4.044143021925e+01	5.273733629112e+00	4.728050047485e+01	4.599239880918e-02	1.401262159599e-02	7.103220861719e-07	1.775792903444e-04	2.841257154322e-05	3.361097712316e-03	9.510679536455e+00	8.136167668375e-01	1.770762298719e-01	1.699337018008e+01	2.693949842821e+00	5.379536486950e+01
6387	2008	10	6	0	0		0.000000000000e+00	2.904002666884e-02	0.000000000000e+00	2.434968884196e-01	2.725369150885e-01	2.617479066373e-01	2.550669068250e-01	1.665008847044e+00	5.339882938530e+01	5.082502208104e-04	1.563158142448e+00	4.395784438160e+01	4.662060026047e+00	5.018306255010e+01	4.299507960438e-02	1.359945881802e-02	6.408871352167e-07	1.602206037739e-04	2.563518646765e-05	3.271693728295e-03	9.539865592990e+00	8.018923902441e-01	1.813542144621e-01	1.721780353996e+01	2.864989952440e+00	5.430575538906e+01
6387	2008	10	7	0	0		0.000000000000e+00	2.564777002514e-02	0.000000000000e+00	2.366758702849e-01	2.623236403101e-01	2.520959026839e-01	2.459801862829e-01	1.605432096427e+00	5.030431030693e+01	4.528974124969e-04	1.493854775179e+00	4.815826458865e+01	6.105068838007e+00	5.575718820183e+01	3.942808768894e-02	1.299921974478e-02	5.681123108979e-07	1.420271995076e-04	2.272426995431e-05	3.136187274935e-03	9.744303296688e+00	8.288377600898e-01	1.899146657604e-01	1.819430533324e+01	3.345995600371e+00	5.912685028179e+01
6387	2008	10	8	0	0		0.000000000000e+00	2.476765925410e-02	0.000000000000e+00	2.259131747523e-01	2.506808340064e-01	2.489506403195e-01	2.430946842602e-01	1.586551528335e+00	4.932362106884e+01	4.411620171607e-04	1.463891506290e+00	4.070691963816e+01	4.585026470914e+00	4.675583761536e+01	3.784930085771e-02	1.245534225464e-02	5.540889282742e-07	1.385217937359e-04	2.216344608669e-05	3.003020174223e-03	1.006046300970e+01	8.737944334968e-01	1.868757914160e-01	1.783308581131e+01	2.665190242645e+00	5.569361925471e+01
6387	2008	10	9	0	0		0.000000000000e+00	2.987828389621e-02	0.000000000000e+00	2.154488638646e-01	2.453271477608e-01	2.498457608204e-01	2.440394111771e-01	1.592716359412e+00	4.964383301703e+01	5.261020346700e-04	1.455937319808e+00	3.633549713308e+01	4.026288756481e+00	4.181772320937e+01	4.177920500399e-02	1.244040835119e-02	6.689239990464e-07	1.672304251756e-04	2.675681440006e-05	2.976320429058e-03	1.015461491293e+01	8.879768227510e-01	1.856751852150e-01	1.769960502687e+01	2.452295139570e+00	5.455290147283e+01
6387	2008	10	10	0	0		0.000000000000e+00	3.178251851295e-02	0.000000000000e+00	2.126006296731e-01	2.443831481861e-01	2.542911939828e-01	2.482980592115e-01	1.620577844286e+00	5.109100654700e+01	5.518180974937e-04	1.481543913643e+00	3.584594241219e+01	3.938075710123e+00	4.126556203596e+01	4.336843387050e-02	1.245018956417e-02	7.036455102762e-07	1.759101720360e-04	2.814551500935e-05	2.971824879234e-03	1.003070899336e+01	8.645418130082e-01	1.850551717571e-01	1.749949306879e+01	2.383904782463e+00	5.353614427808e+01
