"subbasin","deluid","deluname","lutype","area_ac","slsur","lsur"
6387,1000,"Road_Freeway-All-All-All",1,5.053433,0.01,100
6387,2000,"Road_Primary-All-All-All",1,6.008398,0.02,100
6387,3000,"Road_Minor-All-All-All",1,15.43902,0.01,100
6387,4000,"Dev_ResHigh-All-All-All",1,1.428241,0.01,100
6387,5000,"Dev_ResLow-All-All-All",1,20.194807,0.02,100
6387,6000,"Dev_Com-All-All-All",1,9.947389,0.04,100
6387,7000,"Dev_Ind-All-All-All",1,16.614587,0.01,100
6387,8000,"Dev_Inst-All-All-All",1,18.609811,0.02,100
6387,9000,"Dev_Roof-All-All-All",1,43.873392,0.01,100
6387,10000,"Dev_Overspray-All-All-All",1,0.442686,0.03,100
6387,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
6387,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
6387,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
6387,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
6387,11211,"Dev_Irrigated-B-Low-Confined",2,0,0.01,400
6387,11212,"Dev_Irrigated-B-Low-Unconfined",2,0.029339,0.09,400
6387,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.01,300
6387,11222,"Dev_Irrigated-B-Med-Unconfined",2,0.70897,0.06,300
6387,11311,"Dev_Irrigated-C-Low-Confined",2,0,0.01,400
6387,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
6387,11321,"Dev_Irrigated-C-Med-Confined",2,0,0.01,300
6387,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
6387,11411,"Dev_Irrigated-D-Low-Confined",2,0,0.01,400
6387,11412,"Dev_Irrigated-D-Low-Unconfined",2,8.115415,0.02,400
6387,11421,"Dev_Irrigated-D-Med-Confined",2,0,0.01,300
6387,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.06,300
6387,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
6387,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
6387,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
6387,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
6387,12211,"Dev_Pervious-B-Low-Confined",2,0,0.01,400
6387,12212,"Dev_Pervious-B-Low-Unconfined",2,0.075619,0.13,400
6387,12221,"Dev_Pervious-B-Med-Confined",2,0,0.01,300
6387,12222,"Dev_Pervious-B-Med-Unconfined",2,1.82733,0.06,300
6387,12311,"Dev_Pervious-C-Low-Confined",2,0,0.01,400
6387,12312,"Dev_Pervious-C-Low-Unconfined",2,0,0.01,400
6387,12321,"Dev_Pervious-C-Med-Confined",2,0,0.01,300
6387,12322,"Dev_Pervious-C-Med-Unconfined",2,0,0.01,300
6387,12411,"Dev_Pervious-D-Low-Confined",2,0,0.01,400
6387,12412,"Dev_Pervious-D-Low-Unconfined",2,20.917037,0.01,400
6387,12421,"Dev_Pervious-D-Med-Confined",2,0,0.01,300
6387,12422,"Dev_Pervious-D-Med-Unconfined",2,0,0.01,300
6387,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
6387,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
6387,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
6387,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
6387,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
6387,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
6387,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
6387,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
