rchid,permit,pipe,parmname,value1
6720,F118,1,PS_FLOW,0.000000000000e+00
6720,F118,1,PS_SAND,0.000000000000e+00
6720,F118,1,PS_SILT,0.000000000000e+00
6720,F118,1,PS_CLAY,0.000000000000e+00
6720,F118,1,PS_GQUAL_TN,0.000000000000e+00
6720,F118,1,PS_GQUAL_TP,0.000000000000e+00
6720,F118,1,PS_GQUAL_TCd,0.000000000000e+00
6720,F118,1,PS_GQUAL_TCu,0.000000000000e+00
6720,F118,1,PS_GQUAL_TPb,0.000000000000e+00
6720,F118,1,PS_GQUAL_TZn,0.000000000000e+00
6602,CA0055531,1,PS_FLOW,0.000000000000e+00
6602,CA0055531,1,PS_SAND,0.000000000000e+00
6602,CA0055531,1,PS_SILT,0.000000000000e+00
6602,CA0055531,1,PS_CLAY,0.000000000000e+00
6602,CA0055531,1,PS_GQUAL_TN,0.000000000000e+00
6602,CA0055531,1,PS_GQUAL_TP,0.000000000000e+00
6602,CA0055531,1,PS_GQUAL_TCd,0.000000000000e+00
6602,CA0055531,1,PS_GQUAL_TCu,0.000000000000e+00
6602,CA0055531,1,PS_GQUAL_TPb,0.000000000000e+00
6602,CA0055531,1,PS_GQUAL_TZn,0.000000000000e+00
6602,WRF-LAB,1,PS_FLOW,1.681142628117e+08
6602,WRF-LAB,1,PS_SAND,0.000000000000e+00
6602,WRF-LAB,1,PS_SILT,0.000000000000e+00
6602,WRF-LAB,1,PS_CLAY,0.000000000000e+00
6602,WRF-LAB,1,PS_GQUAL_TN,6.816428898574e+04
6602,WRF-LAB,1,PS_GQUAL_TP,2.424985645499e+04
6602,WRF-LAB,1,PS_GQUAL_TCd,1.472181233709e+00
6602,WRF-LAB,1,PS_GQUAL_TCu,2.078815360900e+02
6602,WRF-LAB,1,PS_GQUAL_TPb,7.365532560607e+00
6602,WRF-LAB,1,PS_GQUAL_TZn,7.488034654609e+02
6710,intake-9025,1,PS_FLOW,0.000000000000e+00
6710,intake-9025,1,PS_SAND,0.000000000000e+00
6710,intake-9025,1,PS_SILT,0.000000000000e+00
6710,intake-9025,1,PS_CLAY,0.000000000000e+00
6710,intake-9025,1,PS_GQUAL_TN,0.000000000000e+00
6710,intake-9025,1,PS_GQUAL_TP,0.000000000000e+00
6710,intake-9025,1,PS_GQUAL_TCd,0.000000000000e+00
6710,intake-9025,1,PS_GQUAL_TCu,0.000000000000e+00
6710,intake-9025,1,PS_GQUAL_TPb,0.000000000000e+00
6710,intake-9025,1,PS_GQUAL_TZn,0.000000000000e+00
6697,intake-9013,1,PS_FLOW,0.000000000000e+00
6697,intake-9013,1,PS_SAND,0.000000000000e+00
6697,intake-9013,1,PS_SILT,0.000000000000e+00
6697,intake-9013,1,PS_CLAY,0.000000000000e+00
6697,intake-9013,1,PS_GQUAL_TN,0.000000000000e+00
6697,intake-9013,1,PS_GQUAL_TP,0.000000000000e+00
6697,intake-9013,1,PS_GQUAL_TCd,0.000000000000e+00
6697,intake-9013,1,PS_GQUAL_TCu,0.000000000000e+00
6697,intake-9013,1,PS_GQUAL_TPb,0.000000000000e+00
6697,intake-9013,1,PS_GQUAL_TZn,0.000000000000e+00
6429,F277,1,PS_FLOW,0.000000000000e+00
6429,F277,1,PS_SAND,0.000000000000e+00
