rchid,type,parmname,value1
6388,0,DRAT_IVOL,6.564701052769e+06
6388,0,DRAT_OVOL,6.564701052769e+06
6388,-1,USLINK,0.000000000000e+00
6388,-1,PCP,0.000000000000e+00
6388,-1,EVAP,0.000000000000e+00
6388,-1,INFILT,0.000000000000e+00
6388,-1,USIF,0.000000000000e+00
6388,-2,LUIF,6.564701052769e+06
6388,-1,USBP,0.000000000000e+00
6388,-2,LUBP,0.000000000000e+00
6388,-3,PSIF,0.000000000000e+00
6388,-4,PSWD,0.000000000000e+00
6388,-4,PSDT,0.000000000000e+00
6388,-5,IRWD,0.000000000000e+00
6388,0,IVOL,6.564701052769e+06
6388,1,RO,6.564701052769e+06
6388,1,BP,0.000000000000e+00
6388,0,DRAT_ISED_1,2.771745319601e+00
6388,0,DRAT_OSED_1,2.771745319601e+00
6388,-1,USSED_1,0.000000000000e+00
6388,-2,LUSED_1,2.771745319601e+00
6388,-1,USSBP_1,0.000000000000e+00
6388,-2,LUSBP_1,0.000000000000e+00
6388,-3,PSSED_1,0.000000000000e+00
6388,-4,PSWDSED_1,0.000000000000e+00
6388,-4,PSDTSED_1,0.000000000000e+00
6388,-5,IRWDSED_1,0.000000000000e+00
6388,0,ISED_1,2.771745319601e+00
6388,0,DEPSCR_1,0.000000000000e+00
6388,0,DEPMASS_1,0.000000000000e+00
6388,0,SCRMASS_1,0.000000000000e+00
6388,0,BEDSED_1,0.000000000000e+00
6388,1,ROSED_1,2.771745319601e+00
6388,1,BPSED_1,0.000000000000e+00
6388,0,DRAT_ISED_2,1.683914782103e+01
6388,0,DRAT_OSED_2,1.683914782103e+01
6388,-1,USSED_2,0.000000000000e+00
6388,-2,LUSED_2,1.683914782103e+01
6388,-1,USSBP_2,0.000000000000e+00
6388,-2,LUSBP_2,0.000000000000e+00
6388,-3,PSSED_2,0.000000000000e+00
6388,-4,PSWDSED_2,0.000000000000e+00
6388,-4,PSDTSED_2,0.000000000000e+00
6388,-5,IRWDSED_2,0.000000000000e+00
6388,0,ISED_2,1.683914782103e+01
6388,0,DEPSCR_2,0.000000000000e+00
6388,0,DEPMASS_2,0.000000000000e+00
6388,0,SCRMASS_2,0.000000000000e+00
6388,0,BEDSED_2,0.000000000000e+00
6388,1,ROSED_2,1.683914782103e+01
6388,1,BPSED_2,0.000000000000e+00
6388,0,DRAT_ISED_3,4.903646310078e+00
6388,0,DRAT_OSED_3,4.903646310078e+00
6388,-1,USSED_3,0.000000000000e+00
6388,-2,LUSED_3,4.903646310078e+00
