"subbasin","deluid","deluname","lutype","acre_ac","slsur","lsur"
6396,1000,"Road_Freeway-All-All-All",1,54.394448,0.06,100
6396,2000,"Road_Primary-All-All-All",1,12.365726,0.08,100
6396,3000,"Road_Minor-All-All-All",1,28.86132,0.03,100
6396,4000,"Dev_ResHigh-All-All-All",1,13.36299,0.04,100
6396,5000,"Dev_ResLow-All-All-All",1,109.318279,0.05,100
6396,6000,"Dev_Com-All-All-All",1,97.34783,0.02,100
6396,7000,"Dev_Ind-All-All-All",1,6.970793,0.05,100
6396,8000,"Dev_Inst-All-All-All",1,50.937803,0.04,100
6396,9000,"Dev_Roof-All-All-All",1,71.918279,0.04,100
6396,10000,"Dev_Overspray-All-All-All",1,2.971644,0.08,100
6396,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
6396,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
6396,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
6396,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
6396,11211,"Dev_Irrigated-B-Low-Confined",2,8.17799,0.05,400
6396,11212,"Dev_Irrigated-B-Low-Unconfined",2,0.379199,0.09,400
6396,11221,"Dev_Irrigated-B-Med-Confined",2,1.77241,0.04,300
6396,11222,"Dev_Irrigated-B-Med-Unconfined",2,0.322583,0.06,300
6396,11311,"Dev_Irrigated-C-Low-Confined",2,8.797886,0.06,400
6396,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
6396,11321,"Dev_Irrigated-C-Med-Confined",2,3.760741,0.04,300
6396,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
6396,11411,"Dev_Irrigated-D-Low-Confined",2,17.932965,0.05,400
6396,11412,"Dev_Irrigated-D-Low-Unconfined",2,16.190977,0.07,400
6396,11421,"Dev_Irrigated-D-Med-Confined",2,1.556276,0.04,300
6396,11422,"Dev_Irrigated-D-Med-Unconfined",2,0.541843,0.12,300
6396,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
6396,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
6396,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
6396,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
6396,12211,"Dev_Pervious-B-Low-Confined",2,21.07832,0.05,400
6396,12212,"Dev_Pervious-B-Low-Unconfined",2,0.977365,0.1,400
6396,12221,"Dev_Pervious-B-Med-Confined",2,4.568289,0.02,300
6396,12222,"Dev_Pervious-B-Med-Unconfined",2,0.831441,0.06,300
6396,12311,"Dev_Pervious-C-Low-Confined",2,22.676067,0.06,400
6396,12312,"Dev_Pervious-C-Low-Unconfined",2,0,0.01,400
6396,12321,"Dev_Pervious-C-Med-Confined",2,9.693103,0.05,300
6396,12322,"Dev_Pervious-C-Med-Unconfined",2,0,0.01,300
6396,12411,"Dev_Pervious-D-Low-Confined",2,46.221233,0.05,400
6396,12412,"Dev_Pervious-D-Low-Unconfined",2,41.731355,0.06,400
6396,12421,"Dev_Pervious-D-Med-Confined",2,4.011215,0.03,300
6396,12422,"Dev_Pervious-D-Med-Unconfined",2,1.396572,0.04,300
6396,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
6396,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
6396,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
6396,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
6396,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
6396,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
6396,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
6396,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
6396,13231,"Agriculture-B-High-Confined",2,0,0.01,400
6396,13232,"Agriculture-B-High-Unconfined",2,0,0.01,400
6396,13311,"Agriculture-C-Low-Confined",2,0,0.01,400
6396,13312,"Agriculture-C-Low-Unconfined",2,0,0.01,400
6396,13321,"Agriculture-C-Med-Confined",2,0,0.01,300
6396,13322,"Agriculture-C-Med-Unconfined",2,0,0.01,300
6396,13331,"Agriculture-C-High-Confined",2,0,0.01,400
6396,13411,"Agriculture-D-Low-Confined",2,0,0.01,400
6396,13412,"Agriculture-D-Low-Unconfined",2,0,0.01,400
6396,13421,"Agriculture-D-Med-Confined",2,0,0.01,300
6396,13422,"Agriculture-D-Med-Unconfined",2,0,0.01,300
6396,13431,"Agriculture-D-High-Confined",2,0,0.01,400
6396,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
6396,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
6396,14122,"Veg_Low-A-Med-Unconfined",2,0,0.01,300
6396,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
6396,14132,"Veg_Low-A-High-Unconfined",2,0,0.01,400
6396,14221,"Veg_Low-B-Med-Confined",2,16.357633,0.07,300
6396,14222,"Veg_Low-B-Med-Unconfined",2,0.515813,0.04,300
6396,14231,"Veg_Low-B-High-Confined",2,0,0.01,400
6396,14232,"Veg_Low-B-High-Unconfined",2,0,0.01,400
