subbasin,deluid,parmname,value1
6396,1000,AREA,5.439444800001e+01
6396,1000,PREC,5.505759456991e+02
6396,1000,SURO,5.074417758685e+02
6396,1000,IFWO,0.000000000000e+00
6396,1000,AGWO,0.000000000000e+00
6396,1000,PERO,5.074417758685e+02
6396,1000,TAET,4.313416983056e+01
6396,1000,SEDLOAD,3.717833447226e+00
6396,1000,SEDWSSD, 3.71783e+00
6396,1000,SEDSCRS, 0.00000e+00
6396,1000,SEDSURO, 0.00000e+00
6396,1000,SEDIFWO, 0.00000e+00
6396,1000,SEDAGWO, 0.00000e+00
6396,1000,SO_TN,1.737648191415e+01
6396,1000,IO_TN,0.000000000000e+00
6396,1000,AO_TN,0.000000000000e+00
6396,1000,PO_TN,1.737648191415e+01
6396,1000,SO_TP,1.659083175824e+01
6396,1000,IO_TP,0.000000000000e+00
6396,1000,AO_TP,0.000000000000e+00
6396,1000,PO_TP,1.659083175824e+01
6396,1000,SED_TP,1.659083175824e+01
6396,1000,SEDWSSD_TP,1.659083175824e+01
6396,1000,SEDSCRS_TP,0.000000000000e+00
6396,1000,SO_TCd,6.506208532645e-02
6396,1000,IO_TCd,0.000000000000e+00
6396,1000,AO_TCd,0.000000000000e+00
6396,1000,PO_TCd,6.506208532645e-02
6396,1000,SED_TCd,6.506208532645e-02
6396,1000,SEDWSSD_TCd,6.506208532645e-02
6396,1000,SEDSCRS_TCd,0.000000000000e+00
6396,1000,SO_TCu,6.506208532645e+00
6396,1000,IO_TCu,0.000000000000e+00
6396,1000,AO_TCu,0.000000000000e+00
6396,1000,PO_TCu,6.506208532645e+00
6396,1000,SED_TCu,6.506208532645e+00
6396,1000,SEDWSSD_TCu,6.506208532645e+00
6396,1000,SEDSCRS_TCu,0.000000000000e+00
6396,1000,SO_TPb,7.355763025167e+00
6396,1000,IO_TPb,0.000000000000e+00
6396,1000,AO_TPb,0.000000000000e+00
6396,1000,PO_TPb,7.355763025167e+00
6396,1000,SED_TPb,1.606104049201e+00
6396,1000,SEDWSSD_TPb,1.606104049201e+00
6396,1000,SEDSCRS_TPb,0.000000000000e+00
6396,1000,SO_TZn,5.139532957445e+01
6396,1000,IO_TZn,0.000000000000e+00
6396,1000,AO_TZn,0.000000000000e+00
6396,1000,PO_TZn,5.139532957445e+01
6396,1000,SED_TZn,5.139532957445e+01
6396,1000,SEDWSSD_TZn,5.139532957445e+01
6396,1000,SEDSCRS_TZn,0.000000000000e+00
6396,2000,AREA,1.236572600002e+01
6396,2000,PREC,1.251648198858e+02
6396,2000,SURO,1.153589418049e+02
6396,2000,IFWO,0.000000000000e+00
6396,2000,AGWO,0.000000000000e+00
6396,2000,PERO,1.153589418049e+02
6396,2000,TAET,9.805878080832e+00
6396,2000,SEDLOAD,2.768713016318e+00
6396,2000,SEDWSSD, 2.76871e+00
6396,2000,SEDSCRS, 0.00000e+00
6396,2000,SEDSURO, 0.00000e+00
6396,2000,SEDIFWO, 0.00000e+00
6396,2000,SEDAGWO, 0.00000e+00
6396,2000,SO_TN,3.950271067148e+00
6396,2000,IO_TN,0.000000000000e+00
6396,2000,AO_TN,0.000000000000e+00
6396,2000,PO_TN,3.950271067148e+00
6396,2000,SO_TP,1.235538183532e+01
6396,2000,IO_TP,0.000000000000e+00
6396,2000,AO_TP,0.000000000000e+00
6396,2000,PO_TP,1.235538183532e+01
6396,2000,SED_TP,1.235538183532e+01
6396,2000,SEDWSSD_TP,1.235538183532e+01
6396,2000,SEDSCRS_TP,0.000000000000e+00
6396,2000,SO_TCd,4.153069524477e-02
6396,2000,IO_TCd,0.000000000000e+00
6396,2000,AO_TCd,0.000000000000e+00
6396,2000,PO_TCd,4.153069524477e-02
6396,2000,SED_TCd,4.153069524477e-02
6396,2000,SEDWSSD_TCd,4.153069524477e-02
6396,2000,SEDSCRS_TCd,0.000000000000e+00
6396,2000,SO_TCu,4.153069524477e+00
6396,2000,IO_TCu,0.000000000000e+00
6396,2000,AO_TCu,0.000000000000e+00
6396,2000,PO_TCu,4.153069524477e+00
6396,2000,SED_TCu,4.153069524477e+00
6396,2000,SEDWSSD_TCu,4.153069524477e+00
6396,2000,SEDSCRS_TCu,0.000000000000e+00
6396,2000,SO_TPb,2.204157952605e+00
6396,2000,IO_TPb,0.000000000000e+00
6396,2000,AO_TPb,0.000000000000e+00
6396,2000,PO_TPb,2.204157952605e+00
6396,2000,SED_TPb,8.970630172871e-01
6396,2000,SEDWSSD_TPb,8.970630172871e-01
6396,2000,SEDSCRS_TPb,0.000000000000e+00
6396,2000,SO_TZn,1.913734436879e+01
6396,2000,IO_TZn,0.000000000000e+00
6396,2000,AO_TZn,0.000000000000e+00
6396,2000,PO_TZn,1.913734436879e+01
6396,2000,SED_TZn,1.913734436879e+01
6396,2000,SEDWSSD_TZn,1.913734436879e+01
6396,2000,SEDSCRS_TZn,0.000000000000e+00
6396,3000,AREA,2.886131999999e+01
6396,3000,PREC,2.921318100907e+02
6396,3000,SURO,2.692451162426e+02
6396,3000,IFWO,0.000000000000e+00
6396,3000,AGWO,0.000000000000e+00
6396,3000,PERO,2.692451162426e+02
6396,3000,TAET,2.288669384813e+01
