rchid,permit,pipe,parmname,value1
5224,F32B,1,PS_FLOW,0.000000000000e+00
5224,F32B,1,PS_SAND,0.000000000000e+00
5224,F32B,1,PS_SILT,0.000000000000e+00
5224,F32B,1,PS_CLAY,0.000000000000e+00
5224,F32B,1,PS_GQUAL_TN,0.000000000000e+00
5224,F32B,1,PS_GQUAL_TP,0.000000000000e+00
5224,F32B,1,PS_GQUAL_TCd,0.000000000000e+00
5224,F32B,1,PS_GQUAL_TCu,0.000000000000e+00
5224,F32B,1,PS_GQUAL_TPb,0.000000000000e+00
5224,F32B,1,PS_GQUAL_TZn,0.000000000000e+00
5409,F356,1,PS_FLOW,0.000000000000e+00
5409,F356,1,PS_SAND,0.000000000000e+00
5409,F356,1,PS_SILT,0.000000000000e+00
5409,F356,1,PS_CLAY,0.000000000000e+00
5409,F356,1,PS_GQUAL_TN,0.000000000000e+00
5409,F356,1,PS_GQUAL_TP,0.000000000000e+00
5409,F356,1,PS_GQUAL_TCd,0.000000000000e+00
5409,F356,1,PS_GQUAL_TCu,0.000000000000e+00
5409,F356,1,PS_GQUAL_TPb,0.000000000000e+00
5409,F356,1,PS_GQUAL_TZn,0.000000000000e+00
5468,intake-9008,1,PS_FLOW,0.000000000000e+00
5468,intake-9008,1,PS_SAND,0.000000000000e+00
5468,intake-9008,1,PS_SILT,0.000000000000e+00
5468,intake-9008,1,PS_CLAY,0.000000000000e+00
5468,intake-9008,1,PS_GQUAL_TN,0.000000000000e+00
5468,intake-9008,1,PS_GQUAL_TP,0.000000000000e+00
5468,intake-9008,1,PS_GQUAL_TCd,0.000000000000e+00
5468,intake-9008,1,PS_GQUAL_TCu,0.000000000000e+00
5468,intake-9008,1,PS_GQUAL_TPb,0.000000000000e+00
5468,intake-9008,1,PS_GQUAL_TZn,0.000000000000e+00
5466,intake-9007,1,PS_FLOW,0.000000000000e+00
5466,intake-9007,1,PS_SAND,0.000000000000e+00
5466,intake-9007,1,PS_SILT,0.000000000000e+00
5466,intake-9007,1,PS_CLAY,0.000000000000e+00
5466,intake-9007,1,PS_GQUAL_TN,0.000000000000e+00
5466,intake-9007,1,PS_GQUAL_TP,0.000000000000e+00
5466,intake-9007,1,PS_GQUAL_TCd,0.000000000000e+00
5466,intake-9007,1,PS_GQUAL_TCu,0.000000000000e+00
5466,intake-9007,1,PS_GQUAL_TPb,0.000000000000e+00
5466,intake-9007,1,PS_GQUAL_TZn,0.000000000000e+00
5407,intake-9005,1,PS_FLOW,0.000000000000e+00
