rchid,type,parmname,value1
5109,0,DRAT_IVOL,1.335813899584e+07
5109,0,DRAT_OVOL,1.335813899584e+07
5109,-1,USLINK,0.000000000000e+00
5109,-1,PCP,0.000000000000e+00
5109,-1,EVAP,0.000000000000e+00
5109,-1,INFILT,0.000000000000e+00
5109,-1,USIF,0.000000000000e+00
5109,-2,LUIF,1.335813899584e+07
5109,-1,USBP,0.000000000000e+00
5109,-2,LUBP,0.000000000000e+00
5109,-5,IRWD,0.000000000000e+00
5109,0,IVOL,1.335813899584e+07
5109,1,RO,1.335813899584e+07
5109,1,BP,0.000000000000e+00
5109,0,DRAT_ISED_1,7.771136989898e+00
5109,0,DRAT_OSED_1,7.771136989898e+00
5109,-1,USSED_1,0.000000000000e+00
5109,-2,LUSED_1,7.771136989898e+00
5109,-1,USSBP_1,0.000000000000e+00
5109,-2,LUSBP_1,0.000000000000e+00
5109,-5,IRWDSED_1,0.000000000000e+00
5109,0,ISED_1,7.771136989898e+00
5109,0,DEPSCR_1,0.000000000000e+00
5109,0,DEPMASS_1,0.000000000000e+00
5109,0,SCRMASS_1,0.000000000000e+00
5109,0,BEDSED_1,0.000000000000e+00
5109,1,ROSED_1,7.771136989898e+00
5109,1,BPSED_1,0.000000000000e+00
5109,0,DRAT_ISED_2,3.187370265847e+01
5109,0,DRAT_OSED_2,3.187370265847e+01
5109,-1,USSED_2,0.000000000000e+00
5109,-2,LUSED_2,3.187370265847e+01
5109,-1,USSBP_2,0.000000000000e+00
5109,-2,LUSBP_2,0.000000000000e+00
5109,-5,IRWDSED_2,0.000000000000e+00
5109,0,ISED_2,3.187370265847e+01
5109,0,DEPSCR_2,0.000000000000e+00
5109,0,DEPMASS_2,0.000000000000e+00
5109,0,SCRMASS_2,0.000000000000e+00
5109,0,BEDSED_2,0.000000000000e+00
5109,1,ROSED_2,3.187370265847e+01
5109,1,BPSED_2,0.000000000000e+00
5109,0,DRAT_ISED_3,9.918773373768e+00
5109,0,DRAT_OSED_3,9.918773373768e+00
5109,-1,USSED_3,0.000000000000e+00
5109,-2,LUSED_3,9.918773373768e+00
5109,-1,USSBP_3,0.000000000000e+00
5109,-2,LUSBP_3,0.000000000000e+00
5109,-5,IRWDSED_3,0.000000000000e+00
5109,0,ISED_3,9.918773373768e+00
5109,0,DEPSCR_3,0.000000000000e+00
5109,0,DEPMASS_3,0.000000000000e+00
5109,0,SCRMASS_3,0.000000000000e+00
5109,0,BEDSED_3,0.000000000000e+00
5109,1,ROSED_3,9.918773373768e+00
5109,1,BPSED_3,0.000000000000e+00
5109,0,DRAT_IGQL_TN,1.721074501215e+03
5109,0,DRAT_OGQL_TN,1.721074501215e+03
5109,-1,USQUAL_TN,0.000000000000e+00
5109,-2,LUQUAL_TN,1.721074501215e+03
5109,-1,USQUBP_TN,0.000000000000e+00
5109,-2,LUQUBP_TN,0.000000000000e+00
5109,-5,IRWDQUAL_TN,0.000000000000e+00
5109,-7,INFILTQUAL_TN,0.000000000000e+00
5109,-8,INFILTQUALTARGET_TN,0.000000000000e+00
5109,0,ADTOT_TN,0.000000000000e+00
5109,0,IQUAL_TN,1.721074501215e+03
5109,0,ADQAL_TN,0.000000000000e+00
5109,0,DSQAL_TN,0.000000000000e+00
5109,0,DEPQAL_TN,0.000000000000e+00
5109,0,SCRQAL_TN,0.000000000000e+00
5109,1,QUAL_TN,1.721074501215e+03
5109,1,QUBP_TN,0.000000000000e+00
5109,0,DRAT_IGQL_TP,2.520464510046e+02
5109,0,DRAT_OGQL_TP,2.520464510046e+02
5109,-1,USQUAL_TP,0.000000000000e+00
5109,-2,LUQUAL_TP,2.520464510046e+02
5109,-1,USQUBP_TP,0.000000000000e+00
5109,-2,LUQUBP_TP,0.000000000000e+00
5109,-5,IRWDQUAL_TP,0.000000000000e+00
