TT-----------------------------------------------------------------------------------------
TT LSPC -- Loading Simulation Program, C++
TT Version 6.0 (64-bit) - Jan 2020
TT
TT Created through code updates by:
TT Paradigm Environmental, Inc.
TT San Diego, California, USA
TT www.paradigmh2o.com
TT 
TT Based upon LSPC version 5.0 (Mar 2018), originally developed by :
TT United States Environmental Protection Agency
TT with support by Tetra Tech, Inc.
TT https://github.com/USEPA/LSPC-Loading-Simulation-Program 
TT 
TT NOTE: The line starting with the letter c and followed by space or - is a comment line.
TT       There must be no comment line in between the data lines
TT       The input text field must be a continuous string without any space in between the characters
TT-----------------------------------------------------------------------------------------
TT LSPC MODEL OUTPUT FILE
TT This output file was created at 08:58:59am on 02/16/2026
TT Time interval: 60 min      Output option: day
TT Label   
TT PREC     precipitation (rain + snow) volume (in-acre/day)
TT SURO     surface outflow volume (in-acre/day)
TT IFWO     interflow outflow volume (in-acre/day)
TT AGWO     groundwater outflow volume (in-acre/day)
TT PERO     total outflow rate volume (SURO+IFWO+AGWO) (in-acre/day)
TT DEP      stream depth (ft)
TT AVDEP    stream average depth (ft)
TT TAU      bed shear stress (kg/m^2)
TT RO       total rate of outflow from RCHRES (cfs)
TT SOSED    sediments load from land (english tons/day)
TT SSEDOUT1 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT2 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT3 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT  total suspended solid concentration in outflow from the RCHRES (mg/l)
TT POQUAL1  total flux of QUAL from the PLS_TN (lb/day) 
TT POQUAL2  total flux of QUAL from the PLS_TP (lb/day) 
TT POQUAL3  total flux of QUAL from the PLS_TCd (lb/day) 
TT POQUAL4  total flux of QUAL from the PLS_TCu (lb/day) 
TT POQUAL5  total flux of QUAL from the PLS_TPb (lb/day) 
TT POQUAL6  total flux of QUAL from the PLS_TZn (lb/day) 
TT CONC1    TN dissolved concentration (average) in RCHRES (mg/l)
TT CONC2    TP dissolved concentration (average) in RCHRES (mg/l)
TT CONC3    TCd dissolved concentration (average) in RCHRES (ug/l)
TT CONC4    TCu dissolved concentration (average) in RCHRES (ug/l)
TT CONC5    TPb dissolved concentration (average) in RCHRES (ug/l)
TT CONC6    TZn dissolved concentration (average) in RCHRES (ug/l)
TT
TT WATERSHED_5118 Area:  409.980 (acres)
TT Date/time     Values
TT
5118	2008	10	1	0	0		0.000000000000e+00	2.019075517286e-01	0.000000000000e+00	1.432331159874e+00	1.634238711603e+00	3.758957273129e-03	9.253463326531e-02	1.631376022767e+01	1.351414310962e-01	3.592172112154e-03	0.000000000000e+00	9.633985092044e+01	2.767266448787e+01	1.240125154083e+02	4.263663713237e-01	8.320984229413e-02	4.573178535715e-06	1.143294630124e-03	1.829271404648e-04	1.988782488719e-02	3.954530419002e+00	4.487528584177e-01	9.086828876437e-02	2.271707208256e+01	3.634731523080e+00	9.401455744485e+01
5118	2008	10	2	0	0		0.000000000000e+00	2.247689703712e-01	0.000000000000e+00	1.371275298190e+00	1.596044268561e+00	3.185364705875e-03	9.253463326531e-02	3.158656944676e-03	1.151068296848e-01	3.974885893712e-03	0.000000000000e+00	8.956175980050e+01	2.575924026866e+01	1.153210000692e+02	4.367696976399e-01	8.252066426483e-02	5.092688275834e-06	1.273172067549e-03	2.037075306762e-04	1.961162841875e-02	3.768929921279e+00	4.375014117404e-01	8.513198548633e-02	2.128299631551e+01	3.405279405249e+00	9.234895614435e+01
5118	2008	10	3	0	0		0.000000000000e+00	2.458367749166e-01	0.000000000000e+00	1.332335873508e+00	1.578172648425e+00	3.340667062204e-03	9.253463326531e-02	3.318590319798e-03	1.209350738068e-01	4.327798602980e-03	0.000000000000e+00	8.865378169694e+01	2.548717218702e+01	1.141409538840e+02	4.492088940038e-01	8.266155877409e-02	5.569121965821e-06	1.392280488373e-03	2.227648778519e-04	1.955156531721e-02	3.721446962027e+00	4.280586486833e-01	8.464908155872e-02	2.116227033589e+01	3.385963248721e+00	9.008484615316e+01
5118	2008	10	4	0	0		0.000000000000e+00	3.408865635014e-01	0.000000000000e+00	1.353315284826e+00	1.694201848327e+00	4.119632771524e-03	9.253463326531e-02	4.118752424254e-03	1.500943413978e-01	5.943900624340e-03	0.000000000000e+00	8.636003793310e+01	2.480082285768e+01	1.111608607908e+02	5.388399968331e-01	9.221894640863e-02	7.720757950398e-06	1.930189482170e-03	3.088303166405e-04	2.151058504176e-02	3.604612663521e+00	4.052487000254e-01	8.339720208718e-02	2.084930044394e+01	3.335888063765e+00	8.463273501449e+01
5118	2008	10	5	0	0		0.000000000000e+00	2.241979506499e-01	0.000000000000e+00	1.480881267861e+00	1.705079218511e+00	4.484073768785e-03	9.253463326531e-02	4.416376363689e-03	1.609402637967e-01	3.975778375121e-03	0.000000000000e+00	9.055131177777e+01	2.599412373987e+01	1.165454355176e+02	4.547835924801e-01	8.742682842154e-02	5.077319473301e-06	1.269329863043e-03	2.030927775939e-04	2.084124323960e-02	3.675286315127e+00	4.120625323399e-01	8.520207361948e-02	2.130051828241e+01	3.408082913755e+00	8.597521903055e+01
5118	2008	10	6	0	0		0.000000000000e+00	1.993861310048e-01	0.000000000000e+00	1.453480628836e+00	1.652866759841e+00	3.530918962863e-03	9.253463326531e-02	3.486313802060e-03	1.270472026784e-01	3.551952560848e-03	0.000000000000e+00	8.899132055606e+01	2.558560988773e+01	1.145769304438e+02	4.276880861391e-01	8.394110829060e-02	4.516357225868e-06	1.129089303086e-03	1.806542881782e-04	2.008200564596e-02	3.714956762711e+00	4.290897270953e-01	8.423481205444e-02	2.105870292725e+01	3.369392460299e+00	9.042546983504e+01
5118	2008	10	7	0	0		0.000000000000e+00	1.722109622167e-01	0.000000000000e+00	1.388712857264e+00	1.560923819481e+00	3.000169259649e-03	9.253463326531e-02	2.964614684177e-03	1.080355997849e-01	3.083549680031e-03	0.000000000000e+00	8.895000768290e+01	2.559918376678e+01	1.145491914497e+02	3.920900200599e-01	7.854664489097e-02	3.901604079290e-06	9.754010183312e-04	1.560641627938e-04	1.885634041504e-02	3.774947929789e+00	4.442564629333e-01	8.435944813160e-02	2.108986197912e+01	3.374377911641e+00	9.419222640098e+01
5118	2008	10	8	0	0		0.000000000000e+00	1.532263240070e-01	0.000000000000e+00	1.291444231847e+00	1.444670555854e+00	2.576744437061e-03	9.253463326531e-02	2.547606635452e-03	9.283911745630e-02	2.750562889062e-03	0.000000000000e+00	8.899174698292e+01	2.563131842162e+01	1.146230654045e+02	3.583867079472e-01	7.242101517742e-02	3.472316041276e-06	8.680790103190e-04	1.388926416510e-04	1.741079058610e-02	3.824393248639e+00	4.563272193453e-01	8.452664719570e-02	2.113166177742e+01	3.381065882381e+00	9.717647551474e+01
5118	2008	10	9	0	0		0.000000000000e+00	2.243528651441e-01	0.000000000000e+00	1.195073385643e+00	1.419426250787e+00	2.554516236099e-03	9.253463326531e-02	2.544782261496e-03	9.273619246709e-02	3.948378371024e-03	0.000000000000e+00	8.744788156009e+01	2.517711191396e+01	1.126249934740e+02	4.064734494655e-01	7.449982194753e-02	5.083964687432e-06	1.270991171725e-03	2.033585874636e-04	1.760816255012e-02	3.762399513875e+00	4.446853139037e-01	8.379318351316e-02	2.094829587210e+01	3.351727338960e+00	9.441269180711e+01
5118	2008	10	10	0	0		0.000000000000e+00	2.485628787777e-01	0.000000000000e+00	1.167538240955e+00	1.416101119733e+00	3.186032626409e-03	9.253463326531e-02	3.168598219415e-03	1.154691066393e-01	4.355232366397e-03	0.000000000000e+00	9.114033454905e+01	2.618657757496e+01	1.173269121240e+02	4.236588747959e-01	7.543838489860e-02	5.630597285718e-06	1.407649317372e-03	2.252238904008e-04	1.773347678969e-02	3.804501317908e+00	4.324937498737e-01	8.730599060262e-02	2.182649759867e+01	3.492239610936e+00	9.066223963205e+01
