"subbasin","deluid","deluname","lutype","area_ac","slsur","lsur"
5118,1000,"Road_Freeway-All-All-All",1,5.155175,0.03,100
5118,2000,"Road_Primary-All-All-All",1,5.685196,0.01,100
5118,3000,"Road_Minor-All-All-All",1,14.186402,0.01,100
5118,4000,"Dev_ResHigh-All-All-All",1,6.40227,0.01,100
5118,5000,"Dev_ResLow-All-All-All",1,44.278247,0.02,100
5118,6000,"Dev_Com-All-All-All",1,25.281275,0.01,100
5118,7000,"Dev_Ind-All-All-All",1,42.544867,0.02,100
5118,8000,"Dev_Inst-All-All-All",1,39.004497,0.01,100
5118,9000,"Dev_Roof-All-All-All",1,46.376724,0.01,100
5118,10000,"Dev_Overspray-All-All-All",1,3.854078,0.02,100
5118,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
5118,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
5118,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
5118,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
5118,11211,"Dev_Irrigated-B-Low-Confined",2,6.814011,0.04,400
5118,11212,"Dev_Irrigated-B-Low-Unconfined",2,3.560708,0.02,400
5118,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.03,300
5118,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.01,300
5118,11311,"Dev_Irrigated-C-Low-Confined",2,0,0.01,400
5118,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
5118,11321,"Dev_Irrigated-C-Med-Confined",2,0,0.01,300
5118,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
5118,11411,"Dev_Irrigated-D-Low-Confined",2,45.161009,0.02,400
5118,11412,"Dev_Irrigated-D-Low-Unconfined",2,21.423373,0.02,400
5118,11421,"Dev_Irrigated-D-Med-Confined",2,0.122458,0.02,300
5118,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.02,300
5118,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
5118,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
5118,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
5118,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
5118,12211,"Dev_Pervious-B-Low-Confined",2,5.71762,0.04,400
5118,12212,"Dev_Pervious-B-Low-Unconfined",2,2.987782,0.02,400
