TT-----------------------------------------------------------------------------------------
TT LSPC -- Loading Simulation Program, C++
TT Version 6.0 (64-bit) - Jan 2020
TT
TT Created through code updates by:
TT Paradigm Environmental, Inc.
TT San Diego, California, USA
TT www.paradigmh2o.com
TT 
TT Based upon LSPC version 5.0 (Mar 2018), originally developed by :
TT United States Environmental Protection Agency
TT with support by Tetra Tech, Inc.
TT https://github.com/USEPA/LSPC-Loading-Simulation-Program 
TT 
TT NOTE: The line starting with the letter c and followed by space or - is a comment line.
TT       There must be no comment line in between the data lines
TT       The input text field must be a continuous string without any space in between the characters
TT-----------------------------------------------------------------------------------------
TT LSPC MODEL OUTPUT FILE
TT This output file was created at 12:26:10pm on 02/13/2026
TT Time interval: 60 min      Output option: day
TT Label   
TT PREC     precipitation (rain + snow) volume (in-acre/day)
TT SURO     surface outflow volume (in-acre/day)
TT IFWO     interflow outflow volume (in-acre/day)
TT AGWO     groundwater outflow volume (in-acre/day)
TT PERO     total outflow rate volume (SURO+IFWO+AGWO) (in-acre/day)
TT DEP      stream depth (ft)
TT AVDEP    stream average depth (ft)
TT TAU      bed shear stress (kg/m^2)
TT RO       total rate of outflow from RCHRES (cfs)
TT SOSED    sediments load from land (english tons/day)
TT SSEDOUT1 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT2 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT3 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT  total suspended solid concentration in outflow from the RCHRES (mg/l)
TT POQUAL1  total flux of QUAL from the PLS_TN (lb/day) 
TT POQUAL2  total flux of QUAL from the PLS_TP (lb/day) 
TT POQUAL3  total flux of QUAL from the PLS_TCd (lb/day) 
TT POQUAL4  total flux of QUAL from the PLS_TCu (lb/day) 
TT POQUAL5  total flux of QUAL from the PLS_TPb (lb/day) 
TT POQUAL6  total flux of QUAL from the PLS_TZn (lb/day) 
TT CONC1    TN dissolved concentration (average) in RCHRES (mg/l)
TT CONC2    TP dissolved concentration (average) in RCHRES (mg/l)
TT CONC3    TCd dissolved concentration (average) in RCHRES (ug/l)
TT CONC4    TCu dissolved concentration (average) in RCHRES (ug/l)
TT CONC5    TPb dissolved concentration (average) in RCHRES (ug/l)
TT CONC6    TZn dissolved concentration (average) in RCHRES (ug/l)
TT
TT WATERSHED_1030 Area: 2275.323 (acres)
TT Date/time     Values
TT
1030	2008	10	1	0	0		0.000000000000e+00	1.206684791340e+00	1.901285227733e-01	1.803677500674e+01	1.943358832085e+01	3.056468085344e-02	3.015521369070e-02	6.668450469962e+01	1.268384853195e-01	1.930021136363e-02	0.000000000000e+00	3.803618962374e+01	1.115378235376e+01	4.918997197750e+01	4.253348208068e+00	9.266141209040e-01	2.299726026347e-05	5.745785769602e-03	9.189963221515e-04	2.227648018116e-01	2.275996210779e+00	2.871709761388e-01	3.516882092328e-02	8.786099946901e+00	1.405206165005e+00	5.817567998214e+01
1030	2008	10	2	0	0		0.000000000000e+00	1.225876286148e+00	1.612026545762e-01	1.774312096707e+01	1.913019990779e+01	2.999426921829e-02	2.964684561509e-02	7.570324222104e-02	1.231196552707e-01	1.951551329113e-02	0.000000000000e+00	3.714415334993e+01	1.090356236841e+01	4.804771571834e+01	4.207448714281e+00	9.120263376464e-01	2.333284785225e-05	5.829726848521e-03	9.324310184063e-04	2.197059963050e-01	2.245066745075e+00	2.856031291254e-01	3.494074301417e-02	8.730013575659e+00	1.396319435503e+00	5.869977795453e+01
1030	2008	10	3	0	0		0.000000000000e+00	1.218532039772e+00	1.492165702707e-01	1.748752796202e+01	1.885527657207e+01	2.963131593894e-02	2.929948309174e-02	7.482197217434e-02	1.205892434450e-01	1.944555910925e-02	0.000000000000e+00	3.761744745183e+01	1.103855816818e+01	4.865600562001e+01	4.151961713144e+00	8.991452174580e-01	2.327898658323e-05	5.816468859543e-03	9.303290908089e-04	2.167669760222e-01	2.254810083430e+00	2.866771543788e-01	3.545317574270e-02	8.858507187735e+00	1.416914386897e+00	5.926154651451e+01
1030	2008	10	4	0	0		0.000000000000e+00	1.334315894663e+00	1.499670135994e-01	1.733054678828e+01	1.881482969655e+01	3.051242742972e-02	3.018580455637e-02	7.705806643786e-02	1.270097945451e-01	2.102152383250e-02	0.000000000000e+00	3.858693895772e+01	1.130137814047e+01	4.988831709819e+01	4.235123025162e+00	9.005992740448e-01	2.540247269144e-05	6.347627884470e-03	1.015341367932e-03	2.166872152300e-01	2.289345012257e+00	2.826161295836e-01	3.661102880374e-02	9.148402392331e+00	1.463337933970e+00	5.841678920060e+01
1030	2008	10	5	0	0		0.000000000000e+00	1.149164482834e+00	1.462441316806e-01	1.721908183630e+01	1.851449045081e+01	2.911651731454e-02	2.876480452804e-02	7.347111795379e-02	1.167105033162e-01	1.860703035811e-02	0.000000000000e+00	3.808247326653e+01	1.117027766342e+01	4.925275092995e+01	4.040793952214e+00	8.824039685027e-01	2.219861343988e-05	5.547058372636e-03	8.872871408038e-04	2.128613652624e-01	2.256099235925e+00	2.879968069857e-01	3.564445372933e-02	8.907113157382e+00	1.424764746186e+00	5.950341458879e+01
1030	2008	10	6	0	0		0.000000000000e+00	1.086705570095e+00	1.301722873755e-01	1.687568801433e+01	1.809256587180e+01	2.808500616567e-02	2.776510533371e-02	7.094703421815e-02	1.094630411363e-01	1.779848691879e-02	0.000000000000e+00	3.813950755697e+01	1.120118044578e+01	4.934068800275e+01	3.919154425614e+00	8.612896068875e-01	2.117373123691e-05	5.291068841843e-03	8.463503777389e-04	2.081506981508e-01	2.267216271724e+00	2.950134367203e-01	3.571069637298e-02	8.923789268428e+00	1.427443699299e+00	6.142264586035e+01
1030	2008	10	7	0	0		0.000000000000e+00	1.141954214724e+00	1.311800996726e-01	1.653010209527e+01	1.780323640967e+01	2.817161849750e-02	2.786856021121e-02	7.120965622012e-02	1.102171139905e-01	1.825268091739e-02	0.000000000000e+00	3.860191214528e+01	1.132879321798e+01	4.993070536326e+01	3.912667890597e+00	8.483445169248e-01	2.183595090061e-05	5.455689084171e-03	8.726023803092e-04	2.047642528847e-01	2.303761347295e+00	2.945362835523e-01	3.621843355518e-02	9.049539561509e+00	1.447453239295e+00	6.133477046801e+01
1030	2008	10	8	0	0		0.000000000000e+00	1.124509725176e+00	1.336869205068e-01	1.622267466516e+01	1.748087131084e+01	2.790416921739e-02	2.762566929884e-02	7.052261204006e-02	1.083633051377e-01	1.798186255791e-02	0.000000000000e+00	3.896016995681e+01	1.143020339292e+01	5.039037334973e+01	3.845951453160e+00	8.333785803369e-01	2.152051004998e-05	5.376913826648e-03	8.600062682513e-04	2.010285845309e-01	2.321404181264e+00	2.960084720986e-01	3.647574971885e-02	9.113747364205e+00	1.457715172159e+00	6.144202468826e+01
1030	2008	10	9	0	0		0.000000000000e+00	1.251828887706e+00	1.451494922054e-01	1.598259960714e+01	1.737957798705e+01	2.874844838564e-02	2.845626862751e-02	7.268979375284e-02	1.144670683949e-01	1.941341947649e-02	0.000000000000e+00	3.951092006744e+01	1.157336680905e+01	5.108428687649e+01	3.926316907358e+00	8.313059970942e-01	2.346807406664e-05	5.862929125153e-03	9.376869834837e-04	1.998659557076e-01	2.356518982806e+00	2.912627201445e-01	3.733573242996e-02	9.327916278215e+00	1.491905033782e+00	6.007993508124e+01
1030	2008	10	10	0	0		0.000000000000e+00	1.117984142955e+00	1.521389181152e-01	1.586320848051e+01	1.713333154158e+01	2.836933608200e-02	2.798979235694e-02	7.151570569847e-02	1.110958811995e-01	1.804096327407e-02	0.000000000000e+00	3.995782933062e+01	1.170221744587e+01	5.166004677649e+01	3.782104275174e+00	8.192826623876e-01	2.164841641884e-05	5.409384118725e-03	8.652475936376e-04	1.970581776189e-01	2.346270716645e+00	2.933361511444e-01	3.723473618090e-02	9.303277321820e+00	1.488019743973e+00	6.008389786183e+01
