"subbasin","deluid","deluname","lutype","acre_ac","slsur","lsur"
1077,1000,"Road_Freeway-All-All-All",1,0,0.01,100
1077,2000,"Road_Primary-All-All-All",1,20.903283,0.01,100
1077,3000,"Road_Minor-All-All-All",1,40.956642,0.01,100
1077,4000,"Dev_ResHigh-All-All-All",1,34.582062,0.01,100
1077,5000,"Dev_ResLow-All-All-All",1,117.439437,0.01,100
1077,6000,"Dev_Com-All-All-All",1,8.51927,0.01,100
1077,7000,"Dev_Ind-All-All-All",1,0.021683,0.01,100
1077,8000,"Dev_Inst-All-All-All",1,15.950749,0.01,100
1077,9000,"Dev_Roof-All-All-All",1,135.649852,0.01,100
1077,10000,"Dev_Overspray-All-All-All",1,4.859394,0.01,100
1077,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
1077,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
1077,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
1077,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
1077,11211,"Dev_Irrigated-B-Low-Confined",2,52.738733,0.01,400
1077,11212,"Dev_Irrigated-B-Low-Unconfined",2,0,0.01,400
1077,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.01,300
1077,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.01,300
1077,11311,"Dev_Irrigated-C-Low-Confined",2,0,0.01,400
1077,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
1077,11321,"Dev_Irrigated-C-Med-Confined",2,0,0.01,300
1077,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
1077,11411,"Dev_Irrigated-D-Low-Confined",2,32.426997,0.01,400
1077,11412,"Dev_Irrigated-D-Low-Unconfined",2,12.022145,0.01,400
1077,11421,"Dev_Irrigated-D-Med-Confined",2,0,0.01,300
1077,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.01,300
1077,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
1077,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
1077,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
1077,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
1077,12211,"Dev_Pervious-B-Low-Confined",2,135.931187,0.01,400
1077,12212,"Dev_Pervious-B-Low-Unconfined",2,0,0.01,400
