rchid,type,parmname,value1
1077,0,DRAT_IVOL,1.480835883312e+07
1077,0,DRAT_OVOL,1.466935311099e+07
1077,-1,USLINK,0.000000000000e+00
1077,-1,PCP,1.133043526380e+05
1077,-1,EVAP,1.390057946118e+05
1077,-1,INFILT,0.000000000000e+00
1077,-1,USIF,0.000000000000e+00
1077,-2,LUIF,1.469505448048e+07
1077,-1,USBP,0.000000000000e+00
1077,-2,LUBP,0.000000000000e+00
1077,-5,IRWD,0.000000000000e+00
1077,0,IVOL,1.469505448048e+07
1077,1,RO,1.466935311099e+07
1077,1,BP,0.000000000000e+00
1077,0,DRAT_ISED_1,5.738448693134e+00
1077,0,DRAT_OSED_1,1.286382926376e+00
1077,-1,USSED_1,0.000000000000e+00
1077,-2,LUSED_1,5.638313637222e+00
1077,-1,USSBP_1,0.000000000000e+00
1077,-2,LUSBP_1,0.000000000000e+00
1077,-5,IRWDSED_1,0.000000000000e+00
1077,0,ISED_1,5.638313637222e+00
1077,0,DEPSCR_1,4.351930710846e+00
1077,0,DEPMASS_1,4.452065766758e+00
1077,0,SCRMASS_1,1.001350559118e-01
1077,0,BEDSED_1,1.654782447577e+06
1077,1,ROSED_1,1.286382926376e+00
1077,1,BPSED_1,0.000000000000e+00
1077,0,DRAT_ISED_2,3.166466824142e+01
1077,0,DRAT_OSED_2,3.155149360480e+01
1077,-1,USSED_2,0.000000000000e+00
1077,-2,LUSED_2,3.166423753620e+01
1077,-1,USSBP_2,0.000000000000e+00
1077,-2,LUSBP_2,0.000000000000e+00
1077,-5,IRWDSED_2,0.000000000000e+00
1077,0,ISED_2,3.166423753620e+01
1077,0,DEPSCR_2,1.127934177401e-01
1077,0,DEPMASS_2,1.132241229564e-01
1077,0,SCRMASS_2,4.307052163278e-04
1077,0,BEDSED_2,9.716675298714e+06
1077,1,ROSED_2,3.155149360480e+01
1077,1,BPSED_2,0.000000000000e+00
1077,0,DRAT_ISED_3,9.406623760288e+00
1077,0,DRAT_OSED_3,9.406637705411e+00
1077,-1,USSED_3,0.000000000000e+00
1077,-2,LUSED_3,9.214686849015e+00
1077,-1,USSBP_3,0.000000000000e+00
1077,-2,LUSBP_3,0.000000000000e+00
1077,-5,IRWDSED_3,0.000000000000e+00
1077,0,ISED_3,9.214686849015e+00
1077,0,DEPSCR_3,-1.919369112728e-01
1077,0,DEPMASS_3,0.000000000000e+00
1077,0,SCRMASS_3,1.919369112728e-01
1077,0,BEDSED_3,2.763201241567e+06
1077,1,ROSED_3,9.406637705411e+00
1077,1,BPSED_3,0.000000000000e+00
1077,0,DRAT_IGQL_TN,1.950319989892e+03
1077,0,DRAT_OGQL_TN,1.943037785116e+03
1077,-1,USQUAL_TN,0.000000000000e+00
1077,-2,LUQUAL_TN,1.950319989892e+03
1077,-1,USQUBP_TN,0.000000000000e+00
1077,-2,LUQUBP_TN,0.000000000000e+00
1077,-5,IRWDQUAL_TN,0.000000000000e+00
1077,-7,INFILTQUAL_TN,0.000000000000e+00
1077,-8,INFILTQUALTARGET_TN,0.000000000000e+00
1077,0,ADTOT_TN,0.000000000000e+00
1077,0,IQUAL_TN,1.950319989892e+03
1077,0,ADQAL_TN,0.000000000000e+00
1077,0,DSQAL_TN,0.000000000000e+00
1077,0,DEPQAL_TN,0.000000000000e+00
1077,0,SCRQAL_TN,0.000000000000e+00
1077,1,QUAL_TN,1.943037785116e+03
1077,1,QUBP_TN,0.000000000000e+00
1077,0,DRAT_IGQL_TP,2.645425815734e+02
1077,0,DRAT_OGQL_TP,2.637007743065e+02
1077,-1,USQUAL_TP,0.000000000000e+00
1077,-2,LUQUAL_TP,2.645425815734e+02
1077,-1,USQUBP_TP,0.000000000000e+00
1077,-2,LUQUBP_TP,0.000000000000e+00
1077,-5,IRWDQUAL_TP,0.000000000000e+00
1077,-7,INFILTQUAL_TP,0.000000000000e+00
