TT-----------------------------------------------------------------------------------------
TT LSPC -- Loading Simulation Program, C++
TT Version 6.0 (64-bit) - Jan 2020
TT
TT Created through code updates by:
TT Paradigm Environmental, Inc.
TT San Diego, California, USA
TT www.paradigmh2o.com
TT 
TT Based upon LSPC version 5.0 (Mar 2018), originally developed by :
TT United States Environmental Protection Agency
TT with support by Tetra Tech, Inc.
TT https://github.com/USEPA/LSPC-Loading-Simulation-Program 
TT 
TT NOTE: The line starting with the letter c and followed by space or - is a comment line.
TT       There must be no comment line in between the data lines
TT       The input text field must be a continuous string without any space in between the characters
TT-----------------------------------------------------------------------------------------
TT LSPC MODEL OUTPUT FILE
TT This output file was created at 08:16:26am on 02/16/2026
TT Time interval: 60 min      Output option: day
TT Label   
TT PREC     precipitation (rain + snow) volume (in-acre/day)
TT SURO     surface outflow volume (in-acre/day)
TT IFWO     interflow outflow volume (in-acre/day)
TT AGWO     groundwater outflow volume (in-acre/day)
TT PERO     total outflow rate volume (SURO+IFWO+AGWO) (in-acre/day)
TT DEP      stream depth (ft)
TT AVDEP    stream average depth (ft)
TT TAU      bed shear stress (kg/m^2)
TT RO       total rate of outflow from RCHRES (cfs)
TT SOSED    sediments load from land (english tons/day)
TT SSEDOUT1 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT2 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT3 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT  total suspended solid concentration in outflow from the RCHRES (mg/l)
TT POQUAL1  total flux of QUAL from the PLS_TN (lb/day) 
TT POQUAL2  total flux of QUAL from the PLS_TP (lb/day) 
TT POQUAL3  total flux of QUAL from the PLS_TCd (lb/day) 
TT POQUAL4  total flux of QUAL from the PLS_TCu (lb/day) 
TT POQUAL5  total flux of QUAL from the PLS_TPb (lb/day) 
TT POQUAL6  total flux of QUAL from the PLS_TZn (lb/day) 
TT CONC1    TN dissolved concentration (average) in RCHRES (mg/l)
TT CONC2    TP dissolved concentration (average) in RCHRES (mg/l)
TT CONC3    TCd dissolved concentration (average) in RCHRES (ug/l)
TT CONC4    TCu dissolved concentration (average) in RCHRES (ug/l)
TT CONC5    TPb dissolved concentration (average) in RCHRES (ug/l)
TT CONC6    TZn dissolved concentration (average) in RCHRES (ug/l)
TT
TT WATERSHED_2088 Area: 1011.740 (acres)
TT Date/time     Values
TT
2088	2008	10	1	0	0		0.000000000000e+00	6.183911394616e-01	2.797693912169e-01	7.400859565990e+00	8.299020096669e+00	7.087014405084e-02	6.948072728371e-02	1.480019692286e+02	9.214056580966e-01	7.579295385271e-03	0.000000000000e+00	2.727096995367e+01	8.053208206133e+00	3.532417815980e+01	1.950523697592e+00	3.965467580947e-01	8.969137240863e-06	2.237425637798e-03	3.575346259554e-04	9.102946947600e-02	2.141538496627e+00	2.737480268773e-01	2.546962190387e-02	6.354895112359e+00	1.015615584041e+00	4.660399079776e+01
2088	2008	10	2	0	0		0.000000000000e+00	6.352634791538e-01	2.386848253797e-01	7.325071179933e+00	8.199019484466e+00	7.002074736507e-02	6.867047694366e-02	1.842876715173e-01	9.044103938727e-01	7.561266764146e-03	0.000000000000e+00	2.543112750052e+01	7.521846657997e+00	3.295297415852e+01	1.934466897864e+00	3.893597652446e-01	8.965400250727e-06	2.235950461474e-03	3.572481110564e-04	9.016745764825e-02	2.131991085359e+00	2.593592049310e-01	2.396467245115e-02	5.976251772712e+00	9.548080918935e-01	4.570314445610e+01
2088	2008	10	3	0	0		0.000000000000e+00	5.963643885890e-01	2.106721738341e-01	7.235887020231e+00	8.042923582654e+00	6.743799611145e-02	6.619201105512e-02	1.775461908028e-01	8.571133792166e-01	7.327253869434e-03	0.000000000000e+00	2.571466440733e+01	7.605842212837e+00	3.332050662017e+01	1.870428652850e+00	3.816056800252e-01	8.666194355120e-06	2.162150011667e-03	3.455334680029e-04	8.891810988357e-02	2.129740562896e+00	2.601465571166e-01	2.423150830050e-02	6.044008478888e+00	9.657469543066e-01	4.694598660149e+01
2088	2008	10	4	0	0		0.000000000000e+00	6.075044537522e-01	1.969984405112e-01	7.142084276926e+00	7.946587171190e+00	6.638804174035e-02	6.525310854099e-02	1.749840046634e-01	8.394802766852e-01	7.417578356635e-03	0.000000000000e+00	2.621633447046e+01	7.748617284907e+00	3.396495175537e+01	1.858209861531e+00	3.766626405634e-01	8.801613885514e-06	2.196260649197e-03	3.510150404678e-04	8.796373330273e-02	2.135803621699e+00	2.602380494834e-01	2.477212739374e-02	6.180305308524e+00	9.876610389721e-01	4.785906894675e+01
2088	2008	10	5	0	0		0.000000000000e+00	5.594987482468e-01	1.866847022614e-01	7.052835782467e+00	7.799019232975e+00	7.158421019267e-02	7.027700616538e-02	1.885244791503e-01	9.461797533337e-01	7.090048102955e-03	0.000000000000e+00	2.823828664305e+01	8.443557478084e+00	3.668184412113e+01	1.794044195564e+00	3.699989764026e-01	8.376783053605e-06	2.090700266902e-03	3.341857963645e-04	8.661296799348e-02	2.661376352956e+00	2.556964996215e-01	3.209334969276e-02	6.860403072954e+00	1.110265870209e+00	5.434466489818e+01
2088	2008	10	6	0	0		0.000000000000e+00	5.295754272943e-01	1.687477876603e-01	6.934601125988e+00	7.632924340942e+00	6.521829553152e-02	6.397182492983e-02	1.715217567375e-01	8.156529006295e-01	6.875178273224e-03	0.000000000000e+00	2.600647082775e+01	7.734163592496e+00	3.374063442024e+01	1.738230397162e+00	3.619527117554e-01	8.108623934903e-06	2.024118231684e-03	3.235753935456e-04	8.505900609880e-02	2.218929072305e+00	2.702350455705e-01	2.554902906014e-02	6.127700250360e+00	9.822311336594e-01	4.877374140073e+01
2088	2008	10	7	0	0		0.000000000000e+00	6.118205234292e-01	1.824945086215e-01	6.842258568717e+00	7.636573600768e+00	6.479362645579e-02	6.374954157130e-02	1.709058708167e-01	8.114143406659e-01	7.335372602897e-03	0.000000000000e+00	2.655805468197e+01	7.852728966303e+00	3.441078364827e+01	1.804063811727e+00	3.615058532709e-01	8.744639489590e-06	2.180964490176e-03	3.484694160874e-04	8.452036409532e-02	2.155310114728e+00	2.653763056814e-01	2.518941859200e-02	6.271637330432e+00	1.002352062025e+00	4.838697238726e+01
2088	2008	10	8	0	0		0.000000000000e+00	6.173963717769e-01	1.995679840266e-01	6.787105754325e+00	7.604070110128e+00	6.593186829035e-02	6.480361265593e-02	1.737702114500e-01	8.311268866427e-01	7.365459184715e-03	0.000000000000e+00	2.674266740755e+01	7.895563965095e+00	3.463823137265e+01	1.807204387265e+00	3.607368836337e-01	8.790948309028e-06	2.192451600283e-03	3.502989448610e-04	8.393244436207e-02	2.182154114566e+00	2.601157060882e-01	2.526369172020e-02	6.299276754903e+00	1.006388978699e+00	4.746302271486e+01
2088	2008	10	9	0	0		0.000000000000e+00	6.391126899830e-01	2.120044056606e-01	6.747514366797e+00	7.598631462441e+00	6.695359787942e-02	6.579421840948e-02	1.764615159476e-01	8.496485886451e-01	7.500037022276e-03	0.000000000000e+00	2.666222298233e+01	7.867781169471e+00	3.453000415180e+01	1.825612352041e+00	3.608021909152e-01	8.976432496791e-06	2.238424931713e-03	3.576175577754e-04	8.363202236413e-02	2.195466424113e+00	2.573890720218e-01	2.521292652737e-02	6.285823790144e+00	1.004109695810e+00	4.668309420004e+01
2088	2008	10	10	0	0		0.000000000000e+00	5.191034714491e-01	2.001641027543e-01	6.697172524514e+00	7.416440098717e+00	6.464018060337e-02	6.336287749519e-02	1.698751979480e-01	8.043211946642e-01	6.769755527913e-03	0.000000000000e+00	2.706643082046e+01	7.990899826672e+00	3.505733064713e+01	1.701607811823e+00	3.536011396564e-01	7.999896507971e-06	1.996790541399e-03	3.191893519684e-04	8.228171953061e-02	2.188326426146e+00	2.638239882023e-01	2.537680537685e-02	6.328990683344e+00	1.011218965350e+00	4.766646306348e+01
