"subbasin","deluid","deluname","lutype","acrea_ac","slsur","lsur"
2122,1000,"Road_Freeway-All-All-All",1,0,0.01,100
2122,2000,"Road_Primary-All-All-All",1,25.018861,0.03,100
2122,3000,"Road_Minor-All-All-All",1,63.84917,0.1,100
2122,4000,"Dev_ResHigh-All-All-All",1,21.228559,0.02,100
2122,5000,"Dev_ResLow-All-All-All",1,217.775912,0.1,100
2122,6000,"Dev_Com-All-All-All",1,6.043833,0.02,100
2122,7000,"Dev_Ind-All-All-All",1,0.244385,0.01,100
2122,8000,"Dev_Inst-All-All-All",1,14.387758,0.07,100
2122,9000,"Dev_Roof-All-All-All",1,134.353921,0.09,100
2122,10000,"Dev_Overspray-All-All-All",1,9.58068,0.09,100
2122,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
2122,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
2122,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
2122,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
2122,11211,"Dev_Irrigated-B-Low-Confined",2,0,0.01,400
2122,11212,"Dev_Irrigated-B-Low-Unconfined",2,0,0.01,400
2122,11221,"Dev_Irrigated-B-Med-Confined",2,1.431378,0.28,300
2122,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.01,300
2122,11311,"Dev_Irrigated-C-Low-Confined",2,37.544318,0.06,400
2122,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
2122,11321,"Dev_Irrigated-C-Med-Confined",2,16.654191,0.17,300
2122,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
2122,11411,"Dev_Irrigated-D-Low-Confined",2,83.659009,0.11,400
2122,11412,"Dev_Irrigated-D-Low-Unconfined",2,0,0.01,400
2122,11421,"Dev_Irrigated-D-Med-Confined",2,52.324711,0.22,300
2122,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.01,300
2122,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
2122,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
2122,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
2122,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
2122,12211,"Dev_Pervious-B-Low-Confined",2,0,0.01,400
2122,12212,"Dev_Pervious-B-Low-Unconfined",2,0,0.01,400
2122,12221,"Dev_Pervious-B-Med-Confined",2,3.758282,0.28,300
2122,12222,"Dev_Pervious-B-Med-Unconfined",2,0,0.01,300
2122,12311,"Dev_Pervious-C-Low-Confined",2,98.577828,0.05,400
2122,12312,"Dev_Pervious-C-Low-Unconfined",2,0,0.01,400
2122,12321,"Dev_Pervious-C-Med-Confined",2,43.727896,0.06,300
2122,12322,"Dev_Pervious-C-Med-Unconfined",2,0,0.01,300
2122,12411,"Dev_Pervious-D-Low-Confined",2,219.658364,0.09,400
2122,12412,"Dev_Pervious-D-Low-Unconfined",2,0,0.01,400
2122,12421,"Dev_Pervious-D-Med-Confined",2,137.385806,0.06,300
2122,12422,"Dev_Pervious-D-Med-Unconfined",2,0,0.01,300
2122,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
2122,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
2122,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
2122,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
2122,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
2122,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
2122,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
2122,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
2122,13231,"Agriculture-B-High-Confined",2,0,0.01,400
2122,13232,"Agriculture-B-High-Unconfined",2,0,0.01,400
2122,13311,"Agriculture-C-Low-Confined",2,0,0.01,400
2122,13312,"Agriculture-C-Low-Unconfined",2,0,0.01,400
2122,13321,"Agriculture-C-Med-Confined",2,0,0.01,300
2122,13322,"Agriculture-C-Med-Unconfined",2,0,0.01,300
2122,13331,"Agriculture-C-High-Confined",2,0,0.01,400
2122,13411,"Agriculture-D-Low-Confined",2,0,0.01,400
2122,13412,"Agriculture-D-Low-Unconfined",2,0,0.01,400
2122,13421,"Agriculture-D-Med-Confined",2,0,0.01,300
2122,13422,"Agriculture-D-Med-Unconfined",2,0,0.01,300
2122,13431,"Agriculture-D-High-Confined",2,0,0.01,400
2122,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
2122,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
2122,14122,"Veg_Low-A-Med-Unconfined",2,0,0.01,300
2122,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
2122,14132,"Veg_Low-A-High-Unconfined",2,0,0.01,400
2122,14221,"Veg_Low-B-Med-Confined",2,26.104105,0.14,300
2122,14222,"Veg_Low-B-Med-Unconfined",2,0,0.01,300
2122,14231,"Veg_Low-B-High-Confined",2,0.466544,0.32,400
2122,14232,"Veg_Low-B-High-Unconfined",2,0,0.01,400
2122,14321,"Veg_Low-C-Med-Confined",2,68.521045,0.09,300
2122,14322,"Veg_Low-C-Med-Unconfined",2,0,0.01,300
2122,14331,"Veg_Low-C-High-Confined",2,0.025946,0.39,400
2122,14332,"Veg_Low-C-High-Unconfined",2,0,0.01,400
2122,14421,"Veg_Low-D-Med-Confined",2,121.671313,0.14,300
2122,14422,"Veg_Low-D-Med-Unconfined",2,0,0.01,300
2122,14431,"Veg_Low-D-High-Confined",2,23.374456,0.25,400
2122,14432,"Veg_Low-D-High-Unconfined",2,0,0.01,400
2122,15121,"Veg_High-A-Med-Confined",2,0,0.01,300
2122,15122,"Veg_High-A-Med-Unconfined",2,0,0.01,300
2122,15131,"Veg_High-A-High-Confined",2,0,0.01,400
2122,15132,"Veg_High-A-High-Unconfined",2,0,0.01,400
2122,15221,"Veg_High-B-Med-Confined",2,7.153461,0.13,300
2122,15222,"Veg_High-B-Med-Unconfined",2,0,0.01,300
2122,15231,"Veg_High-B-High-Confined",2,0.110871,0.28,400
2122,15232,"Veg_High-B-High-Unconfined",2,0,0.01,400
2122,15321,"Veg_High-C-Med-Confined",2,58.18521,0.12,300
2122,15322,"Veg_High-C-Med-Unconfined",2,0,0.01,300
2122,15331,"Veg_High-C-High-Confined",2,0.14785,0.14,400
2122,15332,"Veg_High-C-High-Unconfined",2,0,0.01,400
2122,15421,"Veg_High-D-Med-Confined",2,189.95283,0.17,300
2122,15422,"Veg_High-D-Med-Unconfined",2,0,0.01,300
2122,15431,"Veg_High-D-High-Confined",2,12.388638,0.28,400
2122,15432,"Veg_High-D-High-Unconfined",2,0,0.01,400
2122,16000,"Water-All-All-All",1,0.065236,0.07,100
