rchid,type,parmname,value1
2122,0,DRAT_IVOL,3.386109448437e+07
2122,0,DRAT_OVOL,3.375376771932e+07
2122,-1,USLINK,0.000000000000e+00
2122,-1,PCP,1.586334987581e+05
2122,-1,EVAP,1.073126362201e+05
2122,-1,INFILT,0.000000000000e+00
2122,-1,USIF,0.000000000000e+00
2122,-2,LUIF,3.370246098561e+07
2122,-1,USBP,0.000000000000e+00
2122,-2,LUBP,0.000000000000e+00
2122,-5,IRWD,0.000000000000e+00
2122,0,IVOL,3.370246098561e+07
2122,1,RO,3.375376771932e+07
2122,1,BP,0.000000000000e+00
2122,0,DRAT_ISED_1,2.969522754593e+01
2122,0,DRAT_OSED_1,2.042618456595e+01
2122,-1,USSED_1,0.000000000000e+00
2122,-2,LUSED_1,2.410694267041e+01
2122,-1,USSBP_1,0.000000000000e+00
2122,-2,LUSBP_1,0.000000000000e+00
2122,-5,IRWDSED_1,0.000000000000e+00
2122,0,ISED_1,2.410694267041e+01
2122,0,DEPSCR_1,3.680758104458e+00
2122,0,DEPMASS_1,9.269042979973e+00
2122,0,SCRMASS_1,5.588284875515e+00
2122,0,BEDSED_1,1.878962353412e+06
2122,1,ROSED_1,2.042618456595e+01
2122,1,BPSED_1,0.000000000000e+00
2122,0,DRAT_ISED_2,6.616432103053e+01
2122,0,DRAT_OSED_2,6.616436808143e+01
2122,-1,USSED_2,0.000000000000e+00
2122,-2,LUSED_2,5.260318761793e+01
2122,-1,USSBP_2,0.000000000000e+00
2122,-2,LUSBP_2,0.000000000000e+00
2122,-5,IRWDSED_2,0.000000000000e+00
2122,0,ISED_2,5.260318761793e+01
2122,0,DEPSCR_2,-1.356113341260e+01
2122,0,DEPMASS_2,0.000000000000e+00
2122,0,SCRMASS_2,1.356113341260e+01
2122,0,BEDSED_2,1.196514745772e+07
2122,1,ROSED_2,6.616436808143e+01
2122,1,BPSED_2,0.000000000000e+00
2122,0,DRAT_ISED_3,4.162796911670e+01
2122,0,DRAT_OSED_3,4.162798225577e+01
2122,-1,USSED_3,0.000000000000e+00
2122,-2,LUSED_3,2.019771180246e+01
2122,-1,USSBP_3,0.000000000000e+00
2122,-2,LUSBP_3,0.000000000000e+00
2122,-5,IRWDSED_3,0.000000000000e+00
2122,0,ISED_3,2.019771180246e+01
2122,0,DEPSCR_3,-2.143025731423e+01
2122,0,DEPMASS_3,0.000000000000e+00
2122,0,SCRMASS_3,2.143025731423e+01
2122,0,BEDSED_3,2.131521104199e+06
2122,1,ROSED_3,4.162798225577e+01
2122,1,BPSED_3,0.000000000000e+00
2122,0,DRAT_IGQL_TN,3.995805665656e+03
2122,0,DRAT_OGQL_TN,3.987034046002e+03
2122,-1,USQUAL_TN,0.000000000000e+00
2122,-2,LUQUAL_TN,3.995805665656e+03
2122,-1,USQUBP_TN,0.000000000000e+00
2122,-2,LUQUBP_TN,0.000000000000e+00
2122,-5,IRWDQUAL_TN,0.000000000000e+00
2122,-7,INFILTQUAL_TN,0.000000000000e+00
2122,-8,INFILTQUALTARGET_TN,0.000000000000e+00
2122,0,ADTOT_TN,0.000000000000e+00
2122,0,IQUAL_TN,3.995805665656e+03
2122,0,ADQAL_TN,0.000000000000e+00
2122,0,DSQAL_TN,0.000000000000e+00
2122,0,DEPQAL_TN,0.000000000000e+00
2122,0,SCRQAL_TN,0.000000000000e+00
