TT-----------------------------------------------------------------------------------------
TT LSPC -- Loading Simulation Program, C++
TT Version 6.0 (64-bit) - Jan 2020
TT
TT Created through code updates by:
TT Paradigm Environmental, Inc.
TT San Diego, California, USA
TT www.paradigmh2o.com
TT 
TT Based upon LSPC version 5.0 (Mar 2018), originally developed by :
TT United States Environmental Protection Agency
TT with support by Tetra Tech, Inc.
TT https://github.com/USEPA/LSPC-Loading-Simulation-Program 
TT 
TT NOTE: The line starting with the letter c and followed by space or - is a comment line.
TT       There must be no comment line in between the data lines
TT       The input text field must be a continuous string without any space in between the characters
TT-----------------------------------------------------------------------------------------
TT LSPC MODEL OUTPUT FILE
TT This output file was created at 11:23:49pm on 02/15/2026
TT Time interval: 60 min      Output option: day
TT Label   
TT PREC     precipitation (rain + snow) volume (in-acre/day)
TT SURO     surface outflow volume (in-acre/day)
TT IFWO     interflow outflow volume (in-acre/day)
TT AGWO     groundwater outflow volume (in-acre/day)
TT PERO     total outflow rate volume (SURO+IFWO+AGWO) (in-acre/day)
TT DEP      stream depth (ft)
TT AVDEP    stream average depth (ft)
TT TAU      bed shear stress (kg/m^2)
TT RO       total rate of outflow from RCHRES (cfs)
TT SOSED    sediments load from land (english tons/day)
TT SSEDOUT1 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT2 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT3 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT  total suspended solid concentration in outflow from the RCHRES (mg/l)
TT POQUAL1  total flux of QUAL from the PLS_TN (lb/day) 
TT POQUAL2  total flux of QUAL from the PLS_TP (lb/day) 
TT POQUAL3  total flux of QUAL from the PLS_TCd (lb/day) 
TT POQUAL4  total flux of QUAL from the PLS_TCu (lb/day) 
TT POQUAL5  total flux of QUAL from the PLS_TPb (lb/day) 
TT POQUAL6  total flux of QUAL from the PLS_TZn (lb/day) 
TT CONC1    TN dissolved concentration (average) in RCHRES (mg/l)
TT CONC2    TP dissolved concentration (average) in RCHRES (mg/l)
TT CONC3    TCd dissolved concentration (average) in RCHRES (ug/l)
TT CONC4    TCu dissolved concentration (average) in RCHRES (ug/l)
TT CONC5    TPb dissolved concentration (average) in RCHRES (ug/l)
TT CONC6    TZn dissolved concentration (average) in RCHRES (ug/l)
TT
TT WATERSHED_6873 Area:   98.069 (acres)
TT Date/time     Values
TT
6873	2008	10	1	0	0		0.000000000000e+00	2.891672354393e-02	0.000000000000e+00	2.424356874884e-01	2.713524110323e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.233470613689e-03	5.189128981731e-04	8.158866800277e+00	5.726408279450e+01	1.662176399398e+01	8.204471358876e+01	4.269210751286e-02	1.360887653372e-02	6.552586092150e-07	1.638146522993e-04	2.621034436747e-05	3.271167411611e-03	2.312516430312e+00	3.087795592559e-01	5.439256151511e-02	1.359814037841e+01	2.175702460511e+00	6.631637751298e+01
6873	2008	10	2	0	0		0.000000000000e+00	3.256842622155e-02	0.000000000000e+00	2.285340110117e-01	2.611024372333e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.328486495156e-03	5.794236156220e-04	8.814617125552e+00	6.183977085138e+01	1.790413619713e+01	8.855852417406e+01	4.505826566986e-02	1.330993995837e-02	7.380398744832e-07	1.845099686202e-04	2.952159497919e-05	3.179877014699e-03	2.474275727599e+00	3.175277187652e-01	5.876423969003e-02	1.469105992246e+01	2.350569587590e+00	6.762908175354e+01
6873	2008	10	3	0	0		0.000000000000e+00	3.796968917883e-02	0.000000000000e+00	2.170572282751e-01	2.550269174539e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.507196129433e-03	6.699134214112e-04	9.543837898877e+00	6.692810828185e+01	1.933016178082e+01	9.580210796155e+01	4.917351101306e-02	1.327932944184e-02	8.604269662005e-07	2.151067415479e-04	3.441707864746e-05	3.147746967231e-03	2.654147801471e+00	3.272488380386e-01	6.362572189560e-02	1.590643047374e+01	2.545028875783e+00	6.908706513143e+01
6873	2008	10	4	0	0		2.353651560000e+00	6.836132634485e-02	0.000000000000e+00	2.212657392472e-01	2.896270655921e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.801748587715e-03	1.186813316847e-03	1.133086604623e+01	7.939757045503e+01	2.282474853362e+01	1.135531850349e+02	7.700222022657e-02	1.622433031374e-02	1.548991905694e-06	3.872479762603e-04	6.195967618642e-05	3.746284198189e-03	3.094928295759e+00	3.510621173803e-01	7.553926828013e-02	1.888481706207e+01	3.021570729189e+00	7.265767573256e+01
6873	2008	10	5	0	0		0.000000000000e+00	3.494868736653e-02	0.000000000000e+00	2.502399460896e-01	2.851886334562e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.519685596887e-03	6.223044149903e-04	8.740586856887e+00	6.132319321283e+01	1.775934415397e+01	8.782312422369e+01	4.868973265786e-02	1.450929266804e-02	7.919351075687e-07	1.979837768855e-04	3.167740430107e-05	3.468936145532e-03	2.456005106392e+00	3.165341248027e-01	5.827070350884e-02	1.456767587672e+01	2.330828140230e+00	6.747939050159e+01
6873	2008	10	6	0	0		0.000000000000e+00	3.014156332110e-02	0.000000000000e+00	2.435830584058e-01	2.737246217269e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.289751447417e-03	5.398652874285e-04	8.295519497343e+00	5.821761698105e+01	1.688900000036e+01	8.340213647876e+01	4.388063904580e-02	1.377193135141e-02	6.830218241028e-07	1.707554560222e-04	2.732087296322e-05	3.306378473051e-03	2.346225996967e+00	3.106028186704e-01	5.530358144198e-02	1.382589536021e+01	2.212143257607e+00	6.658998838075e+01
6873	2008	10	7	0	0		0.000000000000e+00	2.504713701502e-02	0.000000000000e+00	2.304464926242e-01	2.554936296392e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.020522965128e-03	4.518056287333e-04	7.812155955525e+00	5.484481820098e+01	1.594376493762e+01	7.860073909412e+01	3.837042541842e-02	1.271483295356e-02	5.675934114207e-07	1.418983528542e-04	2.270373645659e-05	3.065189556110e-03	2.227000207032e+00	3.041607165489e-01	5.208115094791e-02	1.302028773689e+01	2.083246037894e+00	6.562394894813e+01
6873	2008	10	8	0	0		0.000000000000e+00	2.368596726898e-02	0.000000000000e+00	2.135329598741e-01	2.372189271431e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.892274602091e-03	4.267612594603e-04	7.888422777181e+00	5.537699377767e+01	1.609291422916e+01	7.935833078401e+01	3.598708228185e-02	1.182491658644e-02	5.367561000645e-07	1.341890250161e-04	2.147024400258e-05	2.848877926596e-03	2.245815107950e+00	3.051791950243e-01	5.258959751216e-02	1.314739937804e+01	2.103583900486e+00	6.577687925365e+01
6873	2008	10	9	0	0		0.000000000000e+00	3.138253538139e-02	0.000000000000e+00	1.970627264132e-01	2.284452617946e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.146439503732e-03	5.557052936047e-04	9.214082478664e+00	6.462715235111e+01	1.868531495829e+01	9.252654978807e+01	4.184392291956e-02	1.177609639270e-02	7.111699508975e-07	1.777924877244e-04	2.844679803590e-05	2.801790107995e-03	2.572811656918e+00	3.228545560033e-01	6.142734773273e-02	1.535683693318e+01	2.457093909309e+00	6.842816945428e+01
6873	2008	10	10	0	0		0.000000000000e+00	3.618611684833e-02	0.000000000000e+00	1.884280891951e-01	2.246142060435e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.311979172885e-03	6.363535204218e-04	9.863481169337e+00	6.915850675246e+01	1.995523947778e+01	9.897722739958e+01	4.561032881579e-02	1.182009360542e-02	8.200055414203e-07	2.050013853523e-04	3.280022165612e-05	2.791022293086e-03	2.732992195610e+00	3.315100145502e-01	6.575668158339e-02	1.643917039563e+01	2.630267263280e+00	6.972616732208e+01
