"subbasin","deluid","deluname","lutype","acrea_ac","slsur","lsur"
6925,1000,"Road_Freeway-All-All-All",1,0,0.01,100
6925,2000,"Road_Primary-All-All-All",1,31.36242,0.01,100
6925,3000,"Road_Minor-All-All-All",1,55.816249,0.01,100
6925,4000,"Dev_ResHigh-All-All-All",1,9.750782,0.01,100
6925,5000,"Dev_ResLow-All-All-All",1,200.354598,0.01,100
6925,6000,"Dev_Com-All-All-All",1,20.969906,0.01,100
6925,7000,"Dev_Ind-All-All-All",1,16.89456,0.01,100
6925,8000,"Dev_Inst-All-All-All",1,55.000575,0.01,100
6925,9000,"Dev_Roof-All-All-All",1,106.254007,0.01,100
6925,10000,"Dev_Overspray-All-All-All",1,5.181227,0.01,100
6925,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
6925,11112,"Dev_Irrigated-A-Low-Unconfined",2,1.720444,0.01,400
6925,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
6925,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
6925,11211,"Dev_Irrigated-B-Low-Confined",2,0,0.01,400
6925,11212,"Dev_Irrigated-B-Low-Unconfined",2,101.904093,0.01,400
6925,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.01,300
6925,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.01,300
6925,11311,"Dev_Irrigated-C-Low-Confined",2,0,0.01,400
6925,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
6925,11321,"Dev_Irrigated-C-Med-Confined",2,0,0.01,300
6925,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
6925,11411,"Dev_Irrigated-D-Low-Confined",2,0,0.01,400
6925,11412,"Dev_Irrigated-D-Low-Unconfined",2,0,0.01,400
6925,11421,"Dev_Irrigated-D-Med-Confined",2,0,0.01,300
6925,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.01,300
6925,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
6925,12112,"Dev_Pervious-A-Low-Unconfined",2,4.434351,0.01,400
6925,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
6925,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
6925,12211,"Dev_Pervious-B-Low-Confined",2,0,0.01,400
6925,12212,"Dev_Pervious-B-Low-Unconfined",2,262.652204,0.01,400
6925,12221,"Dev_Pervious-B-Med-Confined",2,0,0.01,300
6925,12222,"Dev_Pervious-B-Med-Unconfined",2,0,0.01,300
6925,12311,"Dev_Pervious-C-Low-Confined",2,0,0.01,400
6925,12312,"Dev_Pervious-C-Low-Unconfined",2,0,0.01,400
6925,12321,"Dev_Pervious-C-Med-Confined",2,0,0.01,300
6925,12322,"Dev_Pervious-C-Med-Unconfined",2,0,0.01,300
6925,12411,"Dev_Pervious-D-Low-Confined",2,0,0.01,400
6925,12412,"Dev_Pervious-D-Low-Unconfined",2,0,0.01,400
6925,12421,"Dev_Pervious-D-Med-Confined",2,0,0.01,300
6925,12422,"Dev_Pervious-D-Med-Unconfined",2,0,0.01,300
6925,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
6925,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
6925,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
6925,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
6925,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
6925,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
6925,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
6925,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
6925,13231,"Agriculture-B-High-Confined",2,0,0.01,400
6925,13232,"Agriculture-B-High-Unconfined",2,0,0.01,400
6925,13311,"Agriculture-C-Low-Confined",2,0,0.01,400
6925,13312,"Agriculture-C-Low-Unconfined",2,0,0.01,400
6925,13321,"Agriculture-C-Med-Confined",2,0,0.01,300
6925,13322,"Agriculture-C-Med-Unconfined",2,0,0.01,300
6925,13331,"Agriculture-C-High-Confined",2,0,0.01,400
6925,13411,"Agriculture-D-Low-Confined",2,0,0.01,400
6925,13412,"Agriculture-D-Low-Unconfined",2,0,0.01,400
6925,13421,"Agriculture-D-Med-Confined",2,0,0.01,300
6925,13422,"Agriculture-D-Med-Unconfined",2,0,0.01,300
6925,13431,"Agriculture-D-High-Confined",2,0,0.01,400
6925,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
6925,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
6925,14122,"Veg_Low-A-Med-Unconfined",2,1.456269,0.01,300
6925,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
6925,14132,"Veg_Low-A-High-Unconfined",2,0,0.01,400
6925,14221,"Veg_Low-B-Med-Confined",2,0,0.01,300
6925,14222,"Veg_Low-B-Med-Unconfined",2,91.255365,0.01,300
6925,14231,"Veg_Low-B-High-Confined",2,0,0.01,400
6925,14232,"Veg_Low-B-High-Unconfined",2,0,0.01,400
6925,14321,"Veg_Low-C-Med-Confined",2,0,0.01,300
6925,14322,"Veg_Low-C-Med-Unconfined",2,0,0.01,300
6925,14331,"Veg_Low-C-High-Confined",2,0,0.01,400
6925,14332,"Veg_Low-C-High-Unconfined",2,0,0.01,400
6925,14421,"Veg_Low-D-Med-Confined",2,0,0.01,300
6925,14422,"Veg_Low-D-Med-Unconfined",2,0,0.01,300
6925,14431,"Veg_Low-D-High-Confined",2,0,0.01,400
6925,14432,"Veg_Low-D-High-Unconfined",2,0,0.01,400
6925,15121,"Veg_High-A-Med-Confined",2,0,0.01,300
6925,15122,"Veg_High-A-Med-Unconfined",2,1.33797,0.01,300
6925,15131,"Veg_High-A-High-Confined",2,0,0.01,400
6925,15132,"Veg_High-A-High-Unconfined",2,0,0.01,400
6925,15221,"Veg_High-B-Med-Confined",2,0,0.01,300
6925,15222,"Veg_High-B-Med-Unconfined",2,123.759962,0.01,300
6925,15231,"Veg_High-B-High-Confined",2,0,0.01,400
6925,15232,"Veg_High-B-High-Unconfined",2,0,0.01,400
6925,15321,"Veg_High-C-Med-Confined",2,0,0.01,300
6925,15322,"Veg_High-C-Med-Unconfined",2,0,0.01,300
6925,15331,"Veg_High-C-High-Confined",2,0,0.01,400
6925,15332,"Veg_High-C-High-Unconfined",2,0,0.01,400
6925,15421,"Veg_High-D-Med-Confined",2,0,0.01,300
6925,15422,"Veg_High-D-Med-Unconfined",2,0,0.01,300
6925,15431,"Veg_High-D-High-Confined",2,0,0.01,400
6925,15432,"Veg_High-D-High-Unconfined",2,0,0.01,400
6925,16000,"Water-All-All-All",1,0,0.01,100
6926,1000,"Road_Freeway-All-All-All",1,0,0.01,100
