rchid,type,parmname,value1
6926,0,DRAT_IVOL,4.185231585949e+06
6926,0,DRAT_OVOL,4.185231585949e+06
6926,-1,USLINK,0.000000000000e+00
6926,-1,PCP,0.000000000000e+00
6926,-1,EVAP,0.000000000000e+00
6926,-1,INFILT,0.000000000000e+00
6926,-1,USIF,0.000000000000e+00
6926,-2,LUIF,4.185231585949e+06
6926,-1,USBP,0.000000000000e+00
6926,-2,LUBP,0.000000000000e+00
6926,-5,IRWD,0.000000000000e+00
6926,0,IVOL,4.185231585949e+06
6926,1,RO,4.185231585949e+06
6926,1,BP,0.000000000000e+00
6926,0,DRAT_ISED_1,1.628693556259e+00
6926,0,DRAT_OSED_1,1.628693556259e+00
6926,-1,USSED_1,0.000000000000e+00
6926,-2,LUSED_1,1.628693556259e+00
6926,-1,USSBP_1,0.000000000000e+00
6926,-2,LUSBP_1,0.000000000000e+00
6926,-5,IRWDSED_1,0.000000000000e+00
6926,0,ISED_1,1.628693556259e+00
6926,0,DEPSCR_1,0.000000000000e+00
6926,0,DEPMASS_1,0.000000000000e+00
6926,0,SCRMASS_1,0.000000000000e+00
6926,0,BEDSED_1,0.000000000000e+00
6926,1,ROSED_1,1.628693556259e+00
6926,1,BPSED_1,0.000000000000e+00
6926,0,DRAT_ISED_2,9.804949270481e+00
6926,0,DRAT_OSED_2,9.804949270481e+00
6926,-1,USSED_2,0.000000000000e+00
6926,-2,LUSED_2,9.804949270481e+00
6926,-1,USSBP_2,0.000000000000e+00
6926,-2,LUSBP_2,0.000000000000e+00
6926,-5,IRWDSED_2,0.000000000000e+00
6926,0,ISED_2,9.804949270481e+00
6926,0,DEPSCR_2,0.000000000000e+00
6926,0,DEPMASS_2,0.000000000000e+00
6926,0,SCRMASS_2,0.000000000000e+00
6926,0,BEDSED_2,0.000000000000e+00
6926,1,ROSED_2,9.804949270481e+00
6926,1,BPSED_2,0.000000000000e+00
6926,0,DRAT_ISED_3,2.805574257118e+00
6926,0,DRAT_OSED_3,2.805574257118e+00
6926,-1,USSED_3,0.000000000000e+00
6926,-2,LUSED_3,2.805574257118e+00
6926,-1,USSBP_3,0.000000000000e+00
6926,-2,LUSBP_3,0.000000000000e+00
6926,-5,IRWDSED_3,0.000000000000e+00
6926,0,ISED_3,2.805574257118e+00
6926,0,DEPSCR_3,0.000000000000e+00
6926,0,DEPMASS_3,0.000000000000e+00
