TT-----------------------------------------------------------------------------------------
TT LSPC -- Loading Simulation Program, C++
TT Version 6.0 (64-bit) - Jan 2020
TT
TT Created through code updates by:
TT Paradigm Environmental, Inc.
TT San Diego, California, USA
TT www.paradigmh2o.com
TT 
TT Based upon LSPC version 5.0 (Mar 2018), originally developed by :
TT United States Environmental Protection Agency
TT with support by Tetra Tech, Inc.
TT https://github.com/USEPA/LSPC-Loading-Simulation-Program 
TT 
TT NOTE: The line starting with the letter c and followed by space or - is a comment line.
TT       There must be no comment line in between the data lines
TT       The input text field must be a continuous string without any space in between the characters
TT-----------------------------------------------------------------------------------------
TT LSPC MODEL OUTPUT FILE
TT This output file was created at 08:33:26am on 02/16/2026
TT Time interval: 60 min      Output option: day
TT Label   
TT PREC     precipitation (rain + snow) volume (in-acre/day)
TT SURO     surface outflow volume (in-acre/day)
TT IFWO     interflow outflow volume (in-acre/day)
TT AGWO     groundwater outflow volume (in-acre/day)
TT PERO     total outflow rate volume (SURO+IFWO+AGWO) (in-acre/day)
TT DEP      stream depth (ft)
TT AVDEP    stream average depth (ft)
TT TAU      bed shear stress (kg/m^2)
TT RO       total rate of outflow from RCHRES (cfs)
TT SOSED    sediments load from land (english tons/day)
TT SSEDOUT1 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT2 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT3 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT  total suspended solid concentration in outflow from the RCHRES (mg/l)
TT POQUAL1  total flux of QUAL from the PLS_TN (lb/day) 
TT POQUAL2  total flux of QUAL from the PLS_TP (lb/day) 
TT POQUAL3  total flux of QUAL from the PLS_TCd (lb/day) 
TT POQUAL4  total flux of QUAL from the PLS_TCu (lb/day) 
TT POQUAL5  total flux of QUAL from the PLS_TPb (lb/day) 
TT POQUAL6  total flux of QUAL from the PLS_TZn (lb/day) 
TT CONC1    TN dissolved concentration (average) in RCHRES (mg/l)
TT CONC2    TP dissolved concentration (average) in RCHRES (mg/l)
TT CONC3    TCd dissolved concentration (average) in RCHRES (ug/l)
TT CONC4    TCu dissolved concentration (average) in RCHRES (ug/l)
TT CONC5    TPb dissolved concentration (average) in RCHRES (ug/l)
TT CONC6    TZn dissolved concentration (average) in RCHRES (ug/l)
TT
TT WATERSHED_1061 Area: 1379.664 (acres)
TT Date/time     Values
TT
1061	2008	10	1	0	0		0.000000000000e+00	4.579975886210e-01	5.452908339918e-03	7.291418658584e+00	7.754869155545e+00	4.177196008179e-02	5.468557959184e-02	5.364733795975e+02	1.510805738289e+00	8.474917597384e-03	0.000000000000e+00	6.285120730097e+01	1.819086963958e+01	8.104207694055e+01	1.655424798860e+00	3.717511072212e-01	1.019765441575e-05	2.549387057813e-03	4.078994516118e-04	9.077482075223e-02	3.216315447670e+00	3.944827645713e-01	5.934165708897e-02	1.483101959396e+01	2.372552965061e+00	8.334211571212e+01
1061	2008	10	2	0	0		0.000000000000e+00	4.795103617422e-01	3.938406983998e-03	7.082057105841e+00	7.565505874567e+00	3.830320214887e-02	5.468557959184e-02	3.395181048268e-01	1.387229912332e+00	8.820628624401e-03	0.000000000000e+00	5.855899085468e+01	1.698003112208e+01	7.553902197677e+01	1.638535221638e+00	3.640962328561e-01	1.069044647363e-05	2.672588102558e-03	4.276119015968e-04	8.879684783593e-02	3.045243370317e+00	3.876078804168e-01	5.524696307835e-02	1.380863847627e+01	2.209092608826e+00	8.263978289692e+01
1061	2008	10	3	0	0		0.000000000000e+00	5.112430583055e-01	3.874015360787e-03	6.948894253699e+00	7.464011327365e+00	3.807107686629e-02	5.468557959184e-02	3.378621308062e-01	1.380463802770e+00	9.312966832766e-03	0.000000000000e+00	5.615220952260e+01	1.628962807649e+01	7.244183759909e+01	1.644245060586e+00	3.607613869905e-01	1.136705272227e-05	2.841734128576e-03	4.546747490530e-04	8.782930458543e-02	2.930394317960e+00	3.766412900791e-01	5.316331567491e-02	1.328833587382e+01	2.125901055620e+00	8.077123835832e+01
1061	2008	10	4	0	0		1.076137834200e+02	3.065393215429e+01	4.357477156116e-02	7.230528560905e+00	3.792803548675e+01	9.810570897252e-02	1.056670246766e-01	8.722412516473e-01	7.155743960458e+00	3.923939428325e-01	9.842423785076e-01	9.489343620195e+01	3.971338744577e+01	1.355910660262e+02	8.584024445983e+01	1.999770499576e+00	3.207158457170e-03	3.244979638669e-01	2.939441741211e-01	1.866566592779e+00	6.615028369292e+00	3.187016041653e-01	2.048454024639e-01	2.555786439989e+01	1.655475452957e+01	1.498188497096e+02
1061	2008	10	5	0	0		0.000000000000e+00	4.937959938339e-01	4.894389355401e-02	7.730736277783e+00	8.273476165171e+00	7.658415687460e-02	7.488782513794e-02	6.590447874756e-01	3.636460697367e+00	9.114248044800e-03	0.000000000000e+00	7.827951562164e+01	3.615548834663e+01	1.144350039683e+02	1.782005737802e+00	3.987224173504e-01	1.097717431429e-05	2.744263175249e-03	4.390792703963e-04	9.637620075899e-02	6.437188702230e+00	2.549590389498e-01	2.076107802420e-01	2.420419635443e+01	1.762189097305e+01	1.376049205340e+02
1061	2008	10	6	0	0		0.000000000000e+00	4.516261785211e-01	1.886745833592e-02	7.555173716125e+00	8.025667352982e+00	4.366122503938e-02	5.468557959184e-02	3.850077861454e-01	1.573095248320e+00	8.402904646135e-03	0.000000000000e+00	5.513165947161e+01	1.796177184871e+01	7.309343132031e+01	1.700698278706e+00	3.843696120036e-01	1.005975515772e-05	2.514913935993e-03	4.023839101049e-04	9.365302567364e-02	3.585414198468e+00	3.450143677694e-01	8.242944058753e-02	1.495790520292e+01	5.164670524518e+00	8.826302814632e+01
1061	2008	10	7	0	0		0.000000000000e+00	4.260943371659e-01	8.784453587080e-03	7.316565283453e+00	7.751444074206e+00	3.622068759297e-02	5.468557959184e-02	3.205610238135e-01	1.309773572130e+00	7.936105882981e-03	0.000000000000e+00	5.696229316524e+01	1.678737157000e+01	7.374966473524e+01	1.632397852550e+00	3.703019335981e-01	9.474936070447e-06	2.368707358472e-03	3.789906891693e-04	9.048157430556e-02	3.133009320694e+00	3.897598924545e-01	5.816323648261e-02	1.375837665368e+01	2.578283752594e+00	8.459288980565e+01
1061	2008	10	8	0	0		0.000000000000e+00	4.140485829233e-01	3.964198300292e-03	7.030455782897e+00	7.448468564121e+00	3.336524669333e-02	5.468557959184e-02	2.956042199255e-01	1.207803089916e+00	7.731122149493e-03	0.000000000000e+00	5.830950844417e+01	1.695908042873e+01	7.526858887290e+01	1.570883138164e+00	3.559803387126e-01	9.245537882842e-06	2.311365708812e-03	3.698167622995e-04	8.705624556377e-02	3.104311908390e+00	4.030160011434e-01	5.571094809658e-02	1.383731125433e+01	2.255075064153e+00	8.655800322376e+01
1061	2008	10	9	0	0		0.000000000000e+00	4.798480639978e-01	3.338957828503e-03	6.773374797892e+00	7.256561819718e+00	3.317969167844e-02	5.468557959184e-02	2.946647639673e-01	1.203964586496e+00	8.794189189897e-03	0.000000000000e+00	5.786216739945e+01	1.679911626349e+01	7.466128366294e+01	1.586348287130e+00	3.500974538346e-01	1.070193270844e-05	2.675456817584e-03	4.280706305911e-04	8.530845570882e-02	3.043431041871e+00	3.953214041754e-01	5.491776810480e-02	1.371765639234e+01	2.198670262618e+00	8.510145732239e+01
1061	2008	10	10	0	0		0.000000000000e+00	4.813178758013e-01	4.100705832401e-03	6.669357741130e+00	7.154776322764e+00	3.530612815895e-02	5.468557959184e-02	3.132771807477e-01	1.280012670329e+00	8.782495262956e-03	0.000000000000e+00	5.794522158631e+01	1.680013631646e+01	7.474535790277e+01	1.570036866396e+00	3.454521791816e-01	1.070196062768e-05	2.675459609508e-03	4.280706864296e-04	8.412989211397e-02	3.010294335920e+00	3.825114745045e-01	5.500326937118e-02	1.374702370829e+01	2.199623958663e+00	8.205432762199e+01
1061	2008	10	11	0	0		0.000000000000e+00	3.321307041694e-01	2.891212316173e-03	6.460712231834e+00	6.795734148320e+00	3.016315935968e-02	5.468557959184e-02	2.659694188708e-01	1.086718877072e+00	6.307559845774e-03	0.000000000000e+00	6.276124356445e+01	1.820798863150e+01	8.096923219595e+01	1.399275653479e+00	3.228134084298e-01	7.433635995815e-06	1.858401056003e-03	2.973434276185e-04	7.915114954263e-02	3.257916894799e+00	4.231798111770e-01	5.927898017596e-02	1.481719722682e+01	2.370566727685e+00	9.105691914386e+01
1061	2008	10	12	0	0		0.000000000000e+00	3.469117582726e-01	1.162302255665e-03	6.039423317402e+00	6.387497377930e+00	2.380855621884e-02	5.468557959184e-02	2.106311621045e-01	8.606134529694e-01	6.569235163707e-03	0.000000000000e+00	6.339990052050e+01	1.844433860274e+01	8.184423912324e+01	1.340861244242e+00	3.052140036141e-01	7.846407761585e-06	1.961601528199e-03	3.138562060402e-04	7.470788226115e-02	3.313258498656e+00	4.569678460285e-01	5.966357215825e-02	1.491478330685e+01	2.386270072064e+00	9.985263682666e+01
1061	2008	10	13	0	0		0.000000000000e+00	3.175907349897e-01	5.232914089063e-05	5.659512188068e+00	5.977155252198e+00	2.173300960338e-02	5.468557959184e-02	1.924828252792e-01	7.864615437037e-01	6.018637650958e-03	0.000000000000e+00	6.515529727824e+01	1.895807670473e+01	8.411337398297e+01	1.249262265815e+00	2.851885128609e-01	7.169843719626e-06	1.792459722850e-03	2.867934429974e-04	6.986198022066e-02	3.351016167940e+00	4.708259955882e-01	6.168736409097e-02	1.542152126587e+01	2.467414973581e+00	1.039792147707e+02
1061	2008	10	14	0	0		0.000000000000e+00	3.794241888243e-01	2.130557191548e-05	5.303837769300e+00	5.683283263696e+00	2.172817929150e-02	5.468557959184e-02	1.930727704248e-01	7.888719882163e-01	7.027588824991e-03	0.000000000000e+00	6.674271206330e+01	1.938975687685e+01	8.613246894015e+01	1.245168866683e+00	2.746616046387e-01	8.568853800259e-06	2.142211899400e-03	3.427537591754e-04	6.695115606348e-02	3.350236296927e+00	4.617329291797e-01	6.340265303131e-02	1.585044972447e+01	2.536052305566e+00	1.020750682070e+02
1061	2008	10	15	0	0		0.000000000000e+00	4.408204636842e-01	7.229489707290e-05	5.152701563516e+00	5.593594322098e+00	2.495693530286e-02	5.468557959184e-02	2.219788348653e-01	9.069786713933e-01	7.965143396125e-03	0.000000000000e+00	6.735208102802e+01	1.950945635817e+01	8.686153738619e+01	1.274301623709e+00	2.729078431808e-01	9.841841250991e-06	2.460440805966e-03	3.936687083216e-04	6.625706088179e-02	3.321215438414e+00	4.302500696400e-01	6.420904495463e-02	1.605112878158e+01	2.568074963809e+00	9.406783338936e+01
1061	2008	10	16	0	0		0.000000000000e+00	4.641313536411e-01	1.049049378539e-04	5.093905420912e+00	5.558141679491e+00	2.764125840080e-02	5.468557959184e-02	2.455700640897e-01	1.003369580695e+00	8.328310826626e-03	0.000000000000e+00	6.835857602742e+01	1.976639086353e+01	8.812496689095e+01	1.285198981674e+00	2.722183833511e-01	1.033496675660e-05	2.583717292961e-03	4.133924898961e-04	6.598535856431e-02	3.367873169016e+00	4.151163572542e-01	6.506227217484e-02	1.626324441261e+01	2.601902245536e+00	8.947370603325e+01
1061	2008	10	17	0	0		0.000000000000e+00	4.769300600142e-01	1.315646930632e-04	5.092531743082e+00	5.569593367789e+00	2.943884225490e-02	5.468557959184e-02	2.613798871512e-01	1.067966605560e+00	8.525977234345e-03	0.000000000000e+00	6.833990929533e+01	1.974622542004e+01	8.808613471537e+01	1.296385391823e+00	2.732135481347e-01	1.059875792296e-05	2.649658515132e-03	4.239424722976e-04	6.618082329360e-02	3.372912160131e+00	4.063372522388e-01	6.497866794066e-02	1.624169673818e+01	2.598394257760e+00	8.671128119265e+01
1061	2008	10	18	0	0		0.000000000000e+00	5.070318719537e-01	1.493401046429e-04	5.124571180073e+00	5.631752392132e+00	3.095559703443e-02	5.468557959184e-02	2.748989105103e-01	1.123203699908e+00	9.019840071586e-03	0.000000000000e+00	6.736279062039e+01	1.945763833972e+01	8.682042896011e+01	1.328756540885e+00	2.772818227787e-01	1.125241810786e-05	2.813069751686e-03	4.500879145769e-04	6.706677792891e-02	3.330306013767e+00	3.969290967349e-01	6.401104711937e-02	1.599947395164e+01	2.559608968936e+00	8.421621070070e+01
1061	2008	10	19	0	0		0.000000000000e+00	5.158355372013e-01	1.638090777129e-04	5.206272903206e+00	5.722272249485e+00	3.224158560599e-02	5.468557959184e-02	2.861590555154e-01	1.169211290509e+00	9.175305555907e-03	0.000000000000e+00	6.669232654859e+01	1.926003175657e+01	8.595235830515e+01	1.350554422781e+00	2.817658503826e-01	1.144735633603e-05	2.861805130767e-03	4.578856519536e-04	6.814846480391e-02	3.292885502670e+00	3.906010039303e-01	6.333362362460e-02	1.583015240761e+01	2.532520725506e+00	8.262435337874e+01
1061	2008	10	20	0	0		0.000000000000e+00	5.208431036702e-01	1.742851616301e-04	5.306660826543e+00	5.827678215375e+00	3.312097583581e-02	5.468557959184e-02	2.939286938861e-01	1.200957093170e+00	9.264088519239e-03	0.000000000000e+00	6.609691962023e+01	1.908734259451e+01	8.518426221474e+01	1.372093865231e+00	2.867294808690e-01	1.155057752284e-05	2.887608073352e-03	4.620139030497e-04	6.936850365506e-02	3.261950578055e+00	3.866719947040e-01	6.276109666011e-02	1.568713148729e+01	2.509647721414e+00	8.173587970807e+01
1061	2008	10	21	0	0		0.000000000000e+00	4.975557153608e-01	1.739070551457e-04	5.389155492237e+00	5.886885114653e+00	3.325334537953e-02	5.468557959184e-02	2.948794584722e-01	1.204841802276e+00	8.895011820446e-03	0.000000000000e+00	6.625153774745e+01	1.913436231284e+01	8.538590006029e+01	1.365309820128e+00	2.884500791851e-01	1.104599637332e-05	2.761465930422e-03	4.418314536627e-04	6.989956084276e-02	3.277830496080e+00	3.890777312555e-01	6.287831527128e-02	1.571640907288e+01	2.514329608808e+00	8.227428749155e+01
1061	2008	10	22	0	0		0.000000000000e+00	4.318742265495e-01	1.470485977094e-04	5.379969289173e+00	5.811990564320e+00	3.149239129096e-02	5.468557959184e-02	2.788564200412e-01	1.139373605199e+00	7.836093273019e-03	0.000000000000e+00	6.780611429946e+01	1.959277888627e+01	8.739889318573e+01	1.304862201727e+00	2.823893613141e-01	9.635422806973e-06	2.408837313755e-03	3.854122539885e-04	6.866702396774e-02	3.373331265264e+00	4.044547580597e-01	6.429584890578e-02	1.607078096745e+01	2.571028037289e+00	8.569540457955e+01
1061	2008	10	23	0	0		0.000000000000e+00	4.172483985895e-01	1.039860520824e-04	5.244490092852e+00	5.661842477494e+00	2.888934351185e-02	5.468557959184e-02	2.559341022038e-01	1.045715786921e+00	7.597116291831e-03	0.000000000000e+00	6.871069155826e+01	1.987051396194e+01	8.858120552019e+01	1.268794875539e+00	2.750525573142e-01	9.337224623950e-06	2.334295115283e-03	3.734861879795e-04	6.689339829483e-02	3.431872601486e+00	4.199475459235e-01	6.505835206897e-02	1.626182757511e+01	2.601634770753e+00	8.935160923775e+01
1061	2008	10	24	0	0		0.000000000000e+00	4.942613428600e-01	1.226803288992e-04	5.191409453876e+00	5.685793477065e+00	2.965590156925e-02	5.468557959184e-02	2.634901811800e-01	1.076589011727e+00	8.820995569881e-03	0.000000000000e+00	6.626095241169e+01	1.916208796904e+01	8.542304038073e+01	1.328749719062e+00	2.792078312738e-01	1.097718356532e-05	2.744264100352e-03	4.390792888983e-04	6.760391479365e-02	3.309933699229e+00	4.053394667675e-01	6.296646717021e-02	1.573902701080e+01	2.518002608765e+00	8.640599143931e+01
1061	2008	10	25	0	0		0.000000000000e+00	5.011184811999e-01	1.506465039389e-04	5.241483513372e+00	5.742752641076e+00	3.174887774312e-02	5.468557959184e-02	2.818974023677e-01	1.151798691185e+00	8.929884237605e-03	0.000000000000e+00	6.567698197792e+01	1.898068531719e+01	8.465766729512e+01	1.343409961651e+00	2.820303004281e-01	1.111482296656e-05	2.778669139015e-03	4.445836459975e-04	6.828139675424e-02	3.274762610024e+00	3.937569438550e-01	6.242108783036e-02	1.560212781542e+01	2.496046997199e+00	8.365968276823e+01
1061	2008	10	26	0	0		0.000000000000e+00	5.110219575995e-01	1.671560474759e-04	5.311750824110e+00	5.822939937757e+00	3.313680292064e-02	5.468557959184e-02	2.941329656086e-01	1.201791722722e+00	9.101257038317e-03	0.000000000000e+00	6.507233986922e+01	1.880103733714e+01	8.387337720636e+01	1.364123330019e+00	2.860880162443e-01	1.133270468089e-05	2.833139049803e-03	4.532987833960e-04	6.925187806742e-02	3.250688437058e+00	3.871991686562e-01	6.180801230804e-02	1.544852908727e+01	2.471440414921e+00	8.193316366535e+01
1061	2008	10	27	0	0		0.000000000000e+00	5.010441705119e-01	1.685171053564e-04	5.379076206844e+00	5.880288894461e+00	3.357758474085e-02	5.468557959184e-02	2.978232938622e-01	1.216869957629e+00	8.945475067726e-03	0.000000000000e+00	6.503543346394e+01	1.879080960397e+01	8.382624306791e+01	1.366701397906e+00	2.882679911950e-01	1.111481617266e-05	2.778668459626e-03	4.445836324097e-04	6.984041026172e-02	3.254113080698e+00	3.875193222611e-01	6.172303513028e-02	1.542727721215e+01	2.468039407371e+00	8.177359634935e+01
1061	2008	10	28	0	0		0.000000000000e+00	4.853902354227e-01	1.618576665811e-04	5.410866817048e+00	5.896418910137e+00	3.308870366780e-02	5.468557959184e-02	2.933955037986e-01	1.198778542961e+00	8.699657044744e-03	0.000000000000e+00	6.519969939289e+01	1.884334880314e+01	8.404304819603e+01	1.358155822452e+00	2.883780071914e-01	1.078223313886e-05	2.695527501441e-03	4.312815271250e-04	6.993455553802e-02	3.271067402116e+00	3.918919588633e-01	6.184702425697e-02	1.545841576402e+01	2.473034760888e+00	8.265629173014e+01
1061	2008	10	29	0	0		0.000000000000e+00	4.988585435549e-01	1.608884935279e-04	5.438557860772e+00	5.937577292820e+00	3.318302747378e-02	5.468557959184e-02	2.944475832967e-01	1.203077212544e+00	8.917810910299e-03	0.000000000000e+00	6.457689424304e+01	1.866679693295e+01	8.324369117598e+01	1.374834331631e+00	2.907796906087e-01	1.106894120596e-05	2.767200596776e-03	4.427488563774e-04	7.047767817890e-02	3.250352470076e+00	3.904293273198e-01	6.129146527471e-02	1.531952771896e+01	2.450812832392e+00	8.237270830003e+01
1061	2008	10	30	0	0		0.000000000000e+00	5.234099593483e-01	1.624011536436e-04	5.466184450874e+00	5.989756811376e+00	3.401409753363e-02	5.468557959184e-02	3.019838831461e-01	1.233869622229e+00	9.316565557491e-03	0.000000000000e+00	6.367822256416e+01	1.840657091787e+01	8.208479348204e+01	1.401761447017e+00	2.941419258898e-01	1.159645420097e-05	2.899076107346e-03	4.638486825049e-04	7.121271508999e-02	3.206143401720e+00	3.845019370185e-01	6.042771653828e-02	1.510353746243e+01	2.416249437923e+00	8.107184097842e+01
1061	2008	10	31	0	0		0.000000000000e+00	5.343105688630e-01	1.785682131341e-04	5.577529778918e+00	6.112018915994e+00	3.579067799668e-02	5.468557959184e-02	3.177827675754e-01	1.298421953166e+00	9.509793231057e-03	0.000000000000e+00	6.277731455883e+01	1.814149891496e+01	8.091881347379e+01	1.430112078452e+00	3.001531151119e-01	1.183726850234e-05	2.959279459927e-03	4.734811981269e-04	7.266698438553e-02	3.159897775028e+00	3.763343000399e-01	5.961531500362e-02	1.490036103336e+01	2.383734111701e+00	7.921009000262e+01
1061	2008	11	1	0	0		1.628003390200e+02	5.598629755933e+01	7.457051059435e-02	5.917061874870e+00	6.197792994479e+01	2.145824593560e-01	2.122635886307e-01	1.832214327802e+00	3.053636511199e+01	8.238992677885e-01	5.251898577387e+00	2.131641145071e+02	8.758453444842e+01	3.060005475329e+02	1.429268910798e+02	3.585741927905e+00	6.634721719786e-03	6.671662596955e-01	5.936374152429e-01	3.933375442642e+00	7.031815593188e+00	3.555586740993e-01	3.573051622297e-01	4.002717105501e+01	2.440304177936e+01	2.236591276323e+02
1061	2008	11	2	0	0		0.000000000000e+00	3.103253618720e-01	9.406104451173e-02	6.426919797449e+00	6.831306203833e+00	1.810655983285e-01	1.721995932947e-01	1.538806507246e+00	1.457778729217e+01	5.939731404449e-03	1.348940906094e+00	1.260708956288e+02	6.366782570709e+01	1.910876622420e+02	1.415516281817e+00	3.275495471765e-01	6.934525378314e-06	1.733624166193e-03	2.773791966083e-04	7.836897028953e-02	8.025628851430e+00	2.270392264208e-01	3.806283624162e-01	3.873906806223e+01	3.076698862066e+01	2.178176111883e+02
1061	2008	11	3	0	0		0.000000000000e+00	3.208730263694e-01	3.043181273763e-02	6.188751090256e+00	6.540055929363e+00	9.593261047912e-02	9.948636954148e-02	8.881674794355e-01	7.396105741450e+00	6.074194501915e-03	4.643104011180e-01	2.983787339065e+01	1.299648757582e+01	4.329867136759e+01	1.355723646197e+00	3.118869056538e-01	7.159411774418e-06	1.789844189616e-03	2.863742532997e-04	7.585026581833e-02	6.443237210928e+00	1.848017156413e-01	2.058749120744e-01	2.209926294665e+01	1.951075886587e+01	1.330486702972e+02
