TT-----------------------------------------------------------------------------------------
TT LSPC -- Loading Simulation Program, C++
TT Version 6.0 (64-bit) - Jan 2020
TT
TT Created through code updates by:
TT Paradigm Environmental, Inc.
TT San Diego, California, USA
TT www.paradigmh2o.com
TT 
TT Based upon LSPC version 5.0 (Mar 2018), originally developed by :
TT United States Environmental Protection Agency
TT with support by Tetra Tech, Inc.
TT https://github.com/USEPA/LSPC-Loading-Simulation-Program 
TT 
TT NOTE: The line starting with the letter c and followed by space or - is a comment line.
TT       There must be no comment line in between the data lines
TT       The input text field must be a continuous string without any space in between the characters
TT-----------------------------------------------------------------------------------------
TT LSPC MODEL OUTPUT FILE
TT This output file was created at 06:16:55pm on 02/10/2026
TT Time interval: 60 min      Output option: day
TT Label   
TT PREC     precipitation (rain + snow) volume (in-acre/day)
TT SURO     surface outflow volume (in-acre/day)
TT IFWO     interflow outflow volume (in-acre/day)
TT AGWO     groundwater outflow volume (in-acre/day)
TT PERO     total outflow rate volume (SURO+IFWO+AGWO) (in-acre/day)
TT DEP      stream depth (ft)
TT AVDEP    stream average depth (ft)
TT TAU      bed shear stress (kg/m^2)
TT RO       total rate of outflow from RCHRES (cfs)
TT SOSED    sediments load from land (english tons/day)
TT SSEDOUT1 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT2 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT3 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT  total suspended solid concentration in outflow from the RCHRES (mg/l)
TT POQUAL1  total flux of QUAL from the PLS_TN (lb/day) 
TT POQUAL2  total flux of QUAL from the PLS_TP (lb/day) 
TT POQUAL3  total flux of QUAL from the PLS_TCd (lb/day) 
TT POQUAL4  total flux of QUAL from the PLS_TCu (lb/day) 
TT POQUAL5  total flux of QUAL from the PLS_TPb (lb/day) 
TT POQUAL6  total flux of QUAL from the PLS_TZn (lb/day) 
TT CONC1    TN dissolved concentration (average) in RCHRES (mg/l)
TT CONC2    TP dissolved concentration (average) in RCHRES (mg/l)
TT CONC3    TCd dissolved concentration (average) in RCHRES (ug/l)
TT CONC4    TCu dissolved concentration (average) in RCHRES (ug/l)
TT CONC5    TPb dissolved concentration (average) in RCHRES (ug/l)
TT CONC6    TZn dissolved concentration (average) in RCHRES (ug/l)
TT
TT WATERSHED_5120 Area: 1041.946 (acres)
TT Date/time     Values
TT
5120	2008	10	1	0	0		0.000000000000e+00	2.514575823423e-01	0.000000000000e+00	1.784835708009e+00	2.036293290351e+00	1.121408581185e-02	1.855995428571e-02	1.155467159001e+01	1.151838462534e-02	4.473500626352e-03	0.000000000000e+00	1.286176270292e+02	3.697919933577e+01	1.655968263650e+02	5.311521528250e-01	1.036737085925e-01	5.695029863270e-06	1.423757460279e-03	2.278011931278e-04	2.477942120574e-02	5.775661004558e+00	6.731849757038e-01	1.300486948665e-01	3.251217356949e+01	5.201947757386e+00	1.422865057570e+02
5120	2008	10	2	0	0		0.000000000000e+00	2.799148339235e-01	0.000000000000e+00	1.708753327522e+00	1.988668161445e+00	9.952305470629e-03	1.855995428571e-02	6.401847106348e-03	1.031791490359e-02	4.950092800793e-03	0.000000000000e+00	1.177330503196e+02	3.389269859324e+01	1.516257489129e+02	5.440992294004e-01	1.028132540000e-01	6.341981090517e-06	1.585495270577e-03	2.536792431008e-04	2.443491729311e-02	5.284133764774e+00	6.267488500700e-01	1.173530236030e-01	2.933825582680e+01	4.694120925387e+00	1.332166082011e+02
5120	2008	10	3	0	0		0.000000000000e+00	3.061592957561e-01	0.000000000000e+00	1.660216408982e+00	1.966375704738e+00	1.082924337531e-02	1.855995428571e-02	6.968747255763e-03	1.123159300357e-02	5.389573781095e-03	0.000000000000e+00	1.113125847144e+02	3.202981590726e+01	1.433424006217e+02	5.595822124184e-01	1.029866619139e-01	6.935289241366e-06	1.733822305855e-03	2.774115685179e-04	2.435960765472e-02	4.933586104669e+00	5.792004308838e-01	1.104633800632e-01	2.761584494377e+01	4.418535184281e+00	1.227074321021e+02
5120	2008	10	4	0	0		0.000000000000e+00	4.245457339474e-01	0.000000000000e+00	1.686378897472e+00	2.110924631419e+00	1.453880485063e-02	1.855995428571e-02	9.412726245501e-03	1.517057605383e-02	7.402127666515e-03	0.000000000000e+00	9.921736007942e+01	2.851290759439e+01	1.277302676738e+02	6.712070367807e-01	1.148902411408e-01	9.614745355951e-06	2.403686331085e-03	3.845898122360e-04	2.679961125722e-02	4.181737119794e+00	4.765346588568e-01	9.578928642246e-02	2.394732154063e+01	3.831571440436e+00	9.997580778495e+01
5120	2008	10	5	0	0		0.000000000000e+00	2.792245450425e-01	0.000000000000e+00	1.846212360354e+00	2.125436905396e+00	1.391038357689e-02	1.876554162125e-02	8.837122926453e-03	1.450193216686e-02	4.951313617018e-03	0.000000000000e+00	1.086033883006e+02	3.121246012085e+01	1.398158484214e+02	5.666962295198e-01	1.089667138608e-01	6.322842156007e-06	1.580710531313e-03	2.529136842926e-04	2.597711007602e-02	4.833154353164e+00	5.585282941553e-01	1.095469308477e-01	2.738673259243e+01	4.381877203636e+00	1.177226880225e+02
5120	2008	10	6	0	0		0.000000000000e+00	2.483149130851e-01	0.000000000000e+00	1.812315403232e+00	2.060630316317e+00	1.075892650430e-02	1.855995428571e-02	6.868341355724e-03	1.106976790603e-02	4.423544173011e-03	0.000000000000e+00	1.172196048079e+02	3.373573889692e+01	1.509553437048e+02	5.329921980727e-01	1.046361220080e-01	5.624269656476e-06	1.406067409198e-03	2.249707850125e-04	2.503417659761e-02	5.335243730036e+00	6.329095583305e-01	1.184733162107e-01	2.961832894529e+01	4.738932621225e+00	1.345327269275e+02
5120	2008	10	7	0	0		0.000000000000e+00	2.144641819555e-01	0.000000000000e+00	1.731706090790e+00	1.946170272745e+00	9.023043817881e-03	1.855995428571e-02	5.762722537069e-03	9.287832052647e-03	3.840242172154e-03	0.000000000000e+00	1.202485364503e+02	3.464361425531e+01	1.548921507056e+02	4.886694712210e-01	9.792045406275e-02	4.858710754766e-06	1.214677686521e-03	1.943484296408e-04	2.350837137660e-02	5.634342663221e+00	6.821433039313e-01	1.230522114653e-01	3.076305279187e+01	4.922088439749e+00	1.459253840968e+02
5120	2008	10	8	0	0		0.000000000000e+00	1.908144375791e-01	0.000000000000e+00	1.610452579191e+00	1.801267016770e+00	7.682456463247e-03	1.855995428571e-02	4.910707065655e-03	7.914631008549e-03	3.425556005487e-03	0.000000000000e+00	1.217695902692e+02	3.511197613644e+01	1.568815664057e+02	4.466773198233e-01	9.028652790952e-02	4.324113606503e-06	1.081028401626e-03	1.729645442601e-04	2.170680925608e-02	5.804236205981e+00	7.130081869714e-01	1.252182203887e-01	3.130455506955e+01	5.008728808550e+00	1.532084028161e+02
5120	2008	10	9	0	0		0.000000000000e+00	2.793906068004e-01	0.000000000000e+00	1.490307119247e+00	1.769697726048e+00	8.153044784060e-03	1.855995428571e-02	5.281620778790e-03	8.512435995942e-03	4.917193727669e-03	0.000000000000e+00	1.122014295916e+02	3.233512635970e+01	1.445365559513e+02	5.065375344010e-01	9.286922579929e-02	6.331117507515e-06	1.582779376685e-03	2.532447002516e-04	2.195108294938e-02	5.167406269793e+00	6.229648136817e-01	1.132515288050e-01	2.831288219198e+01	4.530061149851e+00	1.330908977102e+02
5120	2008	10	10	0	0		0.000000000000e+00	3.095567323997e-01	0.000000000000e+00	1.456137897309e+00	1.765694629709e+00	1.046697445584e-02	1.855995428571e-02	6.735446770934e-03	1.085558050133e-02	5.423867177903e-03	0.000000000000e+00	1.115982146504e+02	3.209091446084e+01	1.436891291113e+02	5.279592317683e-01	9.404349448870e-02	7.011845139155e-06	1.752961278884e-03	2.804738040703e-04	2.210850462662e-02	4.928130653814e+00	5.710532065427e-01	1.114672456763e-01	2.786681134759e+01	4.458689808943e+00	1.204698528912e+02
5120	2008	10	11	0	0		0.000000000000e+00	1.989040953816e-01	0.000000000000e+00	1.460835052324e+00	1.659739147706e+00	9.028001594236e-03	1.855995428571e-02	5.732826582314e-03	9.239648471876e-03	3.543997792419e-03	0.000000000000e+00	1.282763162098e+02	3.688841351215e+01	1.651647297219e+02	4.284693472569e-01	8.422756089998e-02	4.504639781025e-06	1.126159941613e-03	1.801855903180e-04	2.015596228871e-02	5.967420454937e+00	7.002116811387e-01	1.336650666820e-01	3.341626657777e+01	5.346602643787e+00	1.483199074553e+02
5120	2008	10	12	0	0		0.000000000000e+00	2.139828518337e-01	0.000000000000e+00	1.372289308056e+00	1.586272159890e+00	7.080653279765e-03	1.855995428571e-02	4.552689138476e-03	7.337610276058e-03	3.792340760453e-03	0.000000000000e+00	1.274423791011e+02	3.670425630711e+01	1.641466354082e+02	4.272001584302e-01	8.159243388637e-02	4.849141254254e-06	1.212285313564e-03	1.939656501702e-04	1.942828022074e-02	5.848780720331e+00	7.012041267114e-01	1.287706100475e-01	3.219265247777e+01	5.150824393261e+00	1.495469098548e+02
5120	2008	10	13	0	0		0.000000000000e+00	2.004698222458e-01	0.000000000000e+00	1.262506163412e+00	1.462975985658e+00	6.958171263035e-03	1.855995428571e-02	4.457116762786e-03	7.183575413445e-03	3.550234231449e-03	0.000000000000e+00	1.280747779960e+02	3.687192595504e+01	1.649467039510e+02	3.962924556354e-01	7.539187016342e-02	4.542917700904e-06	1.135729425226e-03	1.817167080362e-04	1.793938400067e-02	5.921590816662e+00	7.053281250965e-01	1.310644139642e-01	3.276610348225e+01	5.242576556338e+00	1.501191485294e+02
5120	2008	10	14	0	0		0.000000000000e+00	2.190502379291e-01	0.000000000000e+00	1.161505670339e+00	1.380555908268e+00	6.984139504188e-03	1.855995428571e-02	4.484194369859e-03	7.227216637755e-03	3.854582841547e-03	0.000000000000e+00	1.288898288312e+02	3.708206654397e+01	1.659718953751e+02	3.959686912618e-01	7.249848375806e-02	4.963975086761e-06	1.240993771690e-03	1.985590034704e-04	1.713182592216e-02	5.940440257252e+00	6.977501133716e-01	1.329550933000e-01	3.323877332278e+01	5.318203731439e+00	1.478465096950e+02
5120	2008	10	15	0	0		0.000000000000e+00	2.270860402151e-01	0.000000000000e+00	1.077689843936e+00	1.304775884151e+00	7.247091534271e-03	1.855995428571e-02	4.646922970089e-03	7.489487795073e-03	3.981450954881e-03	0.000000000000e+00	1.321392393407e+02	3.798254656749e+01	1.701217859082e+02	3.889961495164e-01	6.942700439459e-02	5.145795323176e-06	1.286448830552e-03	2.058318128657e-04	1.632759203534e-02	6.084800261513e+00	7.029275350374e-01	1.379528802418e-01	3.448822005523e+01	5.518115208350e+00	1.481413077395e+02
5120	2008	10	16	0	0		0.000000000000e+00	2.486340071182e-01	0.000000000000e+00	1.011384852213e+00	1.260018859332e+00	7.459652612717e-03	1.855995428571e-02	4.792746747767e-03	7.724513296934e-03	4.339970533470e-03	0.000000000000e+00	1.342824175154e+02	3.857275604929e+01	1.728551735647e+02	3.972486941420e-01	6.837405770872e-02	5.633839115387e-06	1.408459777996e-03	2.253535643999e-04	1.596674660875e-02	6.071401331741e+00	6.906832471494e-01	1.392535663188e-01	3.481339156249e+01	5.570142648394e+00	1.448200986176e+02
5120	2008	10	17	0	0		0.000000000000e+00	2.626216638488e-01	0.000000000000e+00	9.796211702333e-01	1.242242834082e+00	7.894531652434e-03	1.855995428571e-02	5.071661038273e-03	8.174041982487e-03	4.573215977207e-03	0.000000000000e+00	1.351605284793e+02	3.880202635455e+01	1.739625548338e+02	4.044818552949e-01	6.819761375937e-02	5.949632169374e-06	1.487408039303e-03	2.379852860048e-04	1.585947702259e-02	6.033028349145e+00	6.779709768194e-01	1.396254878474e-01	3.490637190461e+01	5.585019499395e+00	1.415676469483e+02
5120	2008	10	18	0	0		0.000000000000e+00	3.150132124205e-01	0.000000000000e+00	9.804245735565e-01	1.295437785977e+00	9.064503230028e-03	1.855995428571e-02	5.846819264225e-03	9.423371508690e-03	5.463268073044e-03	0.000000000000e+00	1.286975968536e+02	3.692742301918e+01	1.656250198727e+02	4.520830526203e-01	7.298049125471e-02	7.136248447221e-06	1.784062107473e-03	2.854499367913e-04	1.681787314792e-02	5.542859876373e+00	6.144497426357e-01	1.295469342033e-01	3.238673347388e+01	5.181877348640e+00	1.277030492389e+02
5120	2008	10	19	0	0		0.000000000000e+00	3.265147447275e-01	0.000000000000e+00	1.053011251292e+00	1.379525996020e+00	1.047377866329e-02	1.855995428571e-02	6.732109263611e-03	1.085020141058e-02	5.665274475234e-03	0.000000000000e+00	1.257518085502e+02	3.606862338840e+01	1.618204319386e+02	4.747549407965e-01	7.730382062637e-02	7.394624601071e-06	1.848656141329e-03	2.957849817783e-04	1.784703028525e-02	5.353334627848e+00	5.891454028960e-01	1.257615756116e-01	3.144039377101e+01	5.030462991050e+00	1.221340363228e+02
