subbasin,deluid,deluname
5120,1000,Road_Freeway-All-All-All
5120,2000,Road_Primary-All-All-All
5120,3000,Road_Minor-All-All-All
5120,4000,Dev_ResHigh-All-All-All
5120,5000,Dev_ResLow-All-All-All
5120,6000,Dev_Com-All-All-All
5120,7000,Dev_Ind-All-All-All
5120,8000,Dev_Inst-All-All-All
5120,9000,Dev_Roof-All-All-All
5120,10000,Dev_Overspray-All-All-All
5120,11111,Dev_Irrigated-A-Low-Confined
5120,11112,Dev_Irrigated-A-Low-Unconfined
5120,11121,Dev_Irrigated-A-Med-Confined
5120,11122,Dev_Irrigated-A-Med-Unconfined
5120,11211,Dev_Irrigated-B-Low-Confined
5120,11212,Dev_Irrigated-B-Low-Unconfined
5120,11221,Dev_Irrigated-B-Med-Confined
5120,11222,Dev_Irrigated-B-Med-Unconfined
5120,11311,Dev_Irrigated-C-Low-Confined
5120,11312,Dev_Irrigated-C-Low-Unconfined
5120,11321,Dev_Irrigated-C-Med-Confined
5120,11322,Dev_Irrigated-C-Med-Unconfined
5120,11411,Dev_Irrigated-D-Low-Confined
5120,11412,Dev_Irrigated-D-Low-Unconfined
5120,11421,Dev_Irrigated-D-Med-Confined
5120,11422,Dev_Irrigated-D-Med-Unconfined
5120,12111,Dev_Pervious-A-Low-Confined
5120,12112,Dev_Pervious-A-Low-Unconfined
5120,12121,Dev_Pervious-A-Med-Confined
5120,12122,Dev_Pervious-A-Med-Unconfined
5120,12211,Dev_Pervious-B-Low-Confined
5120,12212,Dev_Pervious-B-Low-Unconfined
5120,12221,Dev_Pervious-B-Med-Confined
5120,12222,Dev_Pervious-B-Med-Unconfined
5120,12311,Dev_Pervious-C-Low-Confined
5120,12312,Dev_Pervious-C-Low-Unconfined
5120,12321,Dev_Pervious-C-Med-Confined
5120,12322,Dev_Pervious-C-Med-Unconfined
5120,12411,Dev_Pervious-D-Low-Confined
5120,12412,Dev_Pervious-D-Low-Unconfined
5120,12421,Dev_Pervious-D-Med-Confined
5120,12422,Dev_Pervious-D-Med-Unconfined
5120,13111,Agriculture-A-Low-Confined
5120,13112,Agriculture-A-Low-Unconfined
5120,13121,Agriculture-A-Med-Confined
5120,13122,Agriculture-A-Med-Unconfined
5120,13211,Agriculture-B-Low-Confined
5120,13212,Agriculture-B-Low-Unconfined
5120,13221,Agriculture-B-Med-Confined
5120,13222,Agriculture-B-Med-Unconfined
5120,13231,Agriculture-B-High-Confined
5120,13232,Agriculture-B-High-Unconfined
5120,13311,Agriculture-C-Low-Confined
5120,13312,Agriculture-C-Low-Unconfined
5120,13321,Agriculture-C-Med-Confined
5120,13322,Agriculture-C-Med-Unconfined
5120,13331,Agriculture-C-High-Confined
5120,13411,Agriculture-D-Low-Confined
5120,13412,Agriculture-D-Low-Unconfined
5120,13421,Agriculture-D-Med-Confined
5120,13422,Agriculture-D-Med-Unconfined
5120,13431,Agriculture-D-High-Confined
5120,13432,Agriculture-D-High-Unconfined
5120,14121,Veg_Low-A-Med-Confined
5120,14122,Veg_Low-A-Med-Unconfined
5120,14131,Veg_Low-A-High-Confined
5120,14132,Veg_Low-A-High-Unconfined
5120,14221,Veg_Low-B-Med-Confined
5120,14222,Veg_Low-B-Med-Unconfined
5120,14231,Veg_Low-B-High-Confined
5120,14232,Veg_Low-B-High-Unconfined
5120,14321,Veg_Low-C-Med-Confined
5120,14322,Veg_Low-C-Med-Unconfined
5120,14331,Veg_Low-C-High-Confined
5120,14332,Veg_Low-C-High-Unconfined
5120,14421,Veg_Low-D-Med-Confined
5120,14422,Veg_Low-D-Med-Unconfined
5120,14431,Veg_Low-D-High-Confined
5120,14432,Veg_Low-D-High-Unconfined
5120,15121,Veg_High-A-Med-Confined
5120,15122,Veg_High-A-Med-Unconfined
5120,15131,Veg_High-A-High-Confined
5120,15132,Veg_High-A-High-Unconfined
5120,15221,Veg_High-B-Med-Confined
5120,15222,Veg_High-B-Med-Unconfined
5120,15231,Veg_High-B-High-Confined
5120,15232,Veg_High-B-High-Unconfined
5120,15321,Veg_High-C-Med-Confined
5120,15322,Veg_High-C-Med-Unconfined
5120,15331,Veg_High-C-High-Confined
5120,15332,Veg_High-C-High-Unconfined
5120,15421,Veg_High-D-Med-Confined
5120,15422,Veg_High-D-Med-Unconfined
5120,15431,Veg_High-D-High-Confined
5120,15432,Veg_High-D-High-Unconfined
5120,16000,Water-All-All-All
