subbasin,deluid,parmname,value1
1030,1000,AREA,1.969004600001e+01
1030,1000,PREC,1.990430555599e+02
1030,1000,SURO,1.808226999087e+02
1030,1000,IFWO,0.000000000000e+00
1030,1000,AGWO,0.000000000000e+00
1030,1000,PERO,1.808226999087e+02
1030,1000,TAET,1.822035565120e+01
1030,1000,SEDLOAD,1.336094333428e+00
1030,1000,SEDWSSD, 1.33609e+00
1030,1000,SEDSCRS, 0.00000e+00
1030,1000,SEDSURO, 0.00000e+00
1030,1000,SEDIFWO, 0.00000e+00
1030,1000,SEDAGWO, 0.00000e+00
1030,1000,SO_TN,6.302845193568e+00
1030,1000,IO_TN,0.000000000000e+00
1030,1000,AO_TN,0.000000000000e+00
1030,1000,PO_TN,6.302845193568e+00
1030,1000,SO_TP,5.962320962924e+00
1030,1000,IO_TP,0.000000000000e+00
1030,1000,AO_TP,0.000000000000e+00
1030,1000,PO_TP,5.962320962924e+00
1030,1000,SED_TP,5.962320962924e+00
1030,1000,SEDWSSD_TP,5.962320962924e+00
1030,1000,SEDSCRS_TP,0.000000000000e+00
1030,1000,SO_TCd,2.338165083499e-02
1030,1000,IO_TCd,0.000000000000e+00
1030,1000,AO_TCd,0.000000000000e+00
1030,1000,PO_TCd,2.338165083499e-02
1030,1000,SED_TCd,2.338165083499e-02
1030,1000,SEDWSSD_TCd,2.338165083499e-02
1030,1000,SEDSCRS_TCd,0.000000000000e+00
1030,1000,SO_TCu,2.338165083499e+00
1030,1000,IO_TCu,0.000000000000e+00
1030,1000,AO_TCu,0.000000000000e+00
1030,1000,PO_TCu,2.338165083499e+00
1030,1000,SED_TCu,2.338165083499e+00
1030,1000,SEDWSSD_TCu,2.338165083499e+00
1030,1000,SEDSCRS_TCu,0.000000000000e+00
1030,1000,SO_TPb,5.771927520410e-01
1030,1000,IO_TPb,0.000000000000e+00
1030,1000,AO_TPb,0.000000000000e+00
1030,1000,PO_TPb,5.771927520410e-01
1030,1000,SED_TPb,5.771927520410e-01
1030,1000,SEDWSSD_TPb,5.771927520410e-01
1030,1000,SEDSCRS_TPb,0.000000000000e+00
1030,1000,SO_TZn,1.847016806531e+01
1030,1000,IO_TZn,0.000000000000e+00
1030,1000,AO_TZn,0.000000000000e+00
1030,1000,PO_TZn,1.847016806531e+01
1030,1000,SED_TZn,1.847016806531e+01
1030,1000,SEDWSSD_TZn,1.847016806531e+01
1030,1000,SEDSCRS_TZn,0.000000000000e+00
1030,2000,AREA,6.315128799995e+01
1030,2000,PREC,6.383847618265e+02
1030,2000,SURO,5.799471671560e+02
1030,2000,IFWO,0.000000000000e+00
1030,2000,AGWO,0.000000000000e+00
1030,2000,PERO,5.799471671560e+02
1030,2000,TAET,5.843759467050e+01
1030,2000,SEDLOAD,1.401881648996e+01
1030,2000,SEDWSSD, 1.40188e+01
1030,2000,SEDSCRS, 0.00000e+00
1030,2000,SEDSURO, 0.00000e+00
1030,2000,SEDIFWO, 0.00000e+00
1030,2000,SEDAGWO, 0.00000e+00
1030,2000,SO_TN,2.021492470039e+01
1030,2000,IO_TN,0.000000000000e+00
1030,2000,AO_TN,0.000000000000e+00
1030,2000,PO_TN,2.021492470039e+01
1030,2000,SO_TP,6.255896858646e+01
1030,2000,IO_TP,0.000000000000e+00
1030,2000,AO_TP,0.000000000000e+00
1030,2000,PO_TP,6.255896858646e+01
1030,2000,SED_TP,6.255896858646e+01
1030,2000,SEDWSSD_TP,6.255896858646e+01
1030,2000,SEDSCRS_TP,0.000000000000e+00
1030,2000,SO_TCd,2.102822473494e-01
1030,2000,IO_TCd,0.000000000000e+00
1030,2000,AO_TCd,0.000000000000e+00
1030,2000,PO_TCd,2.102822473494e-01
1030,2000,SED_TCd,2.102822473494e-01
1030,2000,SEDWSSD_TCd,2.102822473494e-01
1030,2000,SEDSCRS_TCd,0.000000000000e+00
1030,2000,SO_TCu,2.102822473494e+01
1030,2000,IO_TCu,0.000000000000e+00
1030,2000,AO_TCu,0.000000000000e+00
