rchid,type,parmname,value1
1030,0,DRAT_IVOL,3.720281471665e+07
1030,0,DRAT_OVOL,3.688310263615e+07
1030,-1,USLINK,0.000000000000e+00
1030,-1,PCP,2.691125795206e+05
1030,-1,EVAP,3.197064197799e+05
1030,-1,INFILT,0.000000000000e+00
1030,-1,USIF,0.000000000000e+00
1030,-2,LUIF,3.693370213713e+07
1030,-1,USBP,0.000000000000e+00
1030,-2,LUBP,0.000000000000e+00
1030,-5,IRWD,0.000000000000e+00
1030,0,IVOL,3.693370213713e+07
1030,1,RO,3.688310263615e+07
1030,1,BP,0.000000000000e+00
1030,0,DRAT_ISED_1,2.108300095214e+01
1030,0,DRAT_OSED_1,7.959567268601e+00
1030,-1,USSED_1,0.000000000000e+00
1030,-2,LUSED_1,2.009538294451e+01
1030,-1,USSBP_1,0.000000000000e+00
1030,-2,LUSBP_1,0.000000000000e+00
1030,-5,IRWDSED_1,0.000000000000e+00
1030,0,ISED_1,2.009538294451e+01
1030,0,DEPSCR_1,1.213581567591e+01
1030,0,DEPMASS_1,1.312343368354e+01
1030,0,SCRMASS_1,9.876180076290e-01
1030,0,BEDSED_1,2.930703699785e+06
1030,1,ROSED_1,7.959567268601e+00
1030,1,BPSED_1,0.000000000000e+00
1030,0,DRAT_ISED_2,8.227271623447e+01
1030,0,DRAT_OSED_2,8.226099202570e+01
1030,-1,USSED_2,0.000000000000e+00
1030,-2,LUSED_2,7.987406302467e+01
1030,-1,USSBP_2,0.000000000000e+00
1030,-2,LUSBP_2,0.000000000000e+00
1030,-5,IRWDSED_2,0.000000000000e+00
1030,0,ISED_2,7.987406302467e+01
1030,0,DEPSCR_2,-2.386793936314e+00
1030,0,DEPMASS_2,1.185927348702e-02
1030,0,SCRMASS_2,2.398653209801e+00
1030,0,BEDSED_2,1.559940722704e+07
1030,1,ROSED_2,8.226099202570e+01
1030,1,BPSED_2,0.000000000000e+00
1030,0,DRAT_ISED_3,3.470950006063e+01
1030,0,DRAT_OSED_3,3.470953797601e+01
1030,-1,USSED_3,0.000000000000e+00
1030,-2,LUSED_3,2.636288766575e+01
1030,-1,USSBP_3,0.000000000000e+00
1030,-2,LUSBP_3,0.000000000000e+00
1030,-5,IRWDSED_3,0.000000000000e+00
1030,0,ISED_3,2.636288766575e+01
1030,0,DEPSCR_3,-8.346612394880e+00
1030,0,DEPMASS_3,0.000000000000e+00
1030,0,SCRMASS_3,8.346612394880e+00
1030,0,BEDSED_3,3.963495075286e+06
1030,1,ROSED_3,3.470953797601e+01
1030,1,BPSED_3,0.000000000000e+00
1030,0,DRAT_IGQL_TN,4.637834549981e+03
1030,0,DRAT_OGQL_TN,4.619890395145e+03
1030,-1,USQUAL_TN,0.000000000000e+00
1030,-2,LUQUAL_TN,4.637834549981e+03
1030,-1,USQUBP_TN,0.000000000000e+00
1030,-2,LUQUBP_TN,0.000000000000e+00
1030,-5,IRWDQUAL_TN,0.000000000000e+00
1030,-7,INFILTQUAL_TN,0.000000000000e+00
1030,-8,INFILTQUALTARGET_TN,0.000000000000e+00
1030,0,ADTOT_TN,0.000000000000e+00
1030,0,IQUAL_TN,4.637834549981e+03
1030,0,ADQAL_TN,0.000000000000e+00
1030,0,DSQAL_TN,0.000000000000e+00
1030,0,DEPQAL_TN,0.000000000000e+00
1030,0,SCRQAL_TN,0.000000000000e+00
1030,1,QUAL_TN,4.619890395145e+03
1030,1,QUBP_TN,0.000000000000e+00
1030,0,DRAT_IGQL_TP,7.025761125191e+02
1030,0,DRAT_OGQL_TP,7.001770891008e+02
1030,-1,USQUAL_TP,0.000000000000e+00
1030,-2,LUQUAL_TP,7.025761125191e+02
1030,-1,USQUBP_TP,0.000000000000e+00
1030,-2,LUQUBP_TP,0.000000000000e+00
1030,-5,IRWDQUAL_TP,0.000000000000e+00
1030,-7,INFILTQUAL_TP,0.000000000000e+00
1030,-8,INFILTQUALTARGET_TP,0.000000000000e+00
1030,0,ADTOT_TP,0.000000000000e+00
1030,0,IQUAL_TP,7.025761125191e+02
1030,0,ADQAL_TP,0.000000000000e+00
1030,0,DSQAL_TP,0.000000000000e+00
1030,0,DEPQAL_TP,0.000000000000e+00
1030,0,SCRQAL_TP,0.000000000000e+00
1030,1,QUAL_TP,7.001770891008e+02
1030,1,QUBP_TP,0.000000000000e+00
1030,0,DRAT_IGQL_TCd,1.312749326549e+00
1030,0,DRAT_OGQL_TCd,1.307988739823e+00
1030,-1,USQUAL_TCd,0.000000000000e+00
1030,-2,LUQUAL_TCd,1.312749326549e+00
1030,-1,USQUBP_TCd,0.000000000000e+00
1030,-2,LUQUBP_TCd,0.000000000000e+00
1030,-5,IRWDQUAL_TCd,0.000000000000e+00
1030,-7,INFILTQUAL_TCd,0.000000000000e+00
1030,-8,INFILTQUALTARGET_TCd,0.000000000000e+00
1030,0,ADTOT_TCd,0.000000000000e+00
1030,0,IQUAL_TCd,1.312749326549e+00
1030,0,ADQAL_TCd,0.000000000000e+00
1030,0,DSQAL_TCd,0.000000000000e+00
1030,0,DEPQAL_TCd,0.000000000000e+00
1030,0,SCRQAL_TCd,0.000000000000e+00
1030,1,QUAL_TCd,1.307988739823e+00
1030,1,QUBP_TCd,0.000000000000e+00
1030,0,DRAT_IGQL_TCu,1.324226439392e+02
1030,0,DRAT_OGQL_TCu,1.319452263106e+02
1030,-1,USQUAL_TCu,0.000000000000e+00
1030,-2,LUQUAL_TCu,1.324226439392e+02
1030,-1,USQUBP_TCu,0.000000000000e+00
1030,-2,LUQUBP_TCu,0.000000000000e+00
1030,-5,IRWDQUAL_TCu,0.000000000000e+00
1030,-7,INFILTQUAL_TCu,0.000000000000e+00
1030,-8,INFILTQUALTARGET_TCu,0.000000000000e+00
1030,0,ADTOT_TCu,0.000000000000e+00
1030,0,IQUAL_TCu,1.324226439392e+02
1030,0,ADQAL_TCu,0.000000000000e+00
1030,0,DSQAL_TCu,0.000000000000e+00
1030,0,DEPQAL_TCu,0.000000000000e+00
1030,0,SCRQAL_TCu,0.000000000000e+00
1030,1,QUAL_TCu,1.319452263106e+02
1030,1,QUBP_TCu,0.000000000000e+00
1030,0,DRAT_IGQL_TPb,3.555103686825e+01
1030,0,DRAT_OGQL_TPb,3.541800245016e+01
1030,-1,USQUAL_TPb,0.000000000000e+00
1030,-2,LUQUAL_TPb,3.555103686825e+01
1030,-1,USQUBP_TPb,0.000000000000e+00
1030,-2,LUQUBP_TPb,0.000000000000e+00
1030,-5,IRWDQUAL_TPb,0.000000000000e+00
1030,-7,INFILTQUAL_TPb,0.000000000000e+00
1030,-8,INFILTQUALTARGET_TPb,0.000000000000e+00
1030,0,ADTOT_TPb,0.000000000000e+00
1030,0,IQUAL_TPb,3.555103686825e+01
1030,0,ADQAL_TPb,0.000000000000e+00
1030,0,DSQAL_TPb,0.000000000000e+00
1030,0,DEPQAL_TPb,0.000000000000e+00
1030,0,SCRQAL_TPb,0.000000000000e+00
1030,1,QUAL_TPb,3.541800245016e+01
1030,1,QUBP_TPb,0.000000000000e+00
1030,0,DRAT_IGQL_TZn,5.752716505802e+02
1030,0,DRAT_OGQL_TZn,5.732133366494e+02
1030,-1,USQUAL_TZn,0.000000000000e+00
1030,-2,LUQUAL_TZn,5.752716505802e+02
1030,-1,USQUBP_TZn,0.000000000000e+00
1030,-2,LUQUBP_TZn,0.000000000000e+00
1030,-5,IRWDQUAL_TZn,0.000000000000e+00
1030,-7,INFILTQUAL_TZn,0.000000000000e+00
1030,-8,INFILTQUALTARGET_TZn,0.000000000000e+00
1030,0,ADTOT_TZn,0.000000000000e+00
1030,0,IQUAL_TZn,5.752716505802e+02
1030,0,ADQAL_TZn,0.000000000000e+00
1030,0,DSQAL_TZn,0.000000000000e+00
1030,0,DEPQAL_TZn,0.000000000000e+00
1030,0,SCRQAL_TZn,0.000000000000e+00
1030,1,QUAL_TZn,5.732133366494e+02
1030,1,QUBP_TZn,0.000000000000e+00
