TT-----------------------------------------------------------------------------------------
TT LSPC -- Loading Simulation Program, C++
TT Version 6.0 (64-bit) - Jan 2020
TT
TT Created through code updates by:
TT Paradigm Environmental, Inc.
TT San Diego, California, USA
TT www.paradigmh2o.com
TT 
TT Based upon LSPC version 5.0 (Mar 2018), originally developed by :
TT United States Environmental Protection Agency
TT with support by Tetra Tech, Inc.
TT https://github.com/USEPA/LSPC-Loading-Simulation-Program 
TT 
TT NOTE: The line starting with the letter c and followed by space or - is a comment line.
TT       There must be no comment line in between the data lines
TT       The input text field must be a continuous string without any space in between the characters
TT-----------------------------------------------------------------------------------------
TT LSPC MODEL OUTPUT FILE
TT This output file was created at 12:20:53pm on 02/13/2026
TT Time interval: 60 min      Output option: day
TT Label   
TT PREC     precipitation (rain + snow) volume (in-acre/day)
TT SURO     surface outflow volume (in-acre/day)
TT IFWO     interflow outflow volume (in-acre/day)
TT AGWO     groundwater outflow volume (in-acre/day)
TT PERO     total outflow rate volume (SURO+IFWO+AGWO) (in-acre/day)
TT DEP      stream depth (ft)
TT AVDEP    stream average depth (ft)
TT TAU      bed shear stress (kg/m^2)
TT RO       total rate of outflow from RCHRES (cfs)
TT SOSED    sediments load from land (english tons/day)
TT SSEDOUT1 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT2 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT3 suspended sediment concentration in outflow from the RCHRES (mg/l)
TT SSEDOUT  total suspended solid concentration in outflow from the RCHRES (mg/l)
TT POQUAL1  total flux of QUAL from the PLS_TN (lb/day) 
TT POQUAL2  total flux of QUAL from the PLS_TP (lb/day) 
TT POQUAL3  total flux of QUAL from the PLS_TCd (lb/day) 
TT POQUAL4  total flux of QUAL from the PLS_TCu (lb/day) 
TT POQUAL5  total flux of QUAL from the PLS_TPb (lb/day) 
TT POQUAL6  total flux of QUAL from the PLS_TZn (lb/day) 
TT CONC1    TN dissolved concentration (average) in RCHRES (mg/l)
TT CONC2    TP dissolved concentration (average) in RCHRES (mg/l)
TT CONC3    TCd dissolved concentration (average) in RCHRES (ug/l)
TT CONC4    TCu dissolved concentration (average) in RCHRES (ug/l)
TT CONC5    TPb dissolved concentration (average) in RCHRES (ug/l)
TT CONC6    TZn dissolved concentration (average) in RCHRES (ug/l)
TT
TT WATERSHED_1077 Area:  865.982 (acres)
TT Date/time     Values
TT
1077	2008	10	1	0	0		0.000000000000e+00	4.886410783231e-01	6.344664115560e-02	7.308172016579e+00	7.860259736058e+00	2.671090719004e-02	2.629856580369e-02	2.789470211295e+01	5.058423136103e-02	7.999511138453e-03	0.000000000000e+00	3.965378057359e+01	1.142436222271e+01	5.107814279630e+01	1.716215712442e+00	3.751824117889e-01	9.557100246924e-06	2.388304662747e-03	3.820381754678e-04	9.045170092095e-02	2.277911783153e+00	2.908396709443e-01	3.651289969147e-02	9.124086886655e+00	1.459467685152e+00	5.988811607928e+01
1077	2008	10	2	0	0		0.000000000000e+00	4.964105229372e-01	5.386675111527e-02	7.188157168490e+00	7.738434442543e+00	2.620858248191e-02	2.585745359295e-02	3.595592107434e-02	4.922387458060e-02	8.089540093129e-03	0.000000000000e+00	3.879399851928e+01	1.117774285335e+01	4.997174137263e+01	1.698417871208e+00	3.694331486697e-01	9.696675225558e-06	2.423207079423e-03	3.876233715242e-04	8.920351602230e-02	2.252809882512e+00	2.892245447591e-01	3.633572296642e-02	9.080382786405e+00	1.452530103340e+00	6.027299285121e+01
1077	2008	10	3	0	0		0.000000000000e+00	4.937794268435e-01	4.993026372358e-02	7.083391805844e+00	7.627101496411e+00	2.587427850025e-02	2.554018457361e-02	3.551403113233e-02	4.825099027750e-02	8.060789361118e-03	0.000000000000e+00	3.924924068655e+01	1.130692625249e+01	5.055616693904e+01	1.676229905573e+00	3.642406644045e-01	9.674500264883e-06	2.417717095865e-03	3.867499914385e-04	8.799874221480e-02	2.262974064898e+00	2.904022923841e-01	3.683642351133e-02	9.205808325555e+00	1.472621560543e+00	6.078819277600e+01
1077	2008	10	4	0	0		0.000000000000e+00	5.405453292059e-01	5.025277329868e-02	7.018314392276e+00	7.609112494780e+00	2.674388245030e-02	2.640858731255e-02	3.671512713492e-02	5.089537598611e-02	8.716028234699e-03	0.000000000000e+00	4.021312988214e+01	1.157727163383e+01	5.179040151597e+01	1.708289346020e+00	3.648544965659e-01	1.055756270927e-05	2.638559083684e-03	4.220918379836e-04	8.796786173638e-02	2.291753503546e+00	2.859331727567e-01	3.801262461751e-02	9.500138852081e+00	1.519740601452e+00	5.977672150436e+01
1077	2008	10	5	0	0		0.000000000000e+00	4.665005899919e-01	4.905172721107e-02	6.971698582819e+00	7.487250900022e+00	2.537691408567e-02	2.502732072938e-02	3.480357174399e-02	4.668681168644e-02	7.712358623969e-03	0.000000000000e+00	3.965394480825e+01	1.142269096515e+01	5.107663577340e+01	1.632145290448e+00	3.573093376867e-01	9.226029947195e-06	2.305784070533e-03	3.688579324338e-04	8.637450453049e-02	2.264940241474e+00	2.920108613656e-01	3.697187365223e-02	9.240200751219e+00	1.478173805090e+00	6.109027251976e+01
1077	2008	10	6	0	0		0.000000000000e+00	4.416944273191e-01	4.368448442033e-02	6.831467368455e+00	7.316846280194e+00	2.438594563677e-02	2.407379737282e-02	3.348373903780e-02	4.378101003653e-02	7.376710337769e-03	0.000000000000e+00	3.977498908290e+01	1.146097681357e+01	5.123596589647e+01	1.583187510695e+00	3.487653019272e-01	8.800187103533e-06	2.199386280095e-03	3.518401585416e-04	8.444494918546e-02	2.280346195909e+00	2.993208616773e-01	3.707427232243e-02	9.265873698806e+00	1.482288316174e+00	6.305402886099e+01
1077	2008	10	7	0	0		0.000000000000e+00	4.629560676847e-01	4.404531526462e-02	6.690725366194e+00	7.197726749144e+00	2.446541385455e-02	2.416805420139e-02	3.361520004573e-02	4.407044036507e-02	7.565685452298e-03	0.000000000000e+00	4.028880373851e+01	1.160622039147e+01	5.189502412998e+01	1.579048086065e+00	3.435107320019e-01	9.074649520067e-06	2.267738615384e-03	3.627519604291e-04	8.306967650816e-02	2.315105589956e+00	2.988756282505e-01	3.762678432991e-02	9.403144489381e+00	1.504171636278e+00	6.293184141875e+01
1077	2008	10	8	0	0		0.000000000000e+00	4.559604283507e-01	4.490654014859e-02	6.565635371832e+00	7.066502340331e+00	2.421146780340e-02	2.391149475206e-02	3.326119512653e-02	4.329104758789e-02	7.453406140322e-03	0.000000000000e+00	4.067849659755e+01	1.171785894692e+01	5.239635554447e+01	1.551797638159e+00	3.373957249490e-01	8.943605670533e-06	2.234999305485e-03	3.575156917439e-04	8.154749862556e-02	2.332552300615e+00	3.005789261207e-01	3.790656778765e-02	9.473015682496e+00	1.515344057854e+00	6.311415453212e+01
1077	2008	10	9	0	0		0.000000000000e+00	5.061908109806e-01	4.877934127923e-02	6.468044913884e+00	7.023015066144e+00	2.501657426700e-02	2.472545104995e-02	3.438417134196e-02	4.576344134224e-02	8.048528230883e-03	0.000000000000e+00	4.128023997097e+01	1.188575723867e+01	5.316599720965e+01	1.583027186419e+00	3.365532300526e-01	9.752476806635e-06	2.436968456258e-03	3.898075500972e-04	8.108869695019e-02	2.366926446967e+00	2.954001847207e-01	3.884559064757e-02	9.707161828510e+00	1.552750548113e+00	6.163846087310e+01
1077	2008	10	10	0	0		0.000000000000e+00	4.540921746652e-01	5.114695783228e-02	6.419286602795e+00	6.924525735293e+00	2.463484326475e-02	2.426427505025e-02	3.374814180127e-02	4.436313077255e-02	7.478256543382e-03	0.000000000000e+00	4.173096865801e+01	1.201631051723e+01	5.374727917524e+01	1.527885696204e+00	3.315462725227e-01	8.997244961302e-06	2.248544453290e-03	3.596955457363e-04	7.993225156644e-02	2.360121385490e+00	2.978457882435e-01	3.873700611734e-02	9.680487254665e+00	1.548526628444e+00	6.180263596016e+01
